Entity,Code,Year,Preterm birth rate (%)
Afghanistan,AFG,2014,10.4
Albania,ALB,2014,8.72
Algeria,DZA,2014,13.41
Angola,AGO,2014,11.97
Antigua and Barbuda,ATG,2014,9.83
Argentina,ARG,2000,7.2
Argentina,ARG,2005,7.49
Argentina,ARG,2010,8.19
Argentina,ARG,2014,8.38
Armenia,ARM,2014,10.4
Asia,,2000,9.54
Asia,,2005,9.95
Asia,,2010,10.32
Asia,,2014,10.4
Australia,AUS,2000,7.16
Australia,AUS,2005,7.53
Australia,AUS,2010,7.94
Australia,AUS,2014,8.6
Austria,AUT,2000,8.35
Austria,AUT,2005,8.36
Austria,AUT,2010,8.51
Austria,AUT,2014,7.93
Azerbaijan,AZE,2014,10.4
Bahamas,BHS,2014,9.83
Bahrain,BHR,2000,7.98
Bahrain,BHR,2005,9.29
Bahrain,BHR,2010,10.45
Bahrain,BHR,2014,10.35
Bangladesh,BGD,2000,19.25
Bangladesh,BGD,2005,18.96
Bangladesh,BGD,2010,20.71
Bangladesh,BGD,2014,19.15
Barbados,BRB,2014,9.83
Belarus,BLR,2000,4.47
Belarus,BLR,2005,4.55
Belarus,BLR,2010,4.53
Belarus,BLR,2014,4.28
Belgium,BEL,2000,7.97
Belgium,BEL,2005,8.47
Belgium,BEL,2010,9.4
Belgium,BEL,2014,10.07
Belize,BLZ,2014,9.83
Benin,BEN,2000,7.89
Benin,BEN,2005,8.61
Benin,BEN,2010,9.14
Benin,BEN,2014,9.3
Bhutan,BTN,2014,10.4
Bolivia,BOL,2014,9.83
Bosnia and Herzegovina,BIH,2000,9.8
Bosnia and Herzegovina,BIH,2005,8.13
Bosnia and Herzegovina,BIH,2010,7.16
Bosnia and Herzegovina,BIH,2014,6.73
Botswana,BWA,2014,11.97
Brazil,BRA,2000,5.53
Brazil,BRA,2005,6.96
Brazil,BRA,2010,8.63
Brazil,BRA,2014,11.18
Brunei,BRN,2014,10.4
Bulgaria,BGR,2000,8.27
Bulgaria,BGR,2005,8.74
Bulgaria,BGR,2010,9.04
Bulgaria,BGR,2014,9.01
Burkina Faso,BFA,2014,11.97
Burundi,BDI,2014,11.97
Cambodia,KHM,2014,10.4
Cameroon,CMR,2014,11.97
Canada,CAN,2000,7.21
Canada,CAN,2005,7.64
Canada,CAN,2010,7.9
Canada,CAN,2014,8.15
Cape Verde,CPV,2014,11.97
Central African Republic,CAF,2014,11.97
Chad,TCD,2014,11.97
Chile,CHL,2000,6.64
Chile,CHL,2005,7.36
Chile,CHL,2010,7.97
Chile,CHL,2014,7.93
China,CHN,2000,6.35
China,CHN,2005,6.62
China,CHN,2010,6.91
China,CHN,2014,6.94
Colombia,COL,2000,8.24
Colombia,COL,2005,11.04
Colombia,COL,2010,12.77
Colombia,COL,2014,14.55
Comoros,COM,2014,11.97
Congo,COG,2014,11.97
Costa Rica,CRI,2014,9.83
Cote d'Ivoire,CIV,2014,11.97
Croatia,HRV,2000,6.05
Croatia,HRV,2005,5.85
Croatia,HRV,2010,5.41
Croatia,HRV,2014,4.99
Cuba,CUB,2000,6.14
Cuba,CUB,2005,6.24
Cuba,CUB,2010,6.28
Cuba,CUB,2014,6
Cyprus,CYP,2000,8.18
Cyprus,CYP,2005,11.31
Cyprus,CYP,2010,15.19
Cyprus,CYP,2014,18.7
Czech Republic,CZE,2000,6.28
Czech Republic,CZE,2005,7.13
Czech Republic,CZE,2010,7.93
Czech Republic,CZE,2014,7.61
Democratic Republic of Congo,COD,2000,11.57
Democratic Republic of Congo,COD,2005,11
Democratic Republic of Congo,COD,2010,10.56
Democratic Republic of Congo,COD,2014,9.83
Denmark,DNK,2000,6.7
Denmark,DNK,2005,7.1
Denmark,DNK,2010,7.08
Denmark,DNK,2014,7.21
Djibouti,DJI,2014,11.97
Dominican Republic,DOM,2014,9.83
Ecuador,ECU,2000,8.94
