Entity,Code,Year,Question 3: Extreme poverty (% answered correctly)
Australia,AUS,2017,6
Belgium,BEL,2017,5
Canada,CAN,2017,9
Finland,FIN,2017,17
France,FRA,2017,4
Germany,DEU,2017,6
Hungary,HUN,2017,2
Japan,JPN,2017,10
Norway,NOR,2017,25
Random Guess,,2017,33
South Korea,KOR,2017,4
Spain,ESP,2017,3
Sweden,SWE,2017,25
United Kingdom,GBR,2017,9
United States,USA,2017,5
