Entity,Code,Year,Equal coverage casualties ratio (Eisensee and Strömberg 2007)
Africa,,2002,45
Asia,,2002,43
Cold wave,,2002,3150
Drought,,2002,2395
Earthquake,,2002,2
Epidemic,,2002,1696
Europe,,2002,1
Fire,,2002,12
Flood,,2002,674
Food shortage,,2002,38920
Landslide,,2002,882
Pacific,,2002,91
S. and C. America,,2002,3
Storm,,2002,280
Volcano,,2002,1
