Entity,Code,Year,Universal suffrage to women (%),First female MP (% ),10% Share of women in parliament  (%),20% Share of women in parliament  (%),30% Share of women in parliament  (%)
World,OWID_WRL,1975,91.447365,76.315788,17.763159,8.5526314,1.9736842
World,OWID_WRL,1976,92.207794,77.922081,19.48052,10.38961,1.9480519
World,OWID_WRL,1977,92.903229,80,20.645161,10.967742,1.9354838
World,OWID_WRL,1978,93.037971,79.113922,21.518988,11.392406,1.8987342
World,OWID_WRL,1979,93.209877,80.864197,24.691359,12.345679,2.4691358
World,OWID_WRL,1980,93.902435,82.31707,26.829268,14.02439,3.6585367
World,OWID_WRL,1981,93.975906,81.325302,27.108435,14.457831,3.6144578
World,OWID_WRL,1982,93.975906,82.530121,27.710844,14.457831,3.6144578
World,OWID_WRL,1983,94.011978,82.035927,29.940121,14.371258,4.1916165
World,OWID_WRL,1984,94.047623,83.333336,30.952381,14.285714,4.1666665
World,OWID_WRL,1985,94.047623,83.333336,32.142857,14.285714,5.9523811
World,OWID_WRL,1986,94.705879,83.529411,33.529411,14.705882,6.4705882
World,OWID_WRL,1987,94.705879,84.705879,35.294117,15.882353,6.4705882
World,OWID_WRL,1988,94.705879,84.705879,38.235294,15.882353,7.0588236
World,OWID_WRL,1989,94.705879,86.470589,40.588234,16.470589,7.0588236
World,OWID_WRL,1990,95.857986,88.16568,40.828403,16.568047,6.5088758
World,OWID_WRL,1991,96.216217,89.729729,36.756756,14.054054,5.4054055
World,OWID_WRL,1992,96.236557,91.39785,39.784946,13.44086,5.3763442
World,OWID_WRL,1993,96.315788,93.157898,42.105263,13.684211,5.2631578
World,OWID_WRL,1994,96.858635,93.717278,45.026176,16.230366,5.7591624
World,OWID_WRL,1995,96.858635,93.717278,48.167538,16.753927,5.7591624
World,OWID_WRL,1996,96.858635,94.240837,49.73822,17.277487,5.7591624
World,OWID_WRL,1997,96.858635,94.240837,52.879581,18.324608,5.7591624
World,OWID_WRL,1998,96.858635,94.240837,54.973824,19.371727,6.2827225
World,OWID_WRL,1999,96.858635,94.240837,57.591621,20.942408,7.8534031
World,OWID_WRL,2000,96.858635,94.240837,59.685863,22.513088,7.8534031
World,OWID_WRL,2001,96.858635,94.240837,62.303665,23.560209,8.3769636
World,OWID_WRL,2002,96.875,94.270836,65.104164,25,9.375
World,OWID_WRL,2003,97.916664,94.791664,66.145836,26.041666,10.416667
World,OWID_WRL,2004,97.916664,94.791664,71.354164,28.125,10.9375
World,OWID_WRL,2005,98.4375,94.791664,75.520836,33.333332,13.020833
World,OWID_WRL,2006,98.445595,94.818649,75.647667,35.751297,12.953368
World,OWID_WRL,2007,98.445595,95.336784,77.720207,39.896374,13.471502
World,OWID_WRL,2008,98.445595,95.854919,77.720207,41.450779,15.544042
World,OWID_WRL,2009,98.445595,96.373055,78.756477,43.00518,16.580311
World,OWID_WRL,2010,98.445595,96.373055,80.829018,45.077721,16.580311
World,OWID_WRL,2011,98.453606,96.907219,82.474228,47.42268,18.041237
World,OWID_WRL,2012,98.453606,96.907219,83.505157,50,20.103092
World,OWID_WRL,2013,98.453606,96.907219,84.536079,51.03093,23.195877
World,OWID_WRL,2014,98.453606,97.422684,85.567009,52.061855,24.226805
World,OWID_WRL,2015,98.453606,97.422684,86.082474,53.092785,26.804123
World,OWID_WRL,2016,98.453606,97.422684,87.113403,55.15464,26.804123
World,OWID_WRL,2017,98.453606,97.422684,88.144333,56.701031,27.835052
