Entity,Code,Year,"Average weekly hours worked (women, 15+) (OECD Labor Force Statistics (2017)) (Hours)"
Australia,AUS,2001,31.06268462
Australia,AUS,2002,30.96412088
Australia,AUS,2003,30.9294885
Australia,AUS,2004,31.10746257
Australia,AUS,2005,31.10918742
Australia,AUS,2006,31.14025138
Australia,AUS,2007,31.34746626
Australia,AUS,2008,31.40100539
Australia,AUS,2009,31.13646385
Australia,AUS,2010,31.0412815
Australia,AUS,2011,31.06570513
Australia,AUS,2012,31.12021447
Australia,AUS,2013,31.10970448
Australia,AUS,2014,30.94227787
Australia,AUS,2015,31.18071945
Australia,AUS,2016,31.07760604
Austria,AUT,1995,35.91886665
Austria,AUT,1996,35.97178624
Austria,AUT,1997,36.02361386
Austria,AUT,1998,35.53993821
Austria,AUT,1999,35.11949311
Austria,AUT,2000,35.06067477
Austria,AUT,2001,34.69243313
Austria,AUT,2002,34.37385186
Austria,AUT,2003,34.21475705
Austria,AUT,2004,34.35522336
Austria,AUT,2005,33.92962364
Austria,AUT,2006,33.74784675
Austria,AUT,2007,33.58852309
Austria,AUT,2008,33.40414382
Austria,AUT,2009,32.96922196
Austria,AUT,2010,32.79332521
Austria,AUT,2011,32.69910773
Austria,AUT,2012,32.58932538
Austria,AUT,2013,32.39070854
Austria,AUT,2014,31.94080189
Austria,AUT,2015,31.89737989
Austria,AUT,2016,31.90015174
Belgium,BEL,1983,36.60474492
Belgium,BEL,1984,36.19082839
Belgium,BEL,1985,35.78529303
Belgium,BEL,1986,35.65107193
Belgium,BEL,1987,34.59060639
Belgium,BEL,1988,34.63115876
Belgium,BEL,1989,34.30830826
Belgium,BEL,1990,34.36429248
Belgium,BEL,1991,33.81920139
Belgium,BEL,1992,33.82082863
Belgium,BEL,1993,33.2421316
Belgium,BEL,1994,33.27541867
Belgium,BEL,1995,33.54215809
Belgium,BEL,1996,33.26324592
Belgium,BEL,1997,33.25384913
Belgium,BEL,1998,33.61750745
Belgium,BEL,1999,32.62224843
Belgium,BEL,2000,32.63667954
Belgium,BEL,2001,32.77053033
Belgium,BEL,2002,33.14574615
Belgium,BEL,2003,32.76830819
Belgium,BEL,2004,32.39967918
Belgium,BEL,2005,32.64781196
Belgium,BEL,2006,32.37147899
Belgium,BEL,2007,32.82915579
Belgium,BEL,2008,32.60998889
Belgium,BEL,2009,32.7642313
Belgium,BEL,2010,32.83027491
Belgium,BEL,2011,32.64874618
Belgium,BEL,2012,32.76831482
Belgium,BEL,2013,33.03613382
Belgium,BEL,2014,33.15815497
Belgium,BEL,2015,33.21133958
Belgium,BEL,2016,33.17303557
Brazil,BRA,2001,35.99063224
Brazil,BRA,2002,35.49092993
Brazil,BRA,2003,35.43337789
Brazil,BRA,2004,35.4073045
Brazil,BRA,2005,34.92659011
Brazil,BRA,2006,34.87440045
Brazil,BRA,2007,35.22774743
Brazil,BRA,2008,35.44535786
Brazil,BRA,2009,35.50390399
Brazil,BRA,2011,36.14000378
Brazil,BRA,2012,36.07471
Brazil,BRA,2013,35.69126352
Brazil,BRA,2014,35.41551107
Brazil,BRA,2015,34.88661254
Bulgaria,BGR,2000,40.04154242
Bulgaria,BGR,2001,40.41433193
Bulgaria,BGR,2002,40.42302837
Bulgaria,BGR,2003,40.3275584
Bulgaria,BGR,2004,40.55160996
Bulgaria,BGR,2005,40.59715721
Bulgaria,BGR,2006,40.82388831
Bulgaria,BGR,2007,41.00089023
Bulgaria,BGR,2008,41.03955162
Bulgaria,BGR,2009,40.87604954
Bulgaria,BGR,2010,40.78617455
Bulgaria,BGR,2011,40.53318188
Bulgaria,BGR,2012,40.37289971
Bulgaria,BGR,2013,40.35221355
Bulgaria,BGR,2014,40.44590174
Bulgaria,BGR,2015,40.44132857
Bulgaria,BGR,2016,40.50794463
Chile,CHL,1996,43.92659484
Chile,CHL,1997,43.47092033
Chile,CHL,1998,43.82666689
Chile,CHL,1999,43.65580426
Chile,CHL,2000,43.75136775
Chile,CHL,2001,43.77382144
Chile,CHL,2002,43.95371498
Chile,CHL,2003,43.52849987
Chile,CHL,2004,43.03759748
Chile,CHL,2005,41.65375589
Chile,CHL,2006,41.64254489
Chile,CHL,2007,41.32662844
Chile,CHL,2008,41.08529362
Chile,CHL,2009,40.39809729
Chile,CHL,2010,38.7814169
Chile,CHL,2011,38.78330434
Chile,CHL,2012,38.95289866
Chile,CHL,2013,38.94532396
Chile,CHL,2014,38.58713478
Chile,CHL,2015,38.36565261
Chile,CHL,2016,38.13659251
Colombia,COL,2001,41.15246118
Colombia,COL,2002,40.37967801
Colombia,COL,2003,41.79968385
Colombia,COL,2004,41.7419482
Colombia,COL,2005,42.20021128
Colombia,COL,2007,43.10192097
Colombia,COL,2008,42.41503804
Colombia,COL,2009,41.48915201
Colombia,COL,2010,41.17091655
Colombia,COL,2011,40.65004388
Colombia,COL,2012,40.17968917
Colombia,COL,2013,40.00145734
Colombia,COL,2014,40.12218109
Colombia,COL,2015,39.90491771
Colombia,COL,2016,39.76348536
Costa Rica,CRI,2010,38.38797944
Costa Rica,CRI,2011,39.9393086
Costa Rica,CRI,2012,37.80937881
Costa Rica,CRI,2013,36.48356493
Costa Rica,CRI,2014,36.33454771
Costa Rica,CRI,2015,37.0180403
Costa Rica,CRI,2016,38.34402465
Croatia,HRV,2002,39.69844657
Croatia,HRV,2003,39.56392346
Croatia,HRV,2004,39.496511
Croatia,HRV,2005,39.03276273
Croatia,HRV,2006,38.89265561
Croatia,HRV,2007,39.19084849
Croatia,HRV,2008,39.2150283
Croatia,HRV,2009,39.23986192
Croatia,HRV,2010,39.0125637
Croatia,HRV,2011,38.84762769
Croatia,HRV,2012,39.10233827
Croatia,HRV,2013,39.01428707
Croatia,HRV,2014,39.11683917
Croatia,HRV,2015,38.6134009
Croatia,HRV,2016,38.55511351
Cyprus,CYP,2000,37.81823736
Cyprus,CYP,2001,37.71674294
Cyprus,CYP,2002,37.9729232
Cyprus,CYP,2003,37.64434094
Cyprus,CYP,2004,37.81637494
Cyprus,CYP,2005,37.4948721
Cyprus,CYP,2006,37.61629423
Cyprus,CYP,2007,37.9164226
Cyprus,CYP,2008,37.8737634
Cyprus,CYP,2009,37.81184879
Cyprus,CYP,2010,37.97667572
Cyprus,CYP,2011,37.9821536
Cyprus,CYP,2012,38.07648307
Cyprus,CYP,2013,37.84005664
Cyprus,CYP,2014,37.39477496
Cyprus,CYP,2015,37.46641812
Cyprus,CYP,2016,37.34914979
Czech Republic,CZE,2002,39.51136952
Czech Republic,CZE,2003,39.59336209
Czech Republic,CZE,2005,39.5753095
Czech Republic,CZE,2006,39.47538551
Czech Republic,CZE,2007,39.44223066
Czech Republic,CZE,2008,39.42394583
Czech Republic,CZE,2009,39.15195389
Czech Republic,CZE,2010,38.9992224
Czech Republic,CZE,2011,38.98508271
Czech Republic,CZE,2012,38.81071227
Czech Republic,CZE,2013,38.45322548
Czech Republic,CZE,2014,38.45243005
Czech Republic,CZE,2015,38.56505686
Czech Republic,CZE,2016,38.40761676
Denmark,DNK,1983,32.09021071
Denmark,DNK,1984,31.57361503
Denmark,DNK,1985,31.84222757
Denmark,DNK,1986,32.48199993
Denmark,DNK,1987,32.0940398
Denmark,DNK,1988,32.12191315
Denmark,DNK,1989,31.90127407
Denmark,DNK,1990,32.07258715
Denmark,DNK,1991,31.79351797
Denmark,DNK,1992,31.85051029
Denmark,DNK,1993,31.69023417
Denmark,DNK,1994,32.77064233
Denmark,DNK,1995,32.33136277
Denmark,DNK,1996,32.30090459
Denmark,DNK,1997,32.37620483
Denmark,DNK,1998,32.11091008
Denmark,DNK,1999,32.69024213
Denmark,DNK,2000,32.86745342
Denmark,DNK,2001,33.08386452
Denmark,DNK,2002,32.88289782
Denmark,DNK,2003,32.64627393
Denmark,DNK,2004,32.17478883
Denmark,DNK,2005,32.40355338
Denmark,DNK,2006,32.17367648
Denmark,DNK,2007,31.81626414
Denmark,DNK,2008,31.72430702
Denmark,DNK,2009,31.43897321
Denmark,DNK,2010,31.15925805
Denmark,DNK,2011,31.17496474
Denmark,DNK,2012,31.24283477
Denmark,DNK,2013,31.32504431
Denmark,DNK,2014,31.09278871
Denmark,DNK,2015,31.03551881
Denmark,DNK,2016,30.6200876
Estonia,EST,2000,38.90525685
Estonia,EST,2001,38.76961272
Estonia,EST,2002,38.59419178
Estonia,EST,2003,38.24506816
Estonia,EST,2004,38.34756785
Estonia,EST,2005,38.37494489
Estonia,EST,2006,38.21584278
Estonia,EST,2007,38.04806086
Estonia,EST,2008,38.17661777
Estonia,EST,2009,37.52076039
Estonia,EST,2010,37.38882067
Estonia,EST,2011,37.21005995
Estonia,EST,2012,37.42461401
Estonia,EST,2013,37.63298716
Estonia,EST,2014,37.84936818
Estonia,EST,2015,37.21565118
Estonia,EST,2016,37.10831047
Finland,FIN,2001,35.70322292
Finland,FIN,2002,35.92191901
Finland,FIN,2003,35.71168142
Finland,FIN,2004,35.63280169
Finland,FIN,2005,36.01105354
Finland,FIN,2006,35.85950554
Finland,FIN,2007,35.21638655
Finland,FIN,2008,35.34046434
Finland,FIN,2009,35.17801087
Finland,FIN,2010,35.13085709
Finland,FIN,2011,35.14337481
Finland,FIN,2012,34.94984167
Finland,FIN,2013,34.74920887
Finland,FIN,2014,34.79435449
Finland,FIN,2015,34.88843345
Finland,FIN,2016,34.60591043
France,FRA,1983,36.79426408
France,FRA,1984,36.65272425
France,FRA,1985,36.3132695
France,FRA,1986,35.95388954
France,FRA,1987,35.9085095
France,FRA,1988,35.93250233
France,FRA,1989,35.82980021
France,FRA,1990,35.52513124
