Entity,Code,Year,Precipitation (km³ per year)
Africa,,2015,20371
Americas,,2015,44408
Asia,,2015,26855
Central America and Caribbean,,2015,1515
Central Asia,,2015,1271
East Asia,,2015,7454
Eastern Europe,,2015,9464
Europe,,2015,12564
Middle East,,2015,1422
North America,,2015,13881
Northern Africa,,2015,550
Oceania,,2015,4765
South America,,2015,29012
South Asia,,2015,4767
Sub-Saharan Africa,,2015,19821
Western & Central Europe,,2015,4100
World,OWID_WRL,2015,108963
