Entity,Code,Year,Fossil fuels (terawatt-hours)
Africa,,1966,27.80026389112004
Africa,,1967,6.73854394055013
Africa,,1968,34.17940943066981
Africa,,1969,9.07317327262001
Africa,,1970,53.43900412684013
Africa,,1971,78.32697814430992
Africa,,1972,49.675614966610055
Africa,,1973,76.12656460627
Africa,,1974,40.913234231230035
Africa,,1975,62.21183747590999
Africa,,1976,96.20764930682003
Africa,,1977,56.9688113661698
Africa,,1978,50.86616686692014
Africa,,1979,126.96509754648991
Africa,,1980,123.91789202030009
Africa,,1981,187.71790593280002
Africa,,1982,127.3159371630004
Africa,,1983,63.69105186099955
Africa,,1984,61.73501006940023
Africa,,1985,65.73987279170001
Africa,,1986,36.852830687799724
Africa,,1987,83.26599704260025
Africa,,1988,145.5509495721999
Africa,,1989,-1.273811337799998
Africa,,1990,85.24201731340008
Africa,,1991,-13.504258235999714
Africa,,1992,50.83222954999974
Africa,,1993,18.704678561799938
Africa,,1994,69.51124302779954
Africa,,1995,100.13021368320051
Africa,,1996,67.86561361199983
Africa,,1997,48.838130909400206
Africa,,1998,34.78924907739929
Africa,,1999,82.71559636040092
Africa,,2000,58.66479834469965
Africa,,2001,117.2022929648997
Africa,,2002,22.770442709500458
Africa,,2003,164.0778998695996
Africa,,2004,237.38414680540018
Africa,,2005,29.33999036410023
Africa,,2006,61.732730007900045
Africa,,2007,128.67042453149998
Africa,,2008,245.4698164988995
Africa,,2009,68.30139924860032
Africa,,2010,113.05560960319963
Africa,,2011,9.449255327300307
Africa,,2012,158.48998585400022
Africa,,2013,98.08793927950046
Africa,,2014,124.6551506331989
Africa,,2015,81.94627534940082
Africa,,2016,98.35017926490036
Africa,,2017,77.05056172139939
Africa,,2018,127.54245595229986
Algeria,DZA,1966,5.132943333289997
Algeria,DZA,1967,-1.7477541670400036
Algeria,DZA,1968,1.6451602732300046
Algeria,DZA,1969,3.791516117519997
Algeria,DZA,1970,2.5721283183800026
Algeria,DZA,1971,3.713194452389999
Algeria,DZA,1972,4.427098885550009
Algeria,DZA,1973,7.8428833370299955
Algeria,DZA,1974,6.412288329760003
Algeria,DZA,1975,11.960476661139992
Algeria,DZA,1976,11.552055007310003
Algeria,DZA,1977,8.465331113280001
Algeria,DZA,1978,23.205051110979994
Algeria,DZA,1979,35.05750249386003
Algeria,DZA,1980,28.703272787190002
Algeria,DZA,1981,37.720922765089995
Algeria,DZA,1982,32.591794967309994
Algeria,DZA,1983,23.57605332122
Algeria,DZA,1984,-11.412134709910049
Algeria,DZA,1985,1.5267267264700308
Algeria,DZA,1986,16.364941124389986
Algeria,DZA,1987,6.94125969026004
Algeria,DZA,1988,21.188134701130025
Algeria,DZA,1989,-8.480707520070041
Algeria,DZA,1990,18.174544701390005
Algeria,DZA,1991,-3.3458496212899718
Algeria,DZA,1992,8.40975943775993
Algeria,DZA,1993,-22.68727892875995
Algeria,DZA,1994,4.479079147290008
Algeria,DZA,1995,11.143886992149987
Algeria,DZA,1996,-3.04859303170997
Algeria,DZA,1997,-11.88756034088999
Algeria,DZA,1998,10.075258592259956
Algeria,DZA,1999,3.1206678400500323
Algeria,DZA,2000,-11.047938596640051
Algeria,DZA,2001,10.824291591610063
Algeria,DZA,2002,11.173895939299996
Algeria,DZA,2003,14.36943079949998
Algeria,DZA,2004,12.900922213199976
Algeria,DZA,2005,15.626972116200022
Algeria,DZA,2006,13.919400855200024
Algeria,DZA,2007,20.399840263899932
Algeria,DZA,2008,23.760960389200022
Algeria,DZA,2009,25.1425529846
Algeria,DZA,2010,-10.977829374599992
Algeria,DZA,2011,26.469123003300012
Algeria,DZA,2012,43.13644979150001
Algeria,DZA,2013,30.097072079399993
Algeria,DZA,2014,48.29612290039995
Algeria,DZA,2015,31.99510040719997
Algeria,DZA,2016,-0.9468638931998612
Algeria,DZA,2017,0.38255454509987885
Algeria,DZA,2018,41.307200237000075
Argentina,ARG,1966,10.365477287339957
Argentina,ARG,1967,9.53265297571005
Argentina,ARG,1968,10.899614205379976
Argentina,ARG,1969,12.282911374989965
Argentina,ARG,1970,-20.482098486319956
Argentina,ARG,1971,21.028526686159978
