Entity,Code,Year,Oil (%)
Africa,,1966,9.411583283322544
Africa,,1967,-0.7731366639810333
Africa,,1968,5.511944596132001
Africa,,1969,1.3749102435747007
Africa,,1970,10.479818684899978
Africa,,1971,12.984895498472259
Africa,,1972,8.342843262784205
Africa,,1973,7.5219330762749115
Africa,,1974,3.3765886304994996
Africa,,1975,4.564861606557691
Africa,,1976,11.014727143293479
Africa,,1977,5.8244285475911095
Africa,,1978,5.216463557063089
Africa,,1979,6.598484124427806
Africa,,1980,5.891799116567165
Africa,,1981,6.439157028249576
Africa,,1982,4.799013125619522
Africa,,1983,3.396737317927445
Africa,,1984,2.129899780749711
Africa,,1985,2.2584653321314763
Africa,,1986,-1.5656623786065582
Africa,,1987,5.063431421574105
Africa,,1988,4.671572900891241
Africa,,1989,3.6915457939427077
Africa,,1990,1.404834502326624
Africa,,1991,0.7085205868039512
Africa,,1992,2.260389005527963
Africa,,1993,1.1874578391375623
Africa,,1994,2.325339361628287
Africa,,1995,3.5249264107424017
Africa,,1996,2.5424521081982343
Africa,,1997,2.6810776071549247
Africa,,1998,2.397676452641462
Africa,,1999,3.5817053631715057
Africa,,2000,0.5710353819699865
Africa,,2001,1.3401667460680722
Africa,,2002,1.7817434919326969
Africa,,2003,2.6611039017591542
Africa,,2004,4.760622730502573
Africa,,2005,5.083377390944377
Africa,,2006,0.684840932545705
Africa,,2007,3.3696320488037834
Africa,,2008,5.593947186366899
Africa,,2009,3.5912175747486064
Africa,,2010,4.768796720215529
Africa,,2011,-2.730787797586276
Africa,,2012,5.6218367129790225
Africa,,2013,3.3818682288474067
Africa,,2014,1.8200045722681635
Africa,,2015,2.2664237091846617
Africa,,2016,0.561214151206757
Africa,,2017,1.6662663601410221
Africa,,2018,-0.40156582385834083
Algeria,DZA,1966,31.596064444281247
Algeria,DZA,1967,-6.563870711738806
Algeria,DZA,1968,6.468526363278704
Algeria,DZA,1969,5.645914601335655
Algeria,DZA,1970,14.276545651182747
Algeria,DZA,1971,12.70087885037321
Algeria,DZA,1972,9.77171641126995
Algeria,DZA,1973,9.225764803714886
Algeria,DZA,1974,11.074339310233805
Algeria,DZA,1975,11.183352832566772
Algeria,DZA,1976,14.981454612335643
Algeria,DZA,1977,13.033083540200007
Algeria,DZA,1978,3.4114196696060306
Algeria,DZA,1979,19.61376235526442
Algeria,DZA,1980,1.353079437636362
Algeria,DZA,1981,7.73482600349451
Algeria,DZA,1982,5.9592847595682175
Algeria,DZA,1983,12.331059785214249
Algeria,DZA,1984,10.730740342108081
Algeria,DZA,1985,2.7146193672686225
Algeria,DZA,1986,1.5198273489312575
Algeria,DZA,1987,1.1010568383216235
Algeria,DZA,1988,0.0727289060695302
Algeria,DZA,1989,4.803809289619609
Algeria,DZA,1990,7.576686251945031
Algeria,DZA,1991,-1.0587716714492657
Algeria,DZA,1992,0.6009967920409975
Algeria,DZA,1993,-0.4832114898763895
Algeria,DZA,1994,-4.24719973817691
Algeria,DZA,1995,-2.74265768937928
Algeria,DZA,1996,-4.576399635654427
Algeria,DZA,1997,-0.7911439048459812
Algeria,DZA,1998,3.088102231729528
Algeria,DZA,1999,-1.7488814994343627
Algeria,DZA,2000,4.281298999371419
Algeria,DZA,2001,3.532208451861596
Algeria,DZA,2002,10.884438796385387
Algeria,DZA,2003,4.034628427982168
Algeria,DZA,2004,4.524255824419354
Algeria,DZA,2005,4.245972196528203
Algeria,DZA,2006,4.196553013341187
Algeria,DZA,2007,11.830376875523996
Algeria,DZA,2008,8.648826793104035
Algeria,DZA,2009,6.013876966126541
Algeria,DZA,2010,-0.047505829052763016
Algeria,DZA,2011,6.764162953560726
Algeria,DZA,2012,6.32979417175803
Algeria,DZA,2013,4.491844300992454
Algeria,DZA,2014,3.9090313555802947
Algeria,DZA,2015,6.409066415063158
Algeria,DZA,2016,-2.840350228133448
Algeria,DZA,2017,-1.7659157546151438
Algeria,DZA,2018,1.2454895923735165
Argentina,ARG,1966,3.2388448719668617
Argentina,ARG,1967,2.465633702497172
Argentina,ARG,1968,2.1152375807039103
Argentina,ARG,1969,3.9053326088949403
Argentina,ARG,1970,-10.213635431731616
Argentina,ARG,1971,6.795591048587202
Argentina,ARG,1972,0.13649126300014913
Argentina,ARG,1973,0.342653416294203
Argentina,ARG,1974,0.35051605950255915
Argentina,ARG,1975,-5.7964835174533995
Argentina,ARG,1976,3.881110781104491
Argentina,ARG,1977,5.421649963178976
Argentina,ARG,1978,-0.0036441829131650394
Argentina,ARG,1979,5.775387459471681
Argentina,ARG,1980,-6.4244113874566855
Argentina,ARG,1981,-7.293670586561307
Argentina,ARG,1982,-4.083572547202552
Argentina,ARG,1983,1.8012091101407668
Argentina,ARG,1984,-5.729388981313432
Argentina,ARG,1985,-9.546847086330468
Argentina,ARG,1986,14.865712127235486
Argentina,ARG,1987,6.730776908738756
Argentina,ARG,1988,-0.27631017373089817
Argentina,ARG,1989,-9.278267392211504
Argentina,ARG,1990,-5.40807602208192
Argentina,ARG,1991,3.0239687760074796
Argentina,ARG,1992,5.630538880294922
Argentina,ARG,1993,-0.9511913013455664
Argentina,ARG,1994,-3.3337207758843412
Argentina,ARG,1995,-0.5499638540574892
Argentina,ARG,1996,3.9367299274906564
Argentina,ARG,1997,0.12115758705402158
Argentina,ARG,1998,2.209917633211078
Argentina,ARG,1999,-6.889565215857574
Argentina,ARG,2000,1.0064678875502775
Argentina,ARG,2001,-3.662486521044095
Argentina,ARG,2002,-7.824846428150289
Argentina,ARG,2003,2.918194834319321
Argentina,ARG,2004,5.2017679977277576
