Entity,Code,Year,Paid work (minutes),Education (minutes),Commuting (minutes),Shopping (minutes),Food preparation (minutes),Leisure (minutes),Elderly care,Voluntary work
Australia,AUS,1974,244.49484,96.780014,27.558325,28.468176,42.449345,65.683899,16.661745,56.32785
Austria,AUT,1992,155.11946,95.564957,13.581457,35.918278,41.686085,68.880981,57.667007,53.26548
Canada,CAN,1971,261.97772,106.07338,25.079775,31.520838,51.823608,71.161194,,76.598671
Canada,CAN,1972,255.74231,122.02151,26.707106,34.672684,47.397236,78.18924,,69.44075
Canada,CAN,1981,239.71478,135.28429,21.82864,30.719198,37.248104,78.246559,,78.951004
Canada,CAN,1986,217.80618,150.07883,27.682285,51.104305,36.60598,75.906799,,88.927643
Canada,CAN,1992,241.34981,149.82065,27.001289,40.551525,33.028362,56.90522,,61.74379
Canada,CAN,1998,248.00453,138.5136,29.547581,39.940224,31.525089,58.727173,,61.854385
Canada,CAN,1999,242.35794,125.24033,28.416573,43.263386,32.540977,58.718719,,55.082783
Denmark,DNK,1964,243.5107,124.31158,,49.6194,,128.27838,,120.81436
Denmark,DNK,1987,237.78232,141.08488,28.04793,34.30452,36.546421,106.09097,,111.57343
Denmark,DNK,2001,265.78461,144.20222,32.159012,28.281979,30.809053,58.050159,19.592905,40.513115
France,FRA,1965,272.00751,81.640366,27.759592,29.401012,64.293335,53.721397,,64.588409
France,FRA,1974,282.14926,133.68205,39.458195,29.002188,53.236557,67.817963,,45.325718
France,FRA,1998,200.37575,135.27908,27.135254,36.97805,37.390209,54.418461,29.787935,39.232014
France,FRA,1999,198.47215,154.79088,27.983286,36.794334,35.94548,51.569824,26.865393,29.829529
Germany,DEU,1965,275.00677,89.957169,26.761297,34.092999,58.213188,52.873169,,53.334766
Germany,DEU,1991,228.22522,113.37534,27.615376,27.627296,42.224876,53.401901,37.53854,30.034672
Germany,DEU,1992,232.25053,120.46108,27.779438,25.714924,40.793655,56.270805,28.647406,35.334347
Germany,DEU,2001,250.92805,77.443428,37.600502,40.955055,38.226757,59.957684,,39.198055
Germany,DEU,2002,250.86691,73.547699,36.380039,39.389515,38.497532,59.218838,,39.538525
Israel,ISR,1991,199.77954,107.88723,28.558842,38.920902,44.283207,71.58149,63.393291,61.389767
Israel,ISR,1992,208.35809,119.69649,29.18582,35.069683,42.491398,66.706871,56.040565,48.115921
Italy,ITA,1980,253.01062,145.26189,33.480545,38.550804,65.306801,77.957542,,52.601307
Italy,ITA,1989,275.53571,144.97794,,35.800758,70.303535,57.330914,15.662889,39.579437
Italy,ITA,2002,301.39413,151.78802,43.573128,31.857855,50.16824,56.38131,,68.175438
Italy,ITA,2003,287.38156,171.56592,41.063328,31.738491,49.921436,51.536705,,66.459816
Netherlands,NLD,1975,222.09099,92.24823,31.016855,35.384918,54.456768,95.121338,32.04808,22.92452
Netherlands,NLD,1980,216.58098,82.161491,30.967882,36.028099,56.427425,96.990906,35.312023,22.358082
Netherlands,NLD,1985,211.4375,91.448418,29.831604,33.028461,46.329109,87.75676,38.871872,21.577406
Netherlands,NLD,1990,211.65213,90.699501,30.04841,34.29248,43.934399,83.037529,37.879177,21.084946
Netherlands,NLD,1995,218.20891,89.828583,31.19388,33.430607,36.724247,75.546127,41.8974,20.700079
Netherlands,NLD,2000,211.09045,89.05864,30.633646,34.440491,37.403019,72.994194,19.17746,26.766624
