Entity,Code,Year,Year,Government expenditure on secondary education as % of GDP (%) (%)
Albania,ALB,2013,0.701640009880066
Algeria,DZA,1999,2.05296993255615
Algeria,DZA,2000,1.67496001720428
Algeria,DZA,2002,1.87599003314972
Algeria,DZA,2003,1.91256999969482
Andorra,AND,2002,0.274190008640289
Andorra,AND,2004,0.28753000497818
Andorra,AND,2005,0.329950004816055
Andorra,AND,2006,0.471560001373291
Andorra,AND,2007,0.511189997196198
Andorra,AND,2009,0.826650023460388
Andorra,AND,2010,0.64180999994278
Andorra,AND,2011,0.674730002880096
Andorra,AND,2013,0.867990016937256
Andorra,AND,2014,0.628400027751923
Angola,AGO,2005,1.17068004608154
Angola,AGO,2006,0.967890024185181
Antigua and Barbuda,ATG,1999,1.20680999755859
Antigua and Barbuda,ATG,2002,1.21113002300262
Antigua and Barbuda,ATG,2009,1.23617005348206
Antigua and Barbuda,ATG,2011,0.938530027866364
Argentina,ARG,1998,1.34174001216888
Argentina,ARG,1999,1.66881000995636
Argentina,ARG,2000,1.63531994819641
Argentina,ARG,2001,1.77037000656128
Argentina,ARG,2002,1.57648003101349
Argentina,ARG,2003,1.31714999675751
Argentina,ARG,2004,1.19314002990723
Argentina,ARG,2005,1.44823002815247
Argentina,ARG,2006,1.46276998519897
Argentina,ARG,2007,1.52913999557495
Argentina,ARG,2008,1.70013999938965
Argentina,ARG,2009,1.99380004405975
Argentina,ARG,2010,1.82642996311188
Argentina,ARG,2011,2.01805996894836
Argentina,ARG,2012,2.06196999549866
Argentina,ARG,2013,2.2192599773407
Armenia,ARM,2012,1.50941002368927
Armenia,ARM,2013,1.29542994499207
Armenia,ARM,2014,1.22021996974945
Aruba,ABW,1998,1.19068002700806
Aruba,ABW,1999,1.28446996212006
Aruba,ABW,2000,1.30587995052338
Aruba,ABW,2001,1.40056002140045
Aruba,ABW,2002,1.37937998771667
Aruba,ABW,2004,1.25302994251251
Aruba,ABW,2005,1.25295996665955
Australia,AUS,2000,1.88883996009827
Australia,AUS,2005,1.95091998577118
Australia,AUS,2006,1.87899994850159
Australia,AUS,2007,1.81488001346588
Australia,AUS,2008,1.78998005390167
Australia,AUS,2009,1.92408001422882
Australia,AUS,2010,2.04874992370605
Australia,AUS,2011,1.86581003665924
Australia,AUS,2012,1.72657001018524
Australia,AUS,2013,1.74274003505707
Austria,AUT,1998,2.69646000862122
Austria,AUT,1999,2.74616003036499
Austria,AUT,2000,2.54295992851257
Austria,AUT,2001,2.52539992332459
Austria,AUT,2002,2.52934002876282
Austria,AUT,2003,2.63384008407593
Austria,AUT,2004,2.51571989059448
Austria,AUT,2005,2.42158007621765
Austria,AUT,2006,2.44677996635437
Austria,AUT,2007,2.39597010612488
Austria,AUT,2008,2.4513099193573
Austria,AUT,2009,2.69532990455627
Austria,AUT,2010,2.53960990905762
Austria,AUT,2011,2.54907989501953
Austria,AUT,2012,2.27080011367798
Austria,AUT,2013,2.29305005073547
