Entity,Code,Year,Onshore wind LCOE (2016 $/kWh)
Brazil,BRA,2001,0.14286537
Brazil,BRA,2003,0.137430137
Brazil,BRA,2005,0.128422605
Brazil,BRA,2006,0.105407878
Brazil,BRA,2007,0.099791336
Brazil,BRA,2008,0.084345118
Brazil,BRA,2009,0.114186735
Brazil,BRA,2010,0.101440017
Brazil,BRA,2011,0.078576064
Brazil,BRA,2012,0.082046372
Brazil,BRA,2013,0.080901323
Brazil,BRA,2014,0.064881693
Brazil,BRA,2015,0.053763452
Brazil,BRA,2016,0.061466599
Canada,CAN,1990,0.224890191
Canada,CAN,1992,0.193322318
Canada,CAN,1993,0.171291853
Canada,CAN,1994,0.147598674
Canada,CAN,1996,0.152104164
Canada,CAN,1999,0.139935843
Canada,CAN,2000,0.114492963
Canada,CAN,2001,0.084590942
Canada,CAN,2002,0.083219567
Canada,CAN,2003,0.080058748
Canada,CAN,2004,0.079021653
Canada,CAN,2005,0.071307144
Canada,CAN,2006,0.08030307
Canada,CAN,2007,0.091163955
Canada,CAN,2008,0.084810399
Canada,CAN,2009,0.093677923
Canada,CAN,2010,0.099639758
Canada,CAN,2011,0.081904356
Canada,CAN,2012,0.096456989
Canada,CAN,2013,0.091056272
Canada,CAN,2014,0.089161814
Canada,CAN,2015,0.079585994
Canada,CAN,2016,0.07290048
China,CHN,1996,0.199507036
China,CHN,1997,0.199507036
China,CHN,1998,0.167923012
China,CHN,1999,0.162030976
China,CHN,2000,0.146932635
China,CHN,2001,0.121683342
China,CHN,2002,0.136437447
China,CHN,2003,0.098039551
China,CHN,2004,0.095329605
China,CHN,2005,0.100188883
China,CHN,2006,0.096473701
China,CHN,2007,0.079150012
China,CHN,2008,0.075834279
China,CHN,2009,0.08629028
China,CHN,2010,0.069925305
China,CHN,2011,0.062184739
China,CHN,2012,0.063204612
China,CHN,2013,0.061323663
China,CHN,2014,0.060811942
China,CHN,2015,0.058758857
China,CHN,2016,0.056909127
Denmark,DNK,1983,0.286365191
Denmark,DNK,1984,0.280658694
Denmark,DNK,1985,0.262947474
Denmark,DNK,1986,0.253388461
Denmark,DNK,1987,0.239567332
Denmark,DNK,1988,0.246475713
Denmark,DNK,1989,0.223110277
Denmark,DNK,1990,0.227097415
Denmark,DNK,1991,0.214521276
Denmark,DNK,1992,0.1935488
Denmark,DNK,1993,0.193401526
Denmark,DNK,1994,0.187044733
Denmark,DNK,1995,0.156273527
Denmark,DNK,1996,0.151162156
Denmark,DNK,1997,0.154341598
Denmark,DNK,1998,0.14492311
Denmark,DNK,1999,0.140364532
Denmark,DNK,2000,0.150817072
Denmark,DNK,2001,0.143673654
Denmark,DNK,2002,0.101229836
Denmark,DNK,2003,0.080599409
Denmark,DNK,2004,0.069745644
Denmark,DNK,2005,0.084294511
Denmark,DNK,2006,0.108334751
Denmark,DNK,2008,0.101727102
Denmark,DNK,2009,0.099095097
Denmark,DNK,2010,0.074967942
Denmark,DNK,2011,0.065878585
Denmark,DNK,2012,0.063918264
Denmark,DNK,2013,0.060984845
Denmark,DNK,2014,0.059148244
Denmark,DNK,2015,0.057749432
Denmark,DNK,2016,0.055611627
France,FRA,1991,0.225247339
France,FRA,1993,0.218098901
France,FRA,1996,0.191800909
France,FRA,1997,0.177292193
France,FRA,1998,0.161375506
France,FRA,1999,0.15224639
France,FRA,2000,0.144264071
France,FRA,2001,0.119132534
France,FRA,2002,0.124062656
France,FRA,2003,0.092874346
France,FRA,2004,0.10806544
France,FRA,2005,0.106056067
France,FRA,2006,0.107325519
France,FRA,2007,0.097186148
France,FRA,2008,0.138921248
France,FRA,2009,0.125220517
France,FRA,2010,0.119835728
France,FRA,2011,0.102131424
France,FRA,2012,0.091921686
France,FRA,2013,0.085829788
France,FRA,2014,0.073095123
France,FRA,2015,0.071982548
France,FRA,2016,0.069795842
Germany,DEU,1987,0.280658694
Germany,DEU,1990,0.238452286
Germany,DEU,1991,0.225247339
Germany,DEU,1992,0.224260156
Germany,DEU,1993,0.218098901
Germany,DEU,1994,0.161595427
Germany,DEU,1995,0.189531684
Germany,DEU,1996,0.171975065
Germany,DEU,1997,0.170379009
Germany,DEU,1998,0.160650666
Germany,DEU,1999,0.156507193
Germany,DEU,2000,0.155402436
Germany,DEU,2001,0.163258484
Germany,DEU,2002,0.127101617
Germany,DEU,2003,0.116426621
Germany,DEU,2004,0.115866878
Germany,DEU,2005,0.120111599
Germany,DEU,2006,0.123019049
Germany,DEU,2007,0.113776348
Germany,DEU,2008,0.126598267
Germany,DEU,2009,0.110815459
Germany,DEU,2010,0.112246792
Germany,DEU,2011,0.102015627
Germany,DEU,2012,0.092608256
Germany,DEU,2013,0.091159693
Germany,DEU,2014,0.085809608
Germany,DEU,2015,0.081223484
Germany,DEU,2016,0.077874096
India,IND,1990,0.284594279
India,IND,1991,0.325186411
India,IND,1992,0.277166897
India,IND,1993,0.277166897
India,IND,1994,0.277166897
India,IND,1995,0.258689104
India,IND,1996,0.249450208
India,IND,1997,0.228200746
India,IND,1998,0.215591488
India,IND,1999,0.206967828
India,IND,2000,0.183480687
India,IND,2001,0.175110759
India,IND,2002,0.160146113
India,IND,2003,0.150612499
India,IND,2004,0.107104884
India,IND,2005,0.110208641
India,IND,2006,0.124837738
India,IND,2007,0.102202055
India,IND,2008,0.099669448
India,IND,2009,0.086888081
India,IND,2010,0.080415416
India,IND,2011,0.077720746
India,IND,2012,0.086792644
India,IND,2013,0.084214094
India,IND,2014,0.086078817
India,IND,2015,0.073671933
India,IND,2016,0.065305432
Italy,ITA,1989,0.234265791
Italy,ITA,1991,0.225247339
Italy,ITA,1992,0.224260156
Italy,ITA,1993,0.218098901
Italy,ITA,1994,0.201994283
Italy,ITA,1995,0.18837211
Italy,ITA,1996,0.191800909
Italy,ITA,1997,0.177292193
Italy,ITA,1998,0.161375506
Italy,ITA,1999,0.15224639
Italy,ITA,2000,0.144264071
Italy,ITA,2001,0.119505247
Italy,ITA,2002,0.132239372
Italy,ITA,2003,0.121074925
Italy,ITA,2004,0.103583948
Italy,ITA,2005,0.117232779
Italy,ITA,2006,0.115484591
Italy,ITA,2007,0.115873149
Italy,ITA,2008,0.115630962
Italy,ITA,2009,0.112663503
Italy,ITA,2010,0.119171579
Italy,ITA,2011,0.133802391
Italy,ITA,2012,0.124293382
Italy,ITA,2013,0.086366669
Italy,ITA,2014,0.085505316
Italy,ITA,2015,0.08794316
Italy,ITA,2016,0.067361781
Spain,ESP,1990,0.18695342
Spain,ESP,1991,0.185060261
Spain,ESP,1992,0.161977322
Spain,ESP,1993,0.157527206
Spain,ESP,1994,0.145895257
Spain,ESP,1995,0.136056313
Spain,ESP,1996,0.131606203
Spain,ESP,1997,0.128053575
Spain,ESP,1998,0.113760235
Spain,ESP,1999,0.10475607
Spain,ESP,2000,0.108022533
Spain,ESP,2001,0.103502833
Spain,ESP,2002,0.095129075
Spain,ESP,2003,0.091382022
Spain,ESP,2004,0.102097429
Spain,ESP,2005,0.095867002
Spain,ESP,2006,0.099560967
Spain,ESP,2007,0.11826809
Spain,ESP,2008,0.125182209
Spain,ESP,2009,0.123750807
Spain,ESP,2010,0.1088232
Spain,ESP,2011,0.096218334
Spain,ESP,2012,0.084409527
Spain,ESP,2013,0.084025847
Spain,ESP,2014,0.070776386
Spain,ESP,2015,0.059226669
Spain,ESP,2016,0.056856344
Sweden,SWE,1984,0.280658694
Sweden,SWE,1990,0.238452286
Sweden,SWE,1991,0.225247339
Sweden,SWE,1992,0.224260156
Sweden,SWE,1993,0.218098901
Sweden,SWE,1994,0.201994283
Sweden,SWE,1995,0.18837211
Sweden,SWE,1996,0.191800909
Sweden,SWE,1997,0.177292193
Sweden,SWE,1998,0.161375506
Sweden,SWE,1999,0.15224639
Sweden,SWE,2001,0.119505247
Sweden,SWE,2002,0.136437447
Sweden,SWE,2003,0.099641895
Sweden,SWE,2004,0.115097231
Sweden,SWE,2005,0.118641258
Sweden,SWE,2006,0.118641258
Sweden,SWE,2007,0.107866435
Sweden,SWE,2008,0.114887345
Sweden,SWE,2009,0.106833086
Sweden,SWE,2010,0.081238344
Sweden,SWE,2011,0.067926723
Sweden,SWE,2012,0.075679202
Sweden,SWE,2013,0.066554128
Sweden,SWE,2014,0.067957215
Sweden,SWE,2015,0.060297051
Sweden,SWE,2016,0.05880974
United Kingdom,GBR,1989,0.234265791
