Entity,Code,Year,Year,Roads (000s miles) (thousand miles),Diesel locomotives in service,Agricultural tractors,ATMs,Aviation passenger-km (passenger-km),Credit and debit payments (in millions),Card payments,Mail (millions) (million),MRI units,Newspapers,Retail locations accepting card,Rail passenger-km (passenger-km),Steamships (tons) (tons),Crude steel production (blast oxygen furnaces) (in metric tons),Crude steel production (electric furnaces) (in metric tons),Telegrams (millions) (million),Synthetic (non-cellulosic) fibres,Commercial vehicles,Canals (mileage)
United States,USA,1904,154,,,,,,,9502,,,,36219,3595,,,68,,0.699999988,
United States,USA,1905,161,,,,,,,10188,,,,39319,3741,,,67,,1.399999976,
United States,USA,1906,168,,,,,,,11361,,,,41577,3975,,,71,,2.200000048,
United States,USA,1907,176,,,,,,,12256,,,,45793,4279,,,75,,2.900000095,
United States,USA,1908,183,,,,,,,13364,,,,48048,4711,,,62,,4,
United States,USA,1909,190,,,,,,,14005,,,,48090,4749,,,68,,6,
United States,USA,1910,204,,,,,,,14850,,,,53425,4900,,,75,,10,
United States,USA,1911,217,,,,,,,16901,,,,54852,5074,,,,,21,
United States,USA,1912,231,,,,,,,17589,,,,54737,5180,,,,,42,
United States,USA,1913,244,,,,,,,18567,,,,57283,5333,,,,,68,
United States,USA,1914,257,,,,,,,,,,,58413,5428,,,,,99,
United States,USA,1915,276,,,,,,,,,,,53651,5944,,,,,158,
United States,USA,1916,295,,,,,,,,,,,56681,6070,,,,,250,
United States,USA,1917,313,,,,,,,,,,,64535,6433,,,129,,391,
United States,USA,1918,332,,,,,,,,,,,69543,7471,,,134,,605,
United States,USA,1919,350,,,,,,,,,,,75378,10416,,,139,,898,
United States,USA,1920,369,,,,,,,,,,,76235,13823,,,156,,1108,
United States,USA,1921,387,,,,,,,,,,,60682,15745,,,144,,1282,
United States,USA,1922,412,,,,,,,,,,,57632,15982,,,155,,1570,
United States,USA,1923,439,,,,,,,23055,,,,61628,15821,,,165,,1849,
United States,USA,1924,472,,,,,,,,,,,58529,15315,,,170,,2177,
United States,USA,1925,521,1,,,,,,,,,,58205,,,,193,,2588,
United States,USA,1926,550,11,,,,,,25484,,,,57410,,,,219,,2932,
United States,USA,1927,589,,,,,,,26687,,,,54393,,,,219,,3110,
United States,USA,1928,626,,,,,,,26837,,,,51045,,,,229,,3326,
United States,USA,1929,662,25,,,,,,27952,,,,50155,,,,256,,3584,
United States,USA,1930,694,77,,,167,,,27888,,,,43253,,,,232,,3715,
United States,USA,1931,830,80,,,195,,,26544,,,,35298,,,,201,,3698,
United States,USA,1932,879,80,,,238,,,24307,,,,27354,,,,158,,3490,
United States,USA,1933,914,85,,,322,,,19868,,,,26342,,,,159,,3502,
United States,USA,1934,992,104,,,365,,,20626,,,,29079,,,,170,,3717,
United States,USA,1935,1080,130,,,583,,,22332,,,,29787,,,,192,,3978,
United States,USA,1936,1175,175,,,774,,,23571,,,,36146,,,,211,,4324,
United States,USA,1937,1232,293,,,750,,,25801,,,,39743,,,,220,,4592,
United States,USA,1938,1276,403,,,858,,,26042,,,,34854,,,,204,,4563,
United States,USA,1939,1318,639,,,1215,,,26445,,,,36553,,,,208,,4783,
United States,USA,1940,1367,967,,,1854,,,27749,,,,38239,,,,208,,4987,
United States,USA,1941,1608,1517,,,2491,,,29236,,,,47324,,,,227,,5270,
United States,USA,1942,1630,1978,,,2663,,,30118,,,,86497,,,,236,,5031,
United States,USA,1943,1646,2476,,,3022,,,32818,,,,141502,,,,248,,4879,
United States,USA,1944,1655,3432,,,4006,,,34931,,,,153955,,,,243,,4913,
United States,USA,1945,1721,4301,,,6132,,,37912,,,,147780,,,,257,,5238,
United States,USA,1946,1730,5008,,,11344,,,36318,,51000000,,104211,,,,234,,6156,
United States,USA,1947,1780,6495,,,12744,,,37428,,52000000,,73985,,,,238,,6992,
United States,USA,1948,1815,8981,,,12666,,,40280,,52000000,,66344,,,,213,,7730,
United States,USA,1949,1865,12025,,,14182,,,43555,,53000000,,56541,,,,196,,8232,
United States,USA,1950,1939,15396,,,16449,,,45064,,54000000,,51161,,,,201,,8721,
United States,USA,1951,1998,19014,,,21250,,,46908,,54000000,,55748,,,,204,,9224,
United States,USA,1952,2070,22118,,,25144,,,49906,,53000000,,54771,,,,176,,9439,
United States,USA,1953,2160,24209,,,29346,,,50948,,56000000,,50982,,,,186,,9788,
United States,USA,1954,2228,25256,,,33172,,,52213,,56000000,,47170,,,,177,,10031,
United States,USA,1955,2273,26563,,,39000,,,55234,,56000000,,45944,,,,180,,10544,
United States,USA,1956,2323,28001,,,44000,,,56441,,57000000,,45409,,,,179,,10937,
United States,USA,1957,2371,29137,,,50000,,,59078,,57000000,,41705,,,,172,,11207,
United States,USA,1958,2448,29515,,,51000,,,60130,,58000000,,37490,,,,159,,11406,
United States,USA,1959,2503,30097,,,59000,,,61247,,58000000,,35526,,,7740,159,,11900,
United States,USA,1960,2557,30240,,,63000,,,63675,,59000000,,34253,,3035,7601,153,,12186,
