Entity,Code,Year,Boys (% boys ages 10-14),Both sexes (%  of children ages 10-14),Girls (% girls ages 10-14)
Italy,ITA,1881,81.3,64.3,46.6
Italy,ITA,1901,56.6,49.9,43.1
Italy,ITA,1911,51.1,44.8,38.3
Italy,ITA,1921,35.4,31.5,27.5
Italy,ITA,1931,28.5,27.4,26.4
Italy,ITA,1936,34.6,32.1,29.5
Italy,ITA,1951,11.8,10,8.2
Italy,ITA,1961,4.1,3.6,3.1
