Entity,Code,Year,6.3.1 - Proportion of safely treated domestic wastewater flows (%) - EN_WWT_WWDS (%)
Albania,ALB,2018,66.62518
Algeria,DZA,2018,17.74507
Andorra,AND,2018,100
Argentina,ARG,2018,22.48399
Australia,AUS,2018,73.41174
Austria,AUT,2018,96.44897
Belarus,BLR,2018,85.66141
Belgium,BEL,2018,97.50156
Bosnia and Herzegovina,BIH,2018,22.70747
Brazil,BRA,2018,34.33306
Bulgaria,BGR,2018,73.37876
Canada,CAN,2018,79.46319
Chile,CHL,2018,72.48315
China,CHN,2018,45.09982
Colombia,COL,2018,22.88274
Croatia,HRV,2018,58.71391
Cyprus,CYP,2018,36.82091
Czech Republic,CZE,2018,93.74967
Denmark,DNK,2018,95.01991
Ecuador,ECU,2018,43.34542
Egypt,EGY,2018,57.60529
Estonia,EST,2018,92.37381
Finland,FIN,2018,84.22409
France,FRA,2018,85.5128
Germany,DEU,2018,98.2174
Greece,GRC,2018,50.26489
Greenland,GRL,2018,94.33891
Hong Kong,HKG,2018,14.2
Hungary,HUN,2018,50.05515
Iceland,ISL,2018,69.79908
Iraq,IRQ,2018,18.57058
Ireland,IRL,2018,70.14559
Israel,ISR,2018,90.52152
Italy,ITA,2018,88.40961
Japan,JPN,2018,97.89931
Jordan,JOR,2018,82.91304
Kuwait,KWT,2018,100
Latvia,LVA,2018,83.18115
Lebanon,LBN,2018,13.43503
Libya,LBY,2018,15.2526
Liechtenstein,LIE,2018,98.7
Lithuania,LTU,2018,98.31194
Luxembourg,LUX,2018,97.37172
Malaysia,MYS,2018,71.52656
Malta,MLT,2018,99.96136
Mexico,MEX,2018,51.08738
Monaco,MCO,2018,100
Morocco,MAR,2018,42.95539
Netherlands,NLD,2018,99.72122
New Zealand,NZL,2018,73.07673
Niger,NER,2018,3.47701
Norway,NOR,2018,79.07222
Palau,PLW,2018,19.50056
Palestine,PSE,2018,68.65326
Peru,PER,2018,39.23309
Poland,POL,2018,75.21192
Portugal,PRT,2018,62.46613
Puerto Rico,PRI,2018,32.14444
Qatar,QAT,2018,76.9
Romania,ROU,2018,56.7121
San Marino,SMR,2018,77.9
Saudi Arabia,SAU,2018,70.77905
Senegal,SEN,2018,14.55314
Serbia,SRB,2018,25.16759
Singapore,SGP,2018,100
Slovakia,SVK,2018,83.45431
Slovenia,SVN,2018,63.45927
Somalia,SOM,2018,0.70189
South Korea,KOR,2018,98.49157
Spain,ESP,2018,90.0976
Sweden,SWE,2018,92.00457
Switzerland,CHE,2018,99.07665
Tunisia,TUN,2018,70.56828
Turkey,TUR,2018,35.02751
Tuvalu,TUV,2018,4.2321
Uganda,UGA,2018,3.76468
United Arab Emirates,ARE,2018,98.62189
United Kingdom,GBR,2018,94.43817
United States,USA,2018,89.91757
