Entity,Code,Year,Hydropower (TWh)
World,OWID_WRL,1800,0
World,OWID_WRL,1810,0
World,OWID_WRL,1820,0
World,OWID_WRL,1830,0
World,OWID_WRL,1840,0
World,OWID_WRL,1850,0
World,OWID_WRL,1860,0
World,OWID_WRL,1870,0
World,OWID_WRL,1880,0
World,OWID_WRL,1890,13.88888889
World,OWID_WRL,1900,16.66666667
World,OWID_WRL,1910,33.33333333
World,OWID_WRL,1920,63.88888889
World,OWID_WRL,1930,130.5555556
World,OWID_WRL,1940,191.6666667
World,OWID_WRL,1950,333.3333333
World,OWID_WRL,1960,688.8888889
World,OWID_WRL,1965,919.7702757
World,OWID_WRL,1966,986.2858717
World,OWID_WRL,1967,1009.244569
World,OWID_WRL,1968,1059.06286
World,OWID_WRL,1969,1122.442526
World,OWID_WRL,1970,1174.560348
World,OWID_WRL,1971,1221.63273
World,OWID_WRL,1972,1276.766396
World,OWID_WRL,1973,1292.752251
World,OWID_WRL,1974,1419.046721
World,OWID_WRL,1975,1440.451903
World,OWID_WRL,1976,1435.228335
World,OWID_WRL,1977,1472.559263
World,OWID_WRL,1978,1588.704502
World,OWID_WRL,1979,1667.584671
World,OWID_WRL,1980,1698.609443
World,OWID_WRL,1981,1725.232746
World,OWID_WRL,1982,1796.883172
World,OWID_WRL,1983,1879.268978
World,OWID_WRL,1984,1941.059184
World,OWID_WRL,1985,1979.589773
World,OWID_WRL,1986,2006.711404
World,OWID_WRL,1987,2034.514633
World,OWID_WRL,1988,2099.110818
World,OWID_WRL,1989,2086.54119
World,OWID_WRL,1990,2161.048084
World,OWID_WRL,1991,2213.132757
World,OWID_WRL,1992,2211.505593
World,OWID_WRL,1993,2344.266151
World,OWID_WRL,1994,2359.692519
World,OWID_WRL,1995,2488.98502
World,OWID_WRL,1996,2523.82594
World,OWID_WRL,1997,2569.62389
World,OWID_WRL,1998,2590.559549
World,OWID_WRL,1999,2608.2995
World,OWID_WRL,2000,2654.703506
World,OWID_WRL,2001,2586.479369
World,OWID_WRL,2002,2633.589747
World,OWID_WRL,2003,2628.619237
World,OWID_WRL,2004,2805.326672
World,OWID_WRL,2005,2915.841286
World,OWID_WRL,2006,3026.572097
World,OWID_WRL,2007,3079.435042
World,OWID_WRL,2008,3256.250267
World,OWID_WRL,2009,3250.203194
World,OWID_WRL,2010,3432.948977
World,OWID_WRL,2011,3499.199595
World,OWID_WRL,2012,3666.772983
World,OWID_WRL,2013,3793.229045
World,OWID_WRL,2014,3883.143443
World,OWID_WRL,2015,3884.417357
World,OWID_WRL,2016,4017.743773
World,OWID_WRL,2017,4065.443127
World,OWID_WRL,2018,4193.104151
