Entity,Code,Year, (£)
England,,1523,2964857784
England,,1524,3026574019
England,,1525,3027728196
England,,1526,3065799930
England,,1527,2863936911
England,,1528,2907598309
England,,1529,2970180613
England,,1530,3025544579
England,,1531,2941071695
England,,1532,3061735294
England,,1533,3064634465
England,,1534,3221475064
England,,1535,3017872159
England,,1536,3001296298
England,,1537,3251979033
England,,1538,3097356747
England,,1539,3360924174
England,,1540,3267700619
England,,1541,3175062602
England,,1542,3318384543
England,,1543,3217290103
England,,1544,3419489140
England,,1545,3308470096
England,,1546,3353231466
England,,1547,3622949351
England,,1548,3504116918
England,,1549,3382480123
England,,1550,3378904223
England,,1551,3325530395
England,,1552,3190193046
England,,1553,3746593948
England,,1554,3430070649
England,,1555,3419031926
England,,1556,2813332722
England,,1557,3076296859
England,,1558,3906101467
England,,1559,3580943180
England,,1560,3574240174
England,,1561,3651084439
England,,1562,3657938372
England,,1563,4010851902
England,,1564,3877768618
England,,1565,3916274121
England,,1566,4413213843
England,,1567,4167114269
England,,1568,4203061978
England,,1569,4197637216
England,,1570,3873295565
England,,1571,3889389683
England,,1572,3785689219
England,,1573,4350517442
England,,1574,3862004179
England,,1575,4329852949
England,,1576,4497283092
England,,1577,3848202719
England,,1578,4423563001
England,,1579,4383481975
England,,1580,4181418031
England,,1581,4062771472
England,,1582,3663743150
England,,1583,4180662937
England,,1584,4069357295
England,,1585,3585336091
England,,1586,3523307266
England,,1587,3919442059
England,,1588,4396950989
England,,1589,3874056811
England,,1590,4144570392
England,,1591,4176513377
England,,1592,4515365254
England,,1593,4780032915
England,,1594,3914010921
England,,1595,3959189183
England,,1596,3783166013
England,,1597,3609510341
England,,1598,4274402304
England,,1599,4916054900
England,,1600,4704825370
England,,1601,4703827513
England,,1602,4960323950
England,,1603,5265055187
England,,1604,5612656170
England,,1605,5059629437
England,,1606,5338172584
England,,1607,4896353506
England,,1608,4673896040
England,,1609,5436072873
England,,1610,5773866843
England,,1611,5318465305
England,,1612,5095537007
England,,1613,4926772509
England,,1614,4751514497
England,,1615,5175817429
England,,1616,4901404631
England,,1617,5410859576
England,,1618,5415055674
England,,1619,4984635009
England,,1620,5841304585
England,,1621,5878936075
England,,1622,5162541402
England,,1623,5151845463
England,,1624,5817224180
England,,1625,5863695257
England,,1626,5571866075
England,,1627,5620869780
England,,1628,6445861154
England,,1629,4811553248
England,,1630,4749375351
England,,1631,4832962844
England,,1632,5498934061
England,,1633,5190179692
England,,1634,5317546744
England,,1635,5526186676
England,,1636,5252576172
England,,1637,5185037032
England,,1638,5671951819
England,,1639,5776125892
England,,1640,5929391588
England,,1641,5202002817
England,,1642,5742507269
England,,1643,6146711816
England,,1644,6158428912
England,,1645,5360497611
England,,1646,5392612258
England,,1647,5447798711
England,,1648,5511835700
England,,1649,5421681900
England,,1650,5195295289
