Entity,Code,Year,"Indicator:Alcohol-attributable fractions, all-cause deaths (%) - Sex:Both sexes (%)"
Afghanistan,AFG,2012,0.7
Albania,ALB,2012,2.8
Algeria,DZA,2012,0.9
Andorra,AND,2012,3.9
Angola,AGO,2012,3.2
Antigua and Barbuda,ATG,2012,2.2
Argentina,ARG,2012,5
Armenia,ARM,2012,2.5
Australia,AUS,2012,3.2
Austria,AUT,2012,3.8
Azerbaijan,AZE,2012,2.4
Bahamas,BHS,2012,3.1
Bahrain,BHR,2012,0.8
Bangladesh,BGD,2012,0.6
Barbados,BRB,2012,3.3
Belarus,BLR,2012,34.7
Belgium,BEL,2012,4.5
Belize,BLZ,2012,6.8
Benin,BEN,2012,1.8
Bhutan,BTN,2012,1.2
Bolivia,BOL,2012,4.6
Bosnia and Herzegovina,BIH,2012,4.1
Botswana,BWA,2012,3.9
Brazil,BRA,2012,6.4
Brunei,BRN,2012,1.3
Bulgaria,BGR,2012,5
Burkina Faso,BFA,2012,3.4
Burundi,BDI,2012,4.4
Cambodia,KHM,2012,5
Cameroon,CMR,2012,4.3
Canada,CAN,2012,3.4
Cape Verde,CPV,2012,3.6
Central African Republic,CAF,2012,1.8
Chad,TCD,2012,2.3
Chile,CHL,2012,6.3
China,CHN,2012,6.3
Colombia,COL,2012,4.4
Comoros,COM,2012,0.7
Congo,COG,2012,2.2
Cook Islands,COK,2012,6.1
Costa Rica,CRI,2012,3.6
Cote d'Ivoire,CIV,2012,3.6
Croatia,HRV,2012,5.6
Cuba,CUB,2012,2.9
Cyprus,CYP,2012,2.1
Czech Republic,CZE,2012,5.8
Democratic Republic of Congo,COD,2012,2
Denmark,DNK,2012,4.8
Djibouti,DJI,2012,2
Dominica,DMA,2012,3.7
Dominican Republic,DOM,2012,4.1
Ecuador,ECU,2012,5
Egypt,EGY,2012,0.8
El Salvador,SLV,2012,5.8
Equatorial Guinea,GNQ,2012,2.4
Eritrea,ERI,2012,0.6
Estonia,EST,2012,21.4
Ethiopia,ETH,2012,3.2
Fiji,FJI,2012,1.4
Finland,FIN,2012,6.4
France,FRA,2012,5.3
Gabon,GAB,2012,5.5
Gambia,GMB,2012,2.5
Georgia,GEO,2012,4.6
Germany,DEU,2012,4.4
Ghana,GHA,2012,3.4
Greece,GRC,2012,3.9
Grenada,GRD,2012,4.8
Guatemala,GTM,2012,5.3
Guinea,GIN,2012,1
Guinea-Bissau,GNB,2012,1.8
Guyana,GUY,2012,6
Haiti,HTI,2012,2.9
Honduras,HND,2012,3.2
Hungary,HUN,2012,6.7
Iceland,ISL,2012,2.1
India,IND,2012,5.4
Indonesia,IDN,2012,2.1
Iran,IRN,2012,0.8
Iraq,IRQ,2012,0.4
Ireland,IRL,2012,4.8
Israel,ISR,2012,1.1
Italy,ITA,2012,1.6
Jamaica,JAM,2012,2.1
Japan,JPN,2012,3.2
Jordan,JOR,2012,0.4
Kazakhstan,KAZ,2012,9.2
Kenya,KEN,2012,2.6
Kiribati,KIR,2012,2
Kuwait,KWT,2012,1.1
Kyrgyzstan,KGZ,2012,5.8
Laos,LAO,2012,4.9
Latvia,LVA,2012,24.4
Lebanon,LBN,2012,1.5
Lesotho,LSO,2012,3
Liberia,LBR,2012,3
Libya,LBY,2012,0.3
Lithuania,LTU,2012,30.9
Luxembourg,LUX,2012,4.9
Macedonia,MKD,2012,2.8
Madagascar,MDG,2012,2.4
Malawi,MWI,2012,1.7
Malaysia,MYS,2012,1.7
Maldives,MDV,2012,1.9
Mali,MLI,2012,0.9
Malta,MLT,2012,3
Mauritania,MRT,2012,0.6
Mauritius,MUS,2012,3.9
Mexico,MEX,2012,6.8
Micronesia (country),FSM,2012,2.1
Moldova,MDA,2012,33.1
Mongolia,MNG,2012,10.5
Morocco,MAR,2012,1.1
Mozambique,MOZ,2012,1.3
Myanmar,MMR,2012,2
Namibia,NAM,2012,6.9
Nauru,NRU,2012,3.4
Nepal,NPL,2012,2.9
Netherlands,NLD,2012,2.7
New Zealand,NZL,2012,2.8
Nicaragua,NIC,2012,6.4
Niger,NER,2012,0.3
Nigeria,NGA,2012,4.2
