Entity,Code,Year,Males (aged 20-24) (%),Males (aged 15-19) (%),Males (aged 25-49) (%),Females (aged 20-24) (%),Females (aged 25-49) (%),Females (aged 15-19) (%)
Albania,ALB,2016,54,55.6,47.7,28.8,24,20.3
Angola,AGO,2016,52.9,51.7,53.5,29.8,20,35.7
Armenia,ARM,2016,87.1,84.2,66.3,,15.8,
Benin,BEN,2016,49.1,40.8,46.4,38.4,26.9,37.4
Bolivia,BOL,2016,36.9,37.7,32.3,20.5,18,22.5
Burkina Faso,BFA,2016,77.9,67.7,73.7,70.7,52.4,52.6
Burundi,BDI,2016,51.7,37.3,46.5,32.5,17,21.6
Cambodia,KHM,2016,76.8,51.7,74.5,64.5,,
Cameroon,CMR,2016,79,72.6,70.9,62.9,45.5,58.8
Chad,TCD,2016,46.3,29.7,40.4,38.4,21.9,34.3
Colombia,COL,2016,75.2,80.1,64.7,,,
Comoros,COM,2016,66.1,55,58.2,30.8,25,34.2
Congo,COG,2016,63.6,56.8,56.5,43,32.3,42.2
Cote d'Ivoire,CIV,2016,66.7,67.5,59.3,38.6,32.5,44.1
Democratic Republic of Congo,COD,2016,32.4,28.1,30.8,26.6,20.2,21.9
Dominican Republic,DOM,2016,70.9,75.9,69.4,48.5,41.4,48.5
Ethiopia,ETH,2016,69.9,58.6,64.9,27.9,25.8,40.6
Gabon,GAB,2016,77.6,78.7,72.5,58,47.1,62.6
Gambia,GMB,2016,66.6,45.2,76.4,26.3,38.8,27.9
Ghana,GHA,2016,40.8,36.7,39,18.4,14.4,20.3
Guatemala,GTM,2016,70.6,71,62.5,35.8,23,36.4
Guinea,GIN,2016,59.5,42.2,52.7,45.6,36.9,21.2
Guyana,GUY,2016,73.3,85.2,65.6,53.3,49.1,58.9
Haiti,HTI,2016,71.5,60,61.1,53.6,42.4,57.8
Honduras,HND,2016,60.7,73.6,52.5,,,
India,IND,2016,40.7,31.3,40.5,25.1,10,20
Kenya,KEN,2016,79.1,66.8,71.3,61.4,52.4,54.9
Kyrgyzstan,KGZ,2016,80.9,90.5,68.1,49.1,22.4,
Lesotho,LSO,2016,80.1,76.9,74.3,83.5,71.5,79.7
Liberia,LBR,2016,50.2,36.8,39.1,20.7,17.2,23.1
Madagascar,MDG,2016,13.1,9.4,15.3,5.8,4.8,4.7
Malawi,MWI,2016,82.9,71,75.4,50.1,43.3,55.3
Mali,MLI,2016,35.4,31,44.2,21,,18.2
Moldova,MDA,2016,57.8,68.7,38.6,40.7,21.3,48.7
Mozambique,MOZ,2016,47.5,40.3,37.8,39.7,26.5,41.3
Namibia,NAM,2016,81.9,82.2,77.9,67.6,63.7,67.4
Nicaragua,NIC,2016,,,,22.8,10.8,10.4
Niger,NER,2016,68.7,,,,,
Nigeria,NGA,2016,61.5,50.2,57.2,47.6,34.9,37.1
Peru,PER,2016,,,,22.7,16.8,17.6
Philippines,PHL,2016,,,,15.4,8.7,8.7
Rwanda,RWA,2016,71.8,66.7,62.6,50.8,44,52
Sao Tome and Principe,STP,2016,61.8,65.4,56.6,54.9,30.8,54
Senegal,SEN,2016,68.3,52.7,72.3,,,
Sierra Leone,SLE,2016,20.1,14.8,20.9,7.3,7,6.5
Swaziland,SWZ,2016,69.8,68.8,65.4,55.3,54.1,51.5
Tanzania,TZA,2016,63.7,50.1,62.5,50.7,46.3,58
Togo,TGO,2016,63.6,62.6,58.3,48.1,29,49.4
Turkmenistan,TKM,2016,,,,,7.4,
Uganda,UGA,2016,65.5,56,58.7,49.8,37.6,51.9
Ukraine,UKR,2016,69.7,74.4,56,67.1,42.1,72.7
Zambia,ZMB,2016,56.2,42.9,62,45.1,42.9,36.4
Zimbabwe,ZWE,2016,87.9,78.8,86.4,63.8,73.9,47
