Entity,Code,Year,Accidents reported with injury,Accidents reported with material damage
Germany,DEU,1953,251618,221409
Germany,DEU,1954,267925,255840
Germany,DEU,1955,296071,307280
Germany,DEU,1956,307012,356729
Germany,DEU,1957,299866,379023
Germany,DEU,1958,296697,455087
Germany,DEU,1959,327595,515817
Germany,DEU,1960,349315,640812
Germany,DEU,1961,339547,689834
Germany,DEU,1962,321257,757844
Germany,DEU,1963,314642,781897
Germany,DEU,1964,328668,760418
Germany,DEU,1965,316361,782985
Germany,DEU,1966,332622,835201
Germany,DEU,1967,335552,808658
Germany,DEU,1968,339704,841452
Germany,DEU,1969,338921,874666
Germany,DEU,1970,377610,1014397
Germany,DEU,1971,369177,968882
Germany,DEU,1972,378775,1002751
Germany,DEU,1973,353725,971013
Germany,DEU,1974,331000,897997
Germany,DEU,1975,337732,926835
Germany,DEU,1976,359694,1058829
Germany,DEU,1977,379046,1144346
Germany,DEU,1978,380352,1238835
Germany,DEU,1979,367500,1293180
Germany,DEU,1980,379235,1305369
Germany,DEU,1981,362617,1315880
Germany,DEU,1982,358693,1270396
Germany,DEU,1983,374107,1318827
Germany,DEU,1984,359485,1421333
Germany,DEU,1985,327745,1512550
Germany,DEU,1986,341921,1593674
Germany,DEU,1987,325519,1651982
Germany,DEU,1988,342299,1680349
Germany,DEU,1989,343604,1654183
Germany,DEU,1990,340043,1670532
Germany,DEU,1991,385147,1926319
Germany,DEU,1992,395462,1989117
Germany,DEU,1993,385384,1960012
Germany,DEU,1994,392754,1878064
Germany,DEU,1995,388003,1850298
Germany,DEU,1996,373082,1896488
Germany,DEU,1997,380835,1851544
Germany,DEU,1998,377257,1880392
Germany,DEU,1999,395689,2017784
Germany,DEU,2000,382949,1967278
Germany,DEU,2001,375345,1998211
Germany,DEU,2002,362054,1927420
Germany,DEU,2003,354534,1905033
Germany,DEU,2004,339310,1922379
Germany,DEU,2005,336619,1917373
Germany,DEU,2006,327984,1907334
Germany,DEU,2007,335845,1999160
Germany,DEU,2008,320614,1973049
Germany,DEU,2009,310806,2002647
Germany,DEU,2010,288297,2122974
Germany,DEU,2011,306266,2055191
Germany,DEU,2012,299637,2102206
Germany,DEU,2013,291105,2122906
Germany,DEU,2014,302435,2104250
Germany,DEU,2015,305659,2211172
Germany,DEU,2016,308145,2277182
