Entity,Code,Year,Child Labour (World 1950-1995) (% children ages 10-14)
World,OWID_WRL,1950,27.57
World,OWID_WRL,1960,24.81
World,OWID_WRL,1970,22.3
World,OWID_WRL,1980,19.91
World,OWID_WRL,1990,14.65
World,OWID_WRL,1995,13.02
