Entity,Code,Year,Imported plastic waste (tonnes),Domestic plastic waste (tonnes)
China,CHN,2010,8009674,59092770
China,CHN,2011,8384190,59357760
China,CHN,2012,8877767,59666915
China,CHN,2013,7881304,59931905
China,CHN,2014,8254247,60241060
China,CHN,2015,7354229,60550215
China,CHN,2016,7347176,60903535
