Entity,Code,Year,Out-of-pocket health expenditure (% of total expenditure on health) (% of total expenditure on health)
Austria,AUT,2009,16.33451841
Austria,AUT,2010,16.58055264
Austria,AUT,2011,16.6803314
Austria,AUT,2012,16.34461812
Austria,AUT,2013,16.23914267
Austria,AUT,2014,16.14891707
Azerbaijan,AZE,1995,66.35833854
Azerbaijan,AZE,1996,65.13845741
Azerbaijan,AZE,1997,62.16988181
Azerbaijan,AZE,1998,67.23824988
Azerbaijan,AZE,1999,64.77207763
Azerbaijan,AZE,2000,63.26662402
Azerbaijan,AZE,2001,63.2180006
Azerbaijan,AZE,2002,65.2668574
Azerbaijan,AZE,2003,77.35400465
Azerbaijan,AZE,2004,78.99833673
Azerbaijan,AZE,2005,82.3585563
Azerbaijan,AZE,2006,78.43178294
Azerbaijan,AZE,2007,72.56401639
Azerbaijan,AZE,2008,71.74716482
Azerbaijan,AZE,2009,68.50153612
Azerbaijan,AZE,2010,69.18461184
Azerbaijan,AZE,2011,69.8291745
Azerbaijan,AZE,2012,69.02266594
Azerbaijan,AZE,2013,71.06431526
Azerbaijan,AZE,2014,72.08213855
Bahamas,BHS,1995,24.13793103
Bahamas,BHS,1996,24.07852564
Bahamas,BHS,1997,23.13436088
Bahamas,BHS,1998,21.93591103
Bahamas,BHS,1999,21.24740362
Bahamas,BHS,2000,20.90729783
Bahamas,BHS,2001,20.96261022
Bahamas,BHS,2002,22.86040737
Bahamas,BHS,2003,24.69252575
Bahamas,BHS,2004,25.96021725
Bahamas,BHS,2005,29.47167394
Bahamas,BHS,2006,27.29617818
Bahamas,BHS,2007,29.70906754
Bahamas,BHS,2008,29.18325831
Bahamas,BHS,2009,28.36676376
Bahamas,BHS,2010,28.85980312
Bahamas,BHS,2011,28.7006986
Bahamas,BHS,2012,30.01897807
Bahamas,BHS,2013,30.40657351
Bahamas,BHS,2014,29.22546976
Bahrain,BHR,1995,22.62092942
Bahrain,BHR,1996,22.8108104
Bahrain,BHR,1997,21.49518015
Bahrain,BHR,1998,24.4768096
Bahrain,BHR,1999,23.27301023
Bahrain,BHR,2000,22.21378959
Bahrain,BHR,2001,22.66332476
Bahrain,BHR,2002,22.58766605
Bahrain,BHR,2003,22.26788476
Bahrain,BHR,2004,22.77219989
Bahrain,BHR,2005,21.68207001
Bahrain,BHR,2006,20.83302438
Bahrain,BHR,2007,19.23909443
Bahrain,BHR,2008,17.13315217
Bahrain,BHR,2009,17.409516
Bahrain,BHR,2010,17.62891613
Bahrain,BHR,2011,18.03436669
Bahrain,BHR,2012,25.21337988
Bahrain,BHR,2013,24.49608673
Bahrain,BHR,2014,23.33848208
Bangladesh,BGD,1995,60.15975865
Bangladesh,BGD,1996,62.69713441
Bangladesh,BGD,1997,55.92104341
Bangladesh,BGD,1998,56.98607941
Bangladesh,BGD,1999,57.78439465
Bangladesh,BGD,2000,57.77759993
Bangladesh,BGD,2001,56.75719995
Bangladesh,BGD,2002,56.4617201
Bangladesh,BGD,2003,58.91063804
Bangladesh,BGD,2004,57.94173986
Bangladesh,BGD,2005,59.92079828
Bangladesh,BGD,2006,58.72360063
Bangladesh,BGD,2007,61.17585868
Bangladesh,BGD,2008,60.3139243
Bangladesh,BGD,2009,61.12732879
Bangladesh,BGD,2010,60.97312512
Bangladesh,BGD,2011,61.32016082
Bangladesh,BGD,2012,63.3038469
Bangladesh,BGD,2013,66.84353823
Bangladesh,BGD,2014,66.97587316
Barbados,BRB,1995,24.29047358
Barbados,BRB,1996,24.01019009
Barbados,BRB,1997,26.39016193
Barbados,BRB,1998,26.45455738
Barbados,BRB,1999,26.68203903
Barbados,BRB,2000,26.42788297
Barbados,BRB,2001,24.95559372
Barbados,BRB,2002,24.10017168
Barbados,BRB,2003,26.81087574
Barbados,BRB,2004,27.93112819
Barbados,BRB,2005,28.67061495
Barbados,BRB,2006,28.63424465
Barbados,BRB,2007,26.91607761
Barbados,BRB,2008,26.23128264
Barbados,BRB,2009,26.82182358
Barbados,BRB,2010,28.19334292
Barbados,BRB,2011,30.85996403
Barbados,BRB,2012,28.52042898
Barbados,BRB,2013,28.87218447
Barbados,BRB,2014,29.86858822
Belarus,BLR,1995,18.62671654
Belarus,BLR,1996,14.76966084
Belarus,BLR,1997,8.79902545
Belarus,BLR,1998,13.39451554
Belarus,BLR,1999,13.2035853
Belarus,BLR,2000,14.00511964
Belarus,BLR,2001,18.28277532
Belarus,BLR,2002,20.48864554
Belarus,BLR,2003,18.21645428
Belarus,BLR,2004,17.25857361
Belarus,BLR,2005,19.85772162
Belarus,BLR,2006,22.18169704
Belarus,BLR,2007,23.58406027
Belarus,BLR,2008,27.45349987
Belarus,BLR,2009,26.90194999
Belarus,BLR,2010,19.84725037
Belarus,BLR,2011,26.64299702
Belarus,BLR,2012,19.46230723
Belarus,BLR,2013,30.69080793
Belarus,BLR,2014,32.03152429
Belgium,BEL,1995,19.58801971
Belgium,BEL,1996,18.86645963
Belgium,BEL,1997,21.13372093
Belgium,BEL,1998,21.18756202
Belgium,BEL,1999,20.85622473
Belgium,BEL,2000,20.54320265
Belgium,BEL,2001,19.71406025
Belgium,BEL,2002,21.34183898
Belgium,BEL,2003,20.30706621
Belgium,BEL,2004,18.18641129
Belgium,BEL,2005,17.59833334
Belgium,BEL,2006,18.65635013
Belgium,BEL,2007,19.40393495
Belgium,BEL,2008,18.47065778
Belgium,BEL,2009,18.19796128
Belgium,BEL,2010,17.92776152
Belgium,BEL,2011,18.72909433
Belgium,BEL,2012,17.7838958
Belgium,BEL,2013,17.85284556
Belgium,BEL,2014,17.80520538
Belize,BLZ,1995,30.38736923
Belize,BLZ,1996,34.35497109
Belize,BLZ,1997,33.53407154
Belize,BLZ,1998,34.03361268
Belize,BLZ,1999,34.99073031
Belize,BLZ,2000,39.00621224
Belize,BLZ,2001,34.67660596
Belize,BLZ,2002,35.83353468
Belize,BLZ,2003,34.04094731
Belize,BLZ,2004,34.08051056
Belize,BLZ,2005,32.16947393
Belize,BLZ,2006,29.52227053
Belize,BLZ,2007,27.43121521
Belize,BLZ,2008,25.88709192
Belize,BLZ,2009,24.50305084
Belize,BLZ,2010,23.64547143
Belize,BLZ,2011,23.39533651
Belize,BLZ,2012,23.99097669
Belize,BLZ,2013,24.25703751
Belize,BLZ,2014,23.008386
Benin,BEN,1995,54.94080491
Benin,BEN,1996,55.64530451
Benin,BEN,1997,57.85630567
Benin,BEN,1998,55.70730786
Benin,BEN,1999,53.9395535
Benin,BEN,2000,55.74129945
Benin,BEN,2001,50.6880795
Benin,BEN,2002,55.74772142
Benin,BEN,2003,52.18599005
Benin,BEN,2004,52.0675461
Benin,BEN,2005,47.72491542
Benin,BEN,2006,47.20631414
Benin,BEN,2007,46.17027276
Benin,BEN,2008,44.70593951
Benin,BEN,2009,42.52857621
Benin,BEN,2010,38.88892466
Benin,BEN,2011,35.8770727
Benin,BEN,2012,38.8441412
Benin,BEN,2013,39.67922429
Benin,BEN,2014,39.09983944
Bhutan,BTN,1995,33.22982794
Bhutan,BTN,1996,22.00762664
Bhutan,BTN,1997,23.95767655
Bhutan,BTN,1998,25.08904803
Bhutan,BTN,1999,27.07675238
Bhutan,BTN,2000,22.96285212
Bhutan,BTN,2001,17.98537589
Bhutan,BTN,2002,14.76623138
Bhutan,BTN,2003,23.55344861
Bhutan,BTN,2004,27.54275527
Bhutan,BTN,2005,20.65104824
Bhutan,BTN,2006,18.145104
Bhutan,BTN,2007,12.53256448
Bhutan,BTN,2008,15.10370757
Bhutan,BTN,2009,18.428166
Bhutan,BTN,2010,11.48539009
Bhutan,BTN,2011,11.78524819
Bhutan,BTN,2012,25.69075344
Bhutan,BTN,2013,25.2298327
Bhutan,BTN,2014,25.33315988
Bolivia,BOL,1995,33.29778346
Bolivia,BOL,1996,27.78194865
Bolivia,BOL,1997,30.21942627
Bolivia,BOL,1998,31.09137629
Bolivia,BOL,1999,35.08713137
Bolivia,BOL,2000,34.881454
Bolivia,BOL,2001,31.69366716
Bolivia,BOL,2002,29.31640097
Bolivia,BOL,2003,27.34362503
Bolivia,BOL,2004,26.84734934
Bolivia,BOL,2005,26.69131213
Bolivia,BOL,2006,26.24076056
Bolivia,BOL,2007,25.54369556
Bolivia,BOL,2008,26.46431008
Bolivia,BOL,2009,26.83739603
Bolivia,BOL,2010,27.89887376
Bolivia,BOL,2011,25.26578267
Bolivia,BOL,2012,25.89696167
Bolivia,BOL,2013,24.35290012
Bolivia,BOL,2014,23.10753831
Bosnia and Herzegovina,BIH,1995,62.89560226
Bosnia and Herzegovina,BIH,1996,53.01222133
Bosnia and Herzegovina,BIH,1997,56.94693063
Bosnia and Herzegovina,BIH,1998,59.14154128
Bosnia and Herzegovina,BIH,1999,46.90349183
Bosnia and Herzegovina,BIH,2000,43.11597207
Bosnia and Herzegovina,BIH,2001,39.77130401
Bosnia and Herzegovina,BIH,2002,36.91520235
Bosnia and Herzegovina,BIH,2003,31.00785812
Bosnia and Herzegovina,BIH,2004,42.79689749
Bosnia and Herzegovina,BIH,2005,42.72698732
Bosnia and Herzegovina,BIH,2006,39.87915688
Bosnia and Herzegovina,BIH,2007,36.27032906
Bosnia and Herzegovina,BIH,2008,32.26606773
Bosnia and Herzegovina,BIH,2009,28.63218526
Bosnia and Herzegovina,BIH,2010,28.29815629
Bosnia and Herzegovina,BIH,2011,27.81357051
Bosnia and Herzegovina,BIH,2012,27.80850541
Bosnia and Herzegovina,BIH,2013,29.03943643
Bosnia and Herzegovina,BIH,2014,27.92931604
Botswana,BWA,1995,18.04315005
Botswana,BWA,1996,16.25490552
Botswana,BWA,1997,14.98441119
Botswana,BWA,1998,15.87803645
Botswana,BWA,1999,15.26466979
Botswana,BWA,2000,13.78198515
Botswana,BWA,2001,10.45087481
Botswana,BWA,2002,8.93200164
Botswana,BWA,2003,11.11858639
Botswana,BWA,2004,7.92947039
Botswana,BWA,2005,6.25153541
Botswana,BWA,2006,5.888409
Botswana,BWA,2007,5.20426882
Botswana,BWA,2008,3.71891995
Botswana,BWA,2009,3.99595682
Botswana,BWA,2010,4.4386057
Botswana,BWA,2011,4.85364389
Botswana,BWA,2012,4.6766831
Botswana,BWA,2013,5.05557809
Botswana,BWA,2014,5.18847059
Brazil,BRA,1995,38.73962046
Brazil,BRA,1996,41.00041713
Brazil,BRA,1997,38.15838859
Brazil,BRA,1998,38.36985693
Brazil,BRA,1999,38.42316727
Brazil,BRA,2000,37.95266721
Brazil,BRA,2001,36.12190037
Brazil,BRA,2002,34.61176138
Brazil,BRA,2003,34.83058691
Brazil,BRA,2004,33.18549552
Brazil,BRA,2005,36.71479018
Brazil,BRA,2006,35.97707543
Brazil,BRA,2007,34.06422031
Brazil,BRA,2008,31.47055836
Brazil,BRA,2009,31.78974282
Brazil,BRA,2010,27.31798658
Brazil,BRA,2011,26.84527955
Brazil,BRA,2012,26.9010047
Brazil,BRA,2013,25.75847771
Brazil,BRA,2014,25.46992862
Brunei,BRN,1995,22.24747666
Brunei,BRN,1996,18.69018309
Brunei,BRN,1997,18.93361716
Brunei,BRN,1998,16.27297805
Brunei,BRN,1999,16.27623206
Brunei,BRN,2000,14.63544784
Brunei,BRN,2001,15.50296022
Brunei,BRN,2002,15.17931908
Brunei,BRN,2003,15.91047852
Brunei,BRN,2004,15.90714949
Brunei,BRN,2005,15.40375454
Brunei,BRN,2006,13.83636323
Brunei,BRN,2007,11.86625441
Brunei,BRN,2008,9.42537182
Brunei,BRN,2009,8.8423326
Brunei,BRN,2010,7.63047974
Brunei,BRN,2011,7.80417495
Brunei,BRN,2012,8.00130578
Brunei,BRN,2013,7.67700986
Brunei,BRN,2014,6.00644004
Bulgaria,BGR,1995,26.03997136
Bulgaria,BGR,1996,30.39957197
Bulgaria,BGR,1997,28.33654406
Bulgaria,BGR,1998,30.10369976
Bulgaria,BGR,1999,33.67304779
Bulgaria,BGR,2000,39.06844768
Bulgaria,BGR,2001,41.58238661
Bulgaria,BGR,2002,38.14640271
Bulgaria,BGR,2003,36.9811423
Bulgaria,BGR,2004,38.21663683
Bulgaria,BGR,2005,37.88651542
Bulgaria,BGR,2006,41.79301241
Bulgaria,BGR,2007,40.60199331
Bulgaria,BGR,2008,40.37220954
Bulgaria,BGR,2009,43.3734603
Bulgaria,BGR,2010,42.8835946
Bulgaria,BGR,2011,43.91307422
Bulgaria,BGR,2012,42.52249135
Bulgaria,BGR,2013,46.7954828
Bulgaria,BGR,2014,44.19239756
Burkina Faso,BFA,1995,58.46582328
Burkina Faso,BFA,1996,58.83922742
Burkina Faso,BFA,1997,56.2969116
Burkina Faso,BFA,1998,57.3959194
Burkina Faso,BFA,1999,55.09435371
Burkina Faso,BFA,2000,56.72234994
Burkina Faso,BFA,2001,58.69880232
Burkina Faso,BFA,2002,53.86202766
Burkina Faso,BFA,2003,49.40931945
Burkina Faso,BFA,2004,44.08248067
Burkina Faso,BFA,2005,38.13275032
Burkina Faso,BFA,2006,39.3744429
Burkina Faso,BFA,2007,37.23621828
Burkina Faso,BFA,2008,38.06009176
Burkina Faso,BFA,2009,37.4268028
Burkina Faso,BFA,2010,32.9135478
Burkina Faso,BFA,2011,42.77117802
Burkina Faso,BFA,2012,38.00921453
Burkina Faso,BFA,2013,33.65001755
Burkina Faso,BFA,2014,39.09089363
Burundi,BDI,1995,52.03646044
Burundi,BDI,1996,45.54472191
Burundi,BDI,1997,49.95728404
Burundi,BDI,1998,49.59613596
Burundi,BDI,1999,49.16979913
Burundi,BDI,2000,52.19424454
Burundi,BDI,2001,49.62815096
Burundi,BDI,2002,52.95362435
Burundi,BDI,2003,55.82490529
Burundi,BDI,2004,43.45528358
Burundi,BDI,2005,49.00850782
Burundi,BDI,2006,47.93641066
Burundi,BDI,2007,37.68008298
Burundi,BDI,2008,37.45956835
Burundi,BDI,2009,37.53800357
Burundi,BDI,2010,26.26002658
Burundi,BDI,2011,25.7956615
Burundi,BDI,2012,21.91697172
Burundi,BDI,2013,20.21466205
Burundi,BDI,2014,21.02226064
Cambodia,KHM,1995,78.58280135
Cambodia,KHM,1996,63.90007157
Cambodia,KHM,1997,67.69779657
Cambodia,KHM,1998,76.87362465
Cambodia,KHM,1999,78.31345165
Cambodia,KHM,2000,76.65495048
Cambodia,KHM,2001,76.66363815
Cambodia,KHM,2002,73.93524472
Cambodia,KHM,2003,63.70883309
Cambodia,KHM,2004,62.32550238
Cambodia,KHM,2005,71.76212367
Cambodia,KHM,2006,71.75912909
Cambodia,KHM,2007,63.9458539
Cambodia,KHM,2008,60.70171782
Cambodia,KHM,2009,60.26324201
Cambodia,KHM,2010,60.27119108
Cambodia,KHM,2011,61.21022082
Cambodia,KHM,2012,70.95631121
Cambodia,KHM,2013,73.10368999
Cambodia,KHM,2014,74.19197663
Cameroon,CMR,1995,71.89970251
Cameroon,CMR,1996,78.85383369
Cameroon,CMR,1997,74.61723685
Cameroon,CMR,1998,77.74673992
Cameroon,CMR,1999,76.70343219
Cameroon,CMR,2000,74.74445334
Cameroon,CMR,2001,71.74642322
Cameroon,CMR,2002,69.37533469
Cameroon,CMR,2003,69.20728638
Cameroon,CMR,2004,71.90830551
Cameroon,CMR,2005,72.22405126
Cameroon,CMR,2006,72.77897641
Cameroon,CMR,2007,73.38377706
Cameroon,CMR,2008,75.83971859
Cameroon,CMR,2009,70.71974159
Cameroon,CMR,2010,67.66474886
Cameroon,CMR,2011,48.69851272
Cameroon,CMR,2012,64.84100247
Cameroon,CMR,2013,65.70145348
Cameroon,CMR,2014,66.3124521
Canada,CAN,1995,15.98874955
Canada,CAN,1996,16.25963094
Canada,CAN,1997,16.89576957
Canada,CAN,1998,16.28139825
Canada,CAN,1999,16.38299208
Canada,CAN,2000,15.9134908
Canada,CAN,2001,15.23035816
Canada,CAN,2002,15.19913578
Canada,CAN,2003,14.53152877
Canada,CAN,2004,14.62255717
Canada,CAN,2005,14.6175539
Canada,CAN,2006,15.01321996
Canada,CAN,2007,14.77178836
Canada,CAN,2008,14.59582345
Canada,CAN,2009,14.22736309
Canada,CAN,2010,14.57521381
Canada,CAN,2011,13.99800285
Canada,CAN,2012,13.74373867
Canada,CAN,2013,13.64222742
Canada,CAN,2014,13.6008573
Cape Verde,CPV,1995,18.40158802
Cape Verde,CPV,1996,17.01601234
Cape Verde,CPV,1997,17.09012714
Cape Verde,CPV,1998,23.85012313
Cape Verde,CPV,1999,25.06262733
Cape Verde,CPV,2000,25.45331442
Cape Verde,CPV,2001,23.35613255
Cape Verde,CPV,2002,23.51712369
Cape Verde,CPV,2003,23.78169014
Cape Verde,CPV,2004,23.88677455
Cape Verde,CPV,2005,23.63208541
Cape Verde,CPV,2006,21.3952626
Cape Verde,CPV,2007,20.11364956
Cape Verde,CPV,2008,22.1101035
Cape Verde,CPV,2009,22.16790535
Cape Verde,CPV,2010,26.01312481
Cape Verde,CPV,2011,24.2485888
Cape Verde,CPV,2012,24.333324
Cape Verde,CPV,2013,24.0120182
Cape Verde,CPV,2014,22.24205073
Caribbean small states,,1995,30.8740388083194
Caribbean small states,,1996,29.5149337407323
Caribbean small states,,1997,30.6815759573964
Caribbean small states,,1998,29.1125461721475
Caribbean small states,,1999,31.7427942506778
Caribbean small states,,2000,30.8060967365061
Caribbean small states,,2001,33.1631763209533
Caribbean small states,,2002,30.03755739144
Caribbean small states,,2003,33.7188388984598
Caribbean small states,,2004,33.4428150288945
Caribbean small states,,2005,34.4686599071636
Caribbean small states,,2006,32.4858504510001
Caribbean small states,,2007,34.1885456905405
Caribbean small states,,2008,33.7671491743786
Caribbean small states,,2009,32.7854392683999
Caribbean small states,,2010,30.8030421457703
Caribbean small states,,2011,32.561846231703
Caribbean small states,,2012,32.1760053677227
Caribbean small states,,2013,31.8248398277982
Caribbean small states,,2014,32.1305036253198
Central African Republic,CAF,1995,58.08124417
Central African Republic,CAF,1996,51.36484391
Central African Republic,CAF,1997,61.81235896
Central African Republic,CAF,1998,57.95569522
Central African Republic,CAF,1999,50.49640614
Central African Republic,CAF,2000,46.84599483
Central African Republic,CAF,2001,48.88305192
Central African Republic,CAF,2002,46.78050319
Central African Republic,CAF,2003,48.14729673
Central African Republic,CAF,2004,50.98337534
Central African Republic,CAF,2005,46.87373406
Central African Republic,CAF,2006,47.56876641
Central African Republic,CAF,2007,45.34824397
Central African Republic,CAF,2008,39.81111831
Central African Republic,CAF,2009,48.4313105
Central African Republic,CAF,2010,44.58543019
Central African Republic,CAF,2011,45.87242061
Central African Republic,CAF,2012,46.31302032
Central African Republic,CAF,2013,45.18796278
Central African Republic,CAF,2014,46.22359876
Central Europe and the Baltics,,1995,19.0133960831208
Central Europe and the Baltics,,1996,19.7623328159177
Central Europe and the Baltics,,1997,20.3401961893504
Central Europe and the Baltics,,1998,23.6934993249757
Central Europe and the Baltics,,1999,21.8189056523938
Central Europe and the Baltics,,2000,22.8579975253569
Central Europe and the Baltics,,2001,22.8798867261746
Central Europe and the Baltics,,2002,21.4742992200956
Central Europe and the Baltics,,2003,21.1072397429296
Central Europe and the Baltics,,2004,22.9685939285573
Central Europe and the Baltics,,2005,21.9460398495522
Central Europe and the Baltics,,2006,22.102579791242
Central Europe and the Baltics,,2007,22.0310644298974
Central Europe and the Baltics,,2008,21.731980666131
Central Europe and the Baltics,,2009,21.7456423553742
Central Europe and the Baltics,,2010,21.3180539653092
Central Europe and the Baltics,,2011,21.5564199909836
Central Europe and the Baltics,,2012,21.8946549724922
Central Europe and the Baltics,,2013,22.3161124458172
Central Europe and the Baltics,,2014,22.2118397539757
Chad,TCD,1995,62.93906581
Chad,TCD,1996,61.3226479
Chad,TCD,1997,62.19425715
Chad,TCD,1998,66.71096115
Chad,TCD,1999,63.58434939
Chad,TCD,2000,55.31536262
Chad,TCD,2001,57.34333093
Chad,TCD,2002,63.89890412
Chad,TCD,2003,53.83095092
Chad,TCD,2004,55.51142604
Chad,TCD,2005,54.73351494
Chad,TCD,2006,58.96368443
Chad,TCD,2007,55.57413637
Chad,TCD,2008,57.67219268
Chad,TCD,2009,54.64249524
Chad,TCD,2010,51.35157166
Chad,TCD,2011,44.51291701
Chad,TCD,2012,45.41536226
Chad,TCD,2013,41.4981968
Chad,TCD,2014,39.15064491
Chile,CHL,1995,48.48925593
Chile,CHL,1996,49.43573752
