Entity,Code,Year,Out-of-pocket health expenditure (% of total expenditure on health) (% of total expenditure on health)
Afghanistan,AFG,2002,92.47226492
Afghanistan,AFG,2003,92.68919283
Afghanistan,AFG,2004,88.55992924
Afghanistan,AFG,2005,89.62688627
Afghanistan,AFG,2006,85.23454669
Afghanistan,AFG,2007,91.76853664
Afghanistan,AFG,2008,83.12492967
Afghanistan,AFG,2009,72.31282097
Afghanistan,AFG,2010,68.69883609
Afghanistan,AFG,2011,73.25510519
Afghanistan,AFG,2012,65.43003593
Afghanistan,AFG,2013,67.12525595
Afghanistan,AFG,2014,63.87641185
Albania,ALB,1995,74.03389519
Albania,ALB,1996,76.45072572
Albania,ALB,1997,73.18078438
Albania,ALB,1998,69.76021656
Albania,ALB,1999,63.38369617
Albania,ALB,2000,63.81917269
Albania,ALB,2001,61.6885918
Albania,ALB,2002,64.07475438
Albania,ALB,2003,60.44117915
Albania,ALB,2004,53.81305611
Albania,ALB,2005,52.30130855
Albania,ALB,2006,51.82090219
Albania,ALB,2007,52.48919192
Albania,ALB,2008,51.67033199
Albania,ALB,2009,50.914223
Albania,ALB,2010,53.4075251
Albania,ALB,2011,49.98561064
Albania,ALB,2012,50.89410431
Albania,ALB,2013,49.69555747
Albania,ALB,2014,49.93165101
Algeria,DZA,1995,26.9485242
Algeria,DZA,1996,24.39843603
Algeria,DZA,1997,28.01718178
Algeria,DZA,1998,28.80749077
Algeria,DZA,1999,29.67705059
Algeria,DZA,2000,25.79451389
Algeria,DZA,2001,21.66852471
Algeria,DZA,2002,22.52488338
Algeria,DZA,2003,21.14863711
Algeria,DZA,2004,26.09432671
Algeria,DZA,2005,28.09361344
Algeria,DZA,2006,29.12135325
Algeria,DZA,2007,28.08858159
Algeria,DZA,2008,26.14678762
Algeria,DZA,2009,27.44943955
Algeria,DZA,2010,28.88244202
Algeria,DZA,2011,27.87165888
Algeria,DZA,2012,25.70015713
Algeria,DZA,2013,26.4366324
Algeria,DZA,2014,26.49750353
Andorra,AND,1995,22.44228194
Andorra,AND,1996,21.21965649
Andorra,AND,1997,20.96156389
Andorra,AND,1998,16.48144539
Andorra,AND,1999,22.28164613
Andorra,AND,2000,22.08389248
Andorra,AND,2001,21.875
Andorra,AND,2002,22.01834862
Andorra,AND,2003,22.34446814
Andorra,AND,2004,22.62750723
Andorra,AND,2005,24.59432925
Andorra,AND,2006,24.0041788
Andorra,AND,2007,20.03340565
Andorra,AND,2008,19.25077264
Andorra,AND,2009,18.48650001
Andorra,AND,2010,15.94008813
Andorra,AND,2011,19.23975305
Andorra,AND,2012,17.30853731
Andorra,AND,2013,11.28880166
Andorra,AND,2014,15.94330347
Angola,AGO,1995,20.25608482
Angola,AGO,1996,21.07055968
Angola,AGO,1997,28.03511268
Angola,AGO,1998,42.80644778
Angola,AGO,1999,22.55628073
Angola,AGO,2000,22.52131246
Angola,AGO,2001,38.45271121
Angola,AGO,2002,40.04743331
Angola,AGO,2003,42.26876367
Angola,AGO,2004,38.26880645
Angola,AGO,2005,38.60118721
Angola,AGO,2006,22.72465616
Angola,AGO,2007,26.94336491
Angola,AGO,2008,19.68275516
Angola,AGO,2009,29.44872632
Angola,AGO,2010,27.75425643
Angola,AGO,2011,24.99214943
Angola,AGO,2012,23.97741694
Angola,AGO,2013,18.58781139
Angola,AGO,2014,23.96154759
Antigua and Barbuda,ATG,1995,29.15047942
Antigua and Barbuda,ATG,1996,31.06622836
Antigua and Barbuda,ATG,1997,29.53361771
Antigua and Barbuda,ATG,1998,28.01326685
Antigua and Barbuda,ATG,1999,26.73951984
Antigua and Barbuda,ATG,2000,26.3456689
Antigua and Barbuda,ATG,2001,27.75211869
Antigua and Barbuda,ATG,2002,26.89017216
Antigua and Barbuda,ATG,2003,28.33522386
Antigua and Barbuda,ATG,2004,29.43868005
Antigua and Barbuda,ATG,2005,25.98055821
Antigua and Barbuda,ATG,2006,24.54576561
Antigua and Barbuda,ATG,2007,23.09067506
Antigua and Barbuda,ATG,2008,22.16534822
Antigua and Barbuda,ATG,2009,24.06386417
Antigua and Barbuda,ATG,2010,23.09668073
Antigua and Barbuda,ATG,2011,23.01484085
Antigua and Barbuda,ATG,2012,24.1369273
Antigua and Barbuda,ATG,2013,24.38005355
Antigua and Barbuda,ATG,2014,23.69377894
Arab World,,1995,38.5328134992941
Arab World,,1996,38.1806469350147
Arab World,,1997,39.3175884012671
Arab World,,1998,40.958641469278
Arab World,,1999,38.7758743833308
Arab World,,2000,36.5620374268883
Arab World,,2001,34.3351656731818
Arab World,,2002,35.8295306247322
Arab World,,2003,34.7795395907534
Arab World,,2004,34.7263597063743
Arab World,,2005,33.9115742756917
Arab World,,2006,33.4200370895137
Arab World,,2007,34.3205621166483
Arab World,,2008,34.362414503551
Arab World,,2009,32.1494889946911
Arab World,,2010,33.0994878334767
Arab World,,2011,30.8819538134737
Arab World,,2012,30.9082181245214
Arab World,,2013,30.3972343560754
Arab World,,2014,30.07453521331
Argentina,ARG,1995,27.97854978
Argentina,ARG,1996,29.76190476
Argentina,ARG,1997,28.79078695
Argentina,ARG,1998,29.0618387
Argentina,ARG,1999,28.59674257
Argentina,ARG,2000,29.0341061
Argentina,ARG,2001,29.42517656
Argentina,ARG,2002,29.82182167
Argentina,ARG,2003,31.0830899
Argentina,ARG,2004,31.07465606
Argentina,ARG,2005,29.88124341
Argentina,ARG,2006,29.05840881
Argentina,ARG,2007,25.68097005
Argentina,ARG,2008,22.60511593
Argentina,ARG,2009,20.12872578
Argentina,ARG,2010,21.99958497
Argentina,ARG,2011,23.02734772
Argentina,ARG,2012,26.86996102
Argentina,ARG,2013,30.18671766
Argentina,ARG,2014,30.72721234
Armenia,ARM,1995,66.23138507
Armenia,ARM,1996,69.367376
Armenia,ARM,1997,71.79346678
Armenia,ARM,1998,67.77170205
Armenia,ARM,1999,67.27838222
Armenia,ARM,2000,77.34854937
Armenia,ARM,2001,69.77567742
Armenia,ARM,2002,68.75067995
Armenia,ARM,2003,69.13352046
Armenia,ARM,2004,71.34811044
Armenia,ARM,2005,61.6467504
Armenia,ARM,2006,52.65454715
Armenia,ARM,2007,49.45282889
Armenia,ARM,2008,51.3983681
Armenia,ARM,2009,53.07837424
Armenia,ARM,2010,55.87217495
Armenia,ARM,2011,47.04559015
Armenia,ARM,2012,54.56981392
Armenia,ARM,2013,53.69198311
Armenia,ARM,2014,53.51333862
Australia,AUS,1995,16.08864355
Australia,AUS,1996,16.95011388
Australia,AUS,1997,16.8731114
Australia,AUS,1998,19.9028283
Australia,AUS,1999,18.61399605
Australia,AUS,2000,19.78445555
Australia,AUS,2001,19.25278853
Australia,AUS,2002,18.7411792
Australia,AUS,2003,18.18346744
Australia,AUS,2004,18.17865584
Australia,AUS,2005,18.53677629
Australia,AUS,2006,18.57498994
Australia,AUS,2007,17.95412282
Australia,AUS,2008,17.92720737
Australia,AUS,2009,18.11209345
Australia,AUS,2010,18.58387503
Australia,AUS,2011,17.93827565
Australia,AUS,2012,18.73859081
Australia,AUS,2013,18.82993472
Australia,AUS,2014,18.8152037
Austria,AUT,1995,15.15492477
Austria,AUT,1996,15.532623
Austria,AUT,1997,15.37829824
Austria,AUT,1998,15.33914562
Austria,AUT,1999,14.95041597
Austria,AUT,2000,15.06531876
Austria,AUT,2001,15.87077044
Austria,AUT,2002,15.83333253
Austria,AUT,2003,16.03454022
Austria,AUT,2004,17.47871847
Austria,AUT,2005,17.42251015
Austria,AUT,2006,17.1908636
Austria,AUT,2007,17.0919357
Austria,AUT,2008,16.39441429
