Entity,Code,Year,Mean (Real 2011 international dollars),Median (Real 2011 international dollars)
Australia,AUS,1981,21676.89648,19639.38086
Australia,AUS,1985,21693.07422,19574.12891
Australia,AUS,1989,22378.35352,19755.94922
Australia,AUS,1995,20633.89258,18136.97266
Australia,AUS,2001,23259.52734,20386.34375
Australia,AUS,2003,23693.30273,20607.71094
Australia,AUS,2008,32880.5625,28055.18555
Australia,AUS,2010,32914.78906,27873.81641
Austria,AUT,1994,27112.91992,24034.77734
Austria,AUT,1997,25765.10547,23302.5918
Austria,AUT,2000,27002.23633,24770.49609
Austria,AUT,2004,29476.17969,26337.57617
Belgium,BEL,1985,18578.08008,17403.31445
Belgium,BEL,1988,19481.50977,18147.39648
Belgium,BEL,1992,20520.28906,19246.58594
Belgium,BEL,1995,23940.83203,22076.9375
Belgium,BEL,1997,23350.54883,21626.69922
Belgium,BEL,2000,27208.46875,23246.05469
Canada,CAN,1981,25515.60352,23415.7168
Canada,CAN,1987,26420.67188,24045.57227
Canada,CAN,1991,26415.38086,23872.01563
Canada,CAN,1994,26435.73828,23889.39258
Canada,CAN,1997,26385.72461,23850.78516
Canada,CAN,1998,27454.15234,24322.94531
Canada,CAN,2000,27787.43555,24097.08008
Canada,CAN,2004,29647.80664,25723.53516
Canada,CAN,2007,32320.38867,27946.60352
Canada,CAN,2010,33067.24219,28873.60352
Czech Republic,CZE,1992,10843.02441,10039.36719
Czech Republic,CZE,1996,13275.39355,11723.50098
Czech Republic,CZE,2002,14134.2168,12404.95898
Czech Republic,CZE,2004,15451.58984,13426.48242
Czech Republic,CZE,2007,17987.49805,16123.01172
Czech Republic,CZE,2010,18603.93359,16648.28125
Denmark,DNK,1987,24015.91992,22975.30078
Denmark,DNK,1992,23251.06445,22270.33398
Denmark,DNK,1995,24990.0957,23829.54102
Denmark,DNK,2000,26496.31055,25204.37109
Denmark,DNK,2004,27841.07031,26464.84766
Denmark,DNK,2007,29319.29492,27647.56836
Denmark,DNK,2010,30235.59766,27992.16992
Estonia,EST,2000,8165.163574,6484.560547
Estonia,EST,2004,10392.07813,8580.642578
Estonia,EST,2007,15277.35059,13330.5625
Estonia,EST,2010,13833.46289,11767.09473
Finland,FIN,1987,18958.39063,18228.95703
Finland,FIN,1991,20989.4707,19971.9375
Finland,FIN,1995,19189.40625,17881.16211
Finland,FIN,2000,21983.00586,19920.98438
Finland,FIN,2004,25048.34961,22483.07813
Finland,FIN,2007,27186.35938,24615.4082
Finland,FIN,2010,27817.98828,25208.19336
France,FRA,1978,21685.19336,18664.77539
France,FRA,1984,21056.71289,17873.4082
France,FRA,1989,20993.78125,18755.28125
France,FRA,1994,24015.11328,20676.60742
France,FRA,2000,23863.9043,20842.30469
France,FRA,2005,24594.63477,21745.56641
France,FRA,2010,27901.83203,24502.11914
Germany,DEU,1984,24687.50391,22353.58984
Germany,DEU,1989,28120.9043,25155.82813
Germany,DEU,1994,26917.55664,23989.12891
Germany,DEU,2000,29026.6543,25830.99219
Germany,DEU,2004,29513.41406,25812.03711
Germany,DEU,2007,29269.25586,25329.35156
Germany,DEU,2010,29100.59961,25749.34766
Greece,GRC,1995,15979.25098,13519.83496
Greece,GRC,2000,17960.82227,15214.28711
Greece,GRC,2004,21864.02734,18478.69531
Greece,GRC,2007,23185.27148,20011.07227
Greece,GRC,2010,21148.51172,18199.58789
Hungary,HUN,1991,12917.33398,11460.16309
Hungary,HUN,1994,10995.28027,9211.223633
Hungary,HUN,1999,10589.40332,9107.500977
Hungary,HUN,2005,13005.62988,11111.73926
Hungary,HUN,2007,12976.74707,11415.67871
Hungary,HUN,2009,12319.96875,10880.90625
Hungary,HUN,2012,12226.33203,10951.52441
Iceland,ISL,2004,29644.8125,26543.64844
Iceland,ISL,2007,36325.05859,31517.98047
Iceland,ISL,2010,28629.00977,26252.45898
Ireland,IRL,1987,13537.02441,11351.15137
Ireland,IRL,1994,18407.72852,15061.46582
Ireland,IRL,1995,19053.33203,15637.66699
