Entity,Code,Year,Smallpox cases as recorded in April 1967 (cases),Smallpox cases as revised in 1987 (cases)
World,OWID_WRL,1959,81444,96571
World,OWID_WRL,1960,60956,67127
World,OWID_WRL,1961,85594,90588
World,OWID_WRL,1962,82413,98759
World,OWID_WRL,1963,99599,133791
World,OWID_WRL,1964,49956,77295
World,OWID_WRL,1965,64321,112228
World,OWID_WRL,1966,65512,92650
