Entity,Code,Year,Variable:Recycling - MUNW (tonnes)
Australia,AUS,2003,2701000
Australia,AUS,2009,5751000
Australia,AUS,2011,6341000
Australia,AUS,2015,5547000
Austria,AUT,1990,399000
Austria,AUT,1991,511000
Austria,AUT,1992,581000
Austria,AUT,1993,640000
Austria,AUT,1994,785000
Austria,AUT,1995,820000
Austria,AUT,1996,879000
Austria,AUT,1997,941000
Austria,AUT,1998,987000
Austria,AUT,1999,1061000
Austria,AUT,2000,1129000
Austria,AUT,2001,1125000
Austria,AUT,2002,1115000
Austria,AUT,2003,1110000
Austria,AUT,2004,1116000
Austria,AUT,2005,1179700
Austria,AUT,2006,1258500
Austria,AUT,2007,1318000
Austria,AUT,2008,1476000
Austria,AUT,2009,1491900
Austria,AUT,2010,1272200
Austria,AUT,2011,1145600
Austria,AUT,2012,1168000
Austria,AUT,2013,1202400
Austria,AUT,2014,1231000
Austria,AUT,2015,1240500
Belgium,BEL,1990,203000
Belgium,BEL,1991,218000
Belgium,BEL,1992,260000
Belgium,BEL,1993,324000
Belgium,BEL,1994,431000
Belgium,BEL,1995,513000
Belgium,BEL,1996,647000
Belgium,BEL,1997,815000
Belgium,BEL,1998,1038000
Belgium,BEL,1999,1163000
Belgium,BEL,2000,1245000
Belgium,BEL,2001,1305000
Belgium,BEL,2002,1365000
Belgium,BEL,2003,1336000
Belgium,BEL,2004,1408000
Belgium,BEL,2005,1547000
Belgium,BEL,2006,1601000
Belgium,BEL,2007,1741000
Belgium,BEL,2008,1664000
Belgium,BEL,2009,1697000
Belgium,BEL,2010,1672000
Belgium,BEL,2011,1707000
Belgium,BEL,2012,1600000
Belgium,BEL,2013,1548000
Belgium,BEL,2014,1578000
Belgium,BEL,2015,1615000
Brazil,BRA,2000,821000
Canada,CAN,1996,3218650
Canada,CAN,1998,5051060
Canada,CAN,2000,5158750
Canada,CAN,2002,5330760
Canada,CAN,2004,5593130
Canada,CAN,2006,5720570
Canada,CAN,2008,5978280
Canada,CAN,2010,5870886
Canada,CAN,2012,5994677
Costa Rica,CRI,2015,17600
Czech Republic,CZE,1995,0
Czech Republic,CZE,1996,0
Czech Republic,CZE,1997,0
Czech Republic,CZE,1998,17000
Czech Republic,CZE,1999,18000
Czech Republic,CZE,2000,19000
Czech Republic,CZE,2001,15000
Czech Republic,CZE,2002,16000
Czech Republic,CZE,2003,16000
Czech Republic,CZE,2004,138000
Czech Republic,CZE,2005,166000
