Entity,Code,Year,Sex ratio at birth (male births per 100 female births)
China,CHN,1981,107.79
China,CHN,1986,113.12
China,CHN,1989,113.89
China,CHN,1993,114.06
China,CHN,2000,119.92
China,CHN,2005,120.5
China,CHN,2010,121.21
South Korea,KOR,1970,109.5
South Korea,KOR,1971,109
South Korea,KOR,1972,109.5
South Korea,KOR,1973,104.6
South Korea,KOR,1974,109.4
South Korea,KOR,1975,112.4
South Korea,KOR,1976,110.7
South Korea,KOR,1977,104.2
South Korea,KOR,1978,111.3
South Korea,KOR,1979,106.4
South Korea,KOR,1980,105.3
South Korea,KOR,1981,107.2
South Korea,KOR,1982,106.8
South Korea,KOR,1983,107.4
South Korea,KOR,1984,108.3
South Korea,KOR,1985,109.4
South Korea,KOR,1986,111.7
South Korea,KOR,1987,108.8
South Korea,KOR,1988,113.3
South Korea,KOR,1989,111.8
South Korea,KOR,1990,116.6
South Korea,KOR,1991,112.5
South Korea,KOR,1992,113.8
South Korea,KOR,1993,115.5
South Korea,KOR,1994,115.4
South Korea,KOR,1995,113.3
South Korea,KOR,1996,111.5
South Korea,KOR,1997,108.2
South Korea,KOR,1998,110
South Korea,KOR,1999,109.6
South Korea,KOR,2000,110.2
South Korea,KOR,2001,109.1
South Korea,KOR,2002,110
South Korea,KOR,2003,108.7
South Korea,KOR,2004,108.2
South Korea,KOR,2005,107.8
South Korea,KOR,2006,107.5
South Korea,KOR,2007,106.2
South Korea,KOR,2008,106.4
South Korea,KOR,2009,106.4
South Korea,KOR,2010,106.9
South Korea,KOR,2011,105.7
South Korea,KOR,2012,105.7
South Korea,KOR,2013,105.3
South Korea,KOR,2014,105.3
South Korea,KOR,2015,105.3
South Korea,KOR,2016,105
South Korea,KOR,2017,106.3
