Entity,Code,Year,Press Freedom Score
Afghanistan,AFG,2017,39.46
Afghanistan,AFG,2018,37.28
Afghanistan,AFG,2019,36.55
Albania,ALB,2017,29.92
Albania,ALB,2018,29.49
Albania,ALB,2019,29.84
Algeria,DZA,2017,42.83
Algeria,DZA,2018,43.13
Algeria,DZA,2019,45.75
Andorra,AND,2017,21.03
Andorra,AND,2018,22.21
Andorra,AND,2019,24.63
Angola,AGO,2017,40.42
Angola,AGO,2018,38.35
Angola,AGO,2019,34.96
Argentina,ARG,2017,25.07
Argentina,ARG,2018,26.05
Argentina,ARG,2019,28.3
Armenia,ARM,2017,30.38
Armenia,ARM,2018,29.99
Armenia,ARM,2019,28.98
Australia,AUS,2017,16.02
Australia,AUS,2018,15.46
Australia,AUS,2019,16.55
Austria,AUT,2017,13.47
Austria,AUT,2018,14.04
Austria,AUT,2019,15.33
Azerbaijan,AZE,2017,56.4
Azerbaijan,AZE,2018,59.73
Azerbaijan,AZE,2019,59.13
Bahrain,BHR,2017,58.88
Bahrain,BHR,2018,60.85
Bahrain,BHR,2019,61.31
Bangladesh,BGD,2017,48.36
Bangladesh,BGD,2018,48.62
Bangladesh,BGD,2019,50.74
Belarus,BLR,2017,52.43
Belarus,BLR,2018,52.59
Belarus,BLR,2019,51.66
Belgium,BEL,2017,12.75
Belgium,BEL,2018,13.16
Belgium,BEL,2019,12.07
Belize,BLZ,2017,23.43
Belize,BLZ,2018,24.55
Belize,BLZ,2019,27.5
Benin,BEN,2017,30.32
Benin,BEN,2018,30.16
Benin,BEN,2019,31.74
Bhutan,BTN,2017,30.73
Bhutan,BTN,2018,30.73
Bhutan,BTN,2019,29.81
Bolivia,BOL,2017,33.88
Bolivia,BOL,2018,32.45
Bolivia,BOL,2019,35.38
Bosnia and Herzegovina,BIH,2017,27.83
Bosnia and Herzegovina,BIH,2018,27.37
Bosnia and Herzegovina,BIH,2019,29.02
Botswana,BWA,2017,24.93
Botswana,BWA,2018,25.29
Botswana,BWA,2019,25.09
Brazil,BRA,2017,33.58
Brazil,BRA,2018,31.2
Brazil,BRA,2019,32.79
Brunei,BRN,2017,53.72
Brunei,BRN,2018,51.48
Brunei,BRN,2019,51.48
Bulgaria,BGR,2017,35.01
Bulgaria,BGR,2018,35.22
Bulgaria,BGR,2019,35.11
Burkina Faso,BFA,2017,23.85
Burkina Faso,BFA,2018,23.33
Burkina Faso,BFA,2019,24.53
Burundi,BDI,2017,55.78
Burundi,BDI,2018,55.26
Burundi,BDI,2019,52.89
Cambodia,KHM,2017,42.07
Cambodia,KHM,2018,45.9
Cambodia,KHM,2019,45.9
Cameroon,CMR,2017,41.59
Cameroon,CMR,2018,40.92
Cameroon,CMR,2019,43.32
Canada,CAN,2017,16.53
Canada,CAN,2018,15.28
Canada,CAN,2019,15.69
Cape Verde,CPV,2017,18.02
Cape Verde,CPV,2018,20.39
Cape Verde,CPV,2019,19.81
Central African Republic,CAF,2017,36.12
Central African Republic,CAF,2018,35.25
Central African Republic,CAF,2019,47.27
Chad,TCD,2017,39.66
Chad,TCD,2018,38.45
Chad,TCD,2019,36.71
Chile,CHL,2017,20.53
Chile,CHL,2018,22.69
Chile,CHL,2019,25.65
China,CHN,2017,77.66
China,CHN,2018,78.29
China,CHN,2019,78.92
Colombia,COL,2017,41.47
