Entity,Code,Year,Universal right to vote (% sovereign countries),First female MP (% sovereign countries),10% women in parliament  (% sovereign countries),20% women in parliament  (% sovereign countries),30% women in parliament  (% sovereign countries)
World,OWID_WRL,2002,96.875,94.270836,65.104164,25,9.375
World,OWID_WRL,2003,97.916664,94.791664,66.145836,26.041666,10.416667
World,OWID_WRL,2004,97.916664,94.791664,71.354164,28.125,10.9375
World,OWID_WRL,2005,98.4375,94.791664,75.520836,33.333332,13.020833
World,OWID_WRL,2006,98.445595,94.818649,76.165802,35.751297,12.953368
World,OWID_WRL,2007,98.445595,95.336784,78.238342,40.414509,13.471502
World,OWID_WRL,2008,98.445595,95.854919,78.238342,41.96891,15.544042
World,OWID_WRL,2009,98.445595,96.373055,79.274612,43.523315,16.580311
World,OWID_WRL,2010,98.445595,96.373055,81.347153,45.595856,16.580311
World,OWID_WRL,2011,98.453606,96.907219,82.989693,47.938145,18.041237
World,OWID_WRL,2012,98.453606,96.907219,84.536079,50.515465,20.103092
World,OWID_WRL,2013,98.453606,96.907219,86.082474,51.546391,23.195877
World,OWID_WRL,2014,98.453606,97.422684,86.597939,52.57732,24.226805
World,OWID_WRL,2015,98.453606,97.938141,87.113403,53.608246,26.804123
World,OWID_WRL,2016,98.453606,97.938141,88.144333,55.670105,26.804123
World,OWID_WRL,2017,98.453606,97.938141,89.175255,57.216496,27.835052
