Entity,Code,Year,Share of Guardian media coverage (%)
Accidents,,1999,2.07
Accidents,,2000,2.53
Accidents,,2001,1.58
Accidents,,2002,2.27
Accidents,,2003,2.17
Accidents,,2004,2.01
Accidents,,2005,1.78
Accidents,,2006,2.06
Accidents,,2007,3.14
Accidents,,2008,2.62
Accidents,,2009,3.12
Accidents,,2010,2.9
Accidents,,2011,2.87
Accidents,,2012,2.61
Accidents,,2013,3.23
Accidents,,2014,2.59
Accidents,,2015,2.7
Accidents,,2016,2.82
Alzheimer's Disease,,1999,0.71
Alzheimer's Disease,,2000,0.91
Alzheimer's Disease,,2001,0.5
Alzheimer's Disease,,2002,0.42
Alzheimer's Disease,,2003,0.43
Alzheimer's Disease,,2004,0.52
Alzheimer's Disease,,2005,0.41
Alzheimer's Disease,,2006,0.49
Alzheimer's Disease,,2007,0.55
Alzheimer's Disease,,2008,0.54
Alzheimer's Disease,,2009,0.45
Alzheimer's Disease,,2010,0.53
Alzheimer's Disease,,2011,0.55
Alzheimer's Disease,,2012,0.59
Alzheimer's Disease,,2013,0.48
Alzheimer's Disease,,2014,0.29
Alzheimer's Disease,,2015,0.04
Alzheimer's Disease,,2016,0
Cancer,,1999,13.69
Cancer,,2000,16.34
Cancer,,2001,11.2
Cancer,,2002,11.63
Cancer,,2003,10.78
Cancer,,2004,11.78
Cancer,,2005,11.8
Cancer,,2006,13.01
Cancer,,2007,11.92
Cancer,,2008,12.4
Cancer,,2009,13.25
Cancer,,2010,13.84
Cancer,,2011,15.94
Cancer,,2012,16.2
Cancer,,2013,15.64
Cancer,,2014,15.04
Cancer,,2015,12.57
Cancer,,2016,12.7
Diabetes,,1999,1.35
Diabetes,,2000,2.12
Diabetes,,2001,1.08
Diabetes,,2002,1.48
Diabetes,,2003,1.9
Diabetes,,2004,2.17
Diabetes,,2005,1.95
Diabetes,,2006,1.73
Diabetes,,2007,2.23
Diabetes,,2008,1.97
Diabetes,,2009,1.52
Diabetes,,2010,2.12
Diabetes,,2011,2.38
Diabetes,,2012,2.53
Diabetes,,2013,2.72
Diabetes,,2014,2.95
Diabetes,,2015,2.34
Diabetes,,2016,2.25
Drug overdose,,1999,0.13
Drug overdose,,2000,0.14
Drug overdose,,2001,0.07
Drug overdose,,2002,0.14
Drug overdose,,2003,0.08
Drug overdose,,2004,0.09
Drug overdose,,2005,0.12
Drug overdose,,2006,0.12
Drug overdose,,2007,0.2
Drug overdose,,2008,0.22
Drug overdose,,2009,0.19
Drug overdose,,2010,0.12
Drug overdose,,2011,0.21
Drug overdose,,2012,0.07
Drug overdose,,2013,0.06
Drug overdose,,2014,0.22
Drug overdose,,2015,0.17
Drug overdose,,2016,0.28
Heart disease,,1999,2.91
Heart disease,,2000,3.42
Heart disease,,2001,1.92
Heart disease,,2002,2.2
Heart disease,,2003,2.58
Heart disease,,2004,3.13
Heart disease,,2005,2.35
Heart disease,,2006,2.03
Heart disease,,2007,2.35
Heart disease,,2008,2.11
Heart disease,,2009,1.7
Heart disease,,2010,2.03
Heart disease,,2011,2.17
Heart disease,,2012,2.09
Heart disease,,2013,2.37
Heart disease,,2014,2.3
Heart disease,,2015,1.89
Heart disease,,2016,2.12
Homicide,,1999,35.21
Homicide,,2000,35.17
Homicide,,2001,21.82
Homicide,,2002,24.13
Homicide,,2003,24.22
Homicide,,2004,23.99
Homicide,,2005,23.97
Homicide,,2006,24.65
Homicide,,2007,26.81
Homicide,,2008,27.41
Homicide,,2009,24.23
Homicide,,2010,27.4
Homicide,,2011,29.29
Homicide,,2012,29.09
Homicide,,2013,27.19
Homicide,,2014,27.09
Homicide,,2015,24.02
Homicide,,2016,23.31
Kidney disease,,1999,0.13
Kidney disease,,2000,0.21
Kidney disease,,2001,0.08
Kidney disease,,2002,0.07
Kidney disease,,2003,0.15
Kidney disease,,2004,0.12
Kidney disease,,2005,0.09
Kidney disease,,2006,0.07
Kidney disease,,2007,0.16
Kidney disease,,2008,0.08
Kidney disease,,2009,0.08
Kidney disease,,2010,0.18
Kidney disease,,2011,0.15
Kidney disease,,2012,0.1
Kidney disease,,2013,0.16
Kidney disease,,2014,0.12
Kidney disease,,2015,0.16
Kidney disease,,2016,0.14
Lower respiratory disease,,1999,2.61
Lower respiratory disease,,2000,2.32
Lower respiratory disease,,2001,1.44
Lower respiratory disease,,2002,1.51
Lower respiratory disease,,2003,1.58
Lower respiratory disease,,2004,2.08
Lower respiratory disease,,2005,1.48
Lower respiratory disease,,2006,1.44
Lower respiratory disease,,2007,1.39
Lower respiratory disease,,2008,1.45
Lower respiratory disease,,2009,1.26
Lower respiratory disease,,2010,1.46
Lower respiratory disease,,2011,1.34
Lower respiratory disease,,2012,1.44
Lower respiratory disease,,2013,1.4
Lower respiratory disease,,2014,1.54
Lower respiratory disease,,2015,1.4
Lower respiratory disease,,2016,1.59
Pneumonia & influenza,,1999,4.39
Pneumonia & influenza,,2000,4.82
Pneumonia & influenza,,2001,2.29
Pneumonia & influenza,,2002,2.26
Pneumonia & influenza,,2003,3.33
Pneumonia & influenza,,2004,2.62
Pneumonia & influenza,,2005,4.8
Pneumonia & influenza,,2006,4.94
Pneumonia & influenza,,2007,3.8
Pneumonia & influenza,,2008,2.97
Pneumonia & influenza,,2009,9.16
Pneumonia & influenza,,2010,3.76
Pneumonia & influenza,,2011,3.41
Pneumonia & influenza,,2012,3.16
Pneumonia & influenza,,2013,3.21
Pneumonia & influenza,,2014,2.92
Pneumonia & influenza,,2015,2.32
Pneumonia & influenza,,2016,2.31
Stroke,,1999,6
Stroke,,2000,6.59
Stroke,,2001,4.18
Stroke,,2002,5.05
Stroke,,2003,5.37
Stroke,,2004,5.47
Stroke,,2005,5.13
Stroke,,2006,6.31
Stroke,,2007,5.72
Stroke,,2008,6.27
Stroke,,2009,6.31
Stroke,,2010,6.19
Stroke,,2011,7
Stroke,,2012,7.2
Stroke,,2013,6.6
Stroke,,2014,6.24
Stroke,,2015,5.18
Stroke,,2016,5.19
Suicide,,1999,9.95
Suicide,,2000,9.97
Suicide,,2001,10.67
Suicide,,2002,13.06
Suicide,,2003,14.76
Suicide,,2004,13.88
Suicide,,2005,14.47
Suicide,,2006,13.22
Suicide,,2007,13.88
Suicide,,2008,13.71
Suicide,,2009,12.56
Suicide,,2010,12.4
Suicide,,2011,12.2
Suicide,,2012,11.51
Suicide,,2013,10.47
Suicide,,2014,11.79
Suicide,,2015,12.27
Suicide,,2016,14.03
Terrorism,,1999,20.84
Terrorism,,2000,15.45
Terrorism,,2001,43.18
Terrorism,,2002,35.78
Terrorism,,2003,32.66
Terrorism,,2004,32.13
Terrorism,,2005,31.66
Terrorism,,2006,29.93
Terrorism,,2007,27.85
Terrorism,,2008,28.27
Terrorism,,2009,26.19
Terrorism,,2010,27.07
Terrorism,,2011,22.5
Terrorism,,2012,23.4
Terrorism,,2013,26.47
Terrorism,,2014,26.91
Terrorism,,2015,34.95
Terrorism,,2016,33.26
