Entity,Code,Year,Minimum daily concentration (Dobson Units (DU)),Mean daily concentration (Dobson Units (DU))
World,OWID_WRL,1979,194,225
World,OWID_WRL,1980,192,203
World,OWID_WRL,1981,195,209.5
World,OWID_WRL,1982,170,185
World,OWID_WRL,1983,154,172.9
World,OWID_WRL,1984,144,163.6
World,OWID_WRL,1985,124,146.5
World,OWID_WRL,1986,140,157.8
World,OWID_WRL,1987,109,123
World,OWID_WRL,1988,162,171
World,OWID_WRL,1989,108,127
World,OWID_WRL,1990,111,124.2
World,OWID_WRL,1991,94,119
World,OWID_WRL,1992,105,114.3
World,OWID_WRL,1993,104,112.6
World,OWID_WRL,1994,73,92.3
World,OWID_WRL,1996,103,108.8
World,OWID_WRL,1997,99,108.8
World,OWID_WRL,1998,86,98.8
World,OWID_WRL,1999,97,102.9
World,OWID_WRL,2000,89,98.7
World,OWID_WRL,2001,91,100.9
World,OWID_WRL,2002,131,157.4
World,OWID_WRL,2003,91,108.7
World,OWID_WRL,2004,102,123.5
World,OWID_WRL,2005,103,113.8
World,OWID_WRL,2006,84,98.4
World,OWID_WRL,2007,108,116.2
World,OWID_WRL,2008,101,114
World,OWID_WRL,2009,97,107.9
World,OWID_WRL,2010,119,128.5
World,OWID_WRL,2011,95,106.5
World,OWID_WRL,2012,124,139.3
World,OWID_WRL,2013,116,132.7
World,OWID_WRL,2014,114,128.6
World,OWID_WRL,2015,101,117.2
World,OWID_WRL,2016,114,123.2
World,OWID_WRL,2017,131,141.8
