Entity,Code,Year,Existence of nationally representative learning assessment in grades 2 or 3 of primary education (GEM Report (2017/18))
Afghanistan,AFG,2015,No
Albania,ALB,2015,Yes
Angola,AGO,2015,No
Anguilla,AIA,2015,Yes
Argentina,ARG,2015,Yes
Armenia,ARM,2015,No
Australia,AUS,2015,Yes
Austria,AUT,2015,No
Azerbaijan,AZE,2015,No
Bahamas,BHS,2015,Yes
Bahrain,BHR,2015,Yes
Bangladesh,BGD,2015,Yes
Barbados,BRB,2015,Yes
Belgium,BEL,2015,No
Belize,BLZ,2015,Yes
Benin,BEN,2015,Yes
Bhutan,BTN,2015,No
Bosnia and Herzegovina,BIH,2015,No
Botswana,BWA,2015,Yes
Brazil,BRA,2015,Yes
Brunei,BRN,2015,Yes
Bulgaria,BGR,2015,No
Burkina Faso,BFA,2015,Yes
Burundi,BDI,2015,Yes
Cambodia,KHM,2015,Yes
Cameroon,CMR,2015,Yes
Canada,CAN,2015,Yes
Cape Verde,CPV,2015,Yes
Chad,TCD,2015,Yes
Chile,CHL,2015,Yes
China,CHN,2015,Yes
Colombia,COL,2015,Yes
Comoros,COM,2015,Yes
Congo,COG,2015,Yes
Cook Islands,COK,2015,Yes
Costa Rica,CRI,2015,Yes
Cote d'Ivoire,CIV,2015,Yes
Croatia,HRV,2015,No
Cuba,CUB,2015,Yes
Cyprus,CYP,2015,Yes
Czech Republic,CZE,2015,No
Democratic Republic of Congo,COD,2015,No
Denmark,DNK,2015,Yes
Dominican Republic,DOM,2015,Yes
Ecuador,ECU,2015,Yes
Egypt,EGY,2015,Yes
El Salvador,SLV,2015,Yes
Eritrea,ERI,2015,No
Estonia,EST,2015,Yes
Ethiopia,ETH,2015,Yes
Fiji,FJI,2015,Yes
Finland,FIN,2015,Yes
France,FRA,2015,Yes
Gabon,GAB,2015,No
Gambia,GMB,2015,Yes
Georgia,GEO,2015,Yes
Germany,DEU,2015,Yes
Ghana,GHA,2015,Yes
Guatemala,GTM,2015,Yes
Guinea,GIN,2015,Yes
Guinea-Bissau,GNB,2015,Yes
Guyana,GUY,2015,Yes
Honduras,HND,2015,Yes
Hong Kong,HKG,2015,Yes
Hungary,HUN,2015,No
Iceland,ISL,2015,Yes
India,IND,2015,Yes
Indonesia,IDN,2015,Yes
Iran,IRN,2015,Yes
Ireland,IRL,2015,Yes
Israel,ISR,2015,Yes
Italy,ITA,2015,Yes
Jamaica,JAM,2015,Yes
Japan,JPN,2015,Yes
Jordan,JOR,2015,Yes
Kazakhstan,KAZ,2015,No
Kenya,KEN,2015,Yes
Kiribati,KIR,2015,Yes
Kuwait,KWT,2015,No
Kyrgyzstan,KGZ,2015,No
Laos,LAO,2015,Yes
Latvia,LVA,2015,Yes
Lebanon,LBN,2015,Yes
Lesotho,LSO,2015,Yes
Liberia,LBR,2015,Yes
Lithuania,LTU,2015,No
Luxembourg,LUX,2015,Yes
Macedonia,MKD,2015,No
Madagascar,MDG,2015,Yes
Malawi,MWI,2015,Yes
Malaysia,MYS,2015,No
Maldives,MDV,2015,Yes
Mali,MLI,2015,Yes
Malta,MLT,2015,Yes
Marshall Islands,MHL,2015,Yes
Mauritania,MRT,2015,No
Mauritius,MUS,2015,No
Mexico,MEX,2015,Yes
Micronesia (country),FSM,2015,Yes
Mongolia,MNG,2015,No
Montenegro,MNE,2015,Yes
Morocco,MAR,2015,Yes
Mozambique,MOZ,2015,No
Myanmar,MMR,2015,Yes
Namibia,NAM,2015,No
Nauru,NRU,2015,Yes
Nepal,NPL,2015,Yes
Netherlands,NLD,2015,Yes
New Zealand,NZL,2015,Yes
Nicaragua,NIC,2015,Yes
Niger,NER,2015,Yes
Nigeria,NGA,2015,Yes
Niue,NIU,2015,Yes
Norway,NOR,2015,Yes
Oman,OMN,2015,Yes
Pakistan,PAK,2015,No
Palau,PLW,2015,Yes
Palestine,PSE,2015,No
Panama,PAN,2015,Yes
Papua New Guinea,PNG,2015,Yes
Paraguay,PRY,2015,Yes
Peru,PER,2015,Yes
Philippines,PHL,2015,Yes
Poland,POL,2015,Yes
Portugal,PRT,2015,Yes
Qatar,QAT,2015,Yes
Romania,ROU,2015,No
Russia,RUS,2015,No
Rwanda,RWA,2015,Yes
Saint Kitts and Nevis,KNA,2015,Yes
Samoa,WSM,2015,Yes
Sao Tome and Principe,STP,2015,No
Saudi Arabia,SAU,2015,Yes
Senegal,SEN,2015,Yes
Serbia,SRB,2015,No
Seychelles,SYC,2015,No
Singapore,SGP,2015,Yes
Slovakia,SVK,2015,No
Slovenia,SVN,2015,Yes
Solomon Islands,SLB,2015,Yes
South Africa,ZAF,2015,Yes
South Korea,KOR,2015,Yes
South Sudan,SSD,2015,No
Spain,ESP,2015,Yes
Sri Lanka,LKA,2015,No
Sudan,SDN,2015,No
Swaziland,SWZ,2015,No
Sweden,SWE,2015,Yes
Syria,SYR,2015,No
Tajikistan,TJK,2015,No
Tanzania,TZA,2015,Yes
Thailand,THA,2015,Yes
Timor,TLS,2015,No
Togo,TGO,2015,Yes
Tokelau,TKL,2015,Yes
Tonga,TON,2015,Yes
Trinidad and Tobago,TTO,2015,Yes
Tunisia,TUN,2015,Yes
Turkey,TUR,2015,Yes
Tuvalu,TUV,2015,Yes
Uganda,UGA,2015,Yes
Ukraine,UKR,2015,No
United Arab Emirates,ARE,2015,Yes
United Kingdom,GBR,2015,Yes
United States,USA,2015,Yes
Uruguay,URY,2015,Yes
Uzbekistan,UZB,2015,No
Vanuatu,VUT,2015,Yes
Venezuela,VEN,2015,Yes
Vietnam,VNM,2015,Yes
Yemen,YEM,2015,Yes
Zambia,ZMB,2015,No
Zimbabwe,ZWE,2015,Yes
