Entity,Code,Year,
China,CHN,1981,297692.5666
China,CHN,1984,211470.136
China,CHN,1987,163362.1721
China,CHN,1990,191853.8644
China,CHN,1993,168107.9424
China,CHN,1996,110105.9686
China,CHN,1999,114938.9576
China,CHN,2002,90838.04202
China,CHN,2005,44664.01311
China,CHN,2008,35551.82118
China,CHN,2010,24676.87014
China,CHN,2011,16405.91313
China,CHN,2012,12832.93317
China,CHN,2013,3294.700605
World no China,,1981,259351.6257
World no China,,1984,261752.7377
World no China,,1987,257200.0344
World no China,,1990,250209.673
World no China,,1993,273501.1097
World no China,,1996,264754.7765
World no China,,1999,268562.4361
World no China,,2002,263695.0551
World no China,,2005,235483.6602
World no China,,2008,212457.2154
World no China,,2010,195618.5
World no China,,2011,177465.521
World no China,,2012,167681.1334
World no China,,2013,157555.5784
