Entity,Code,Year,Mean product lifetime (years) (years)
Building and Construction,,2015,35
Consumer & Institutional Products,,2015,3
Electrical/Electronic,,2015,8
Industrial Machinery,,2015,20
Other sector,,2015,5
Packaging,,2015,0.5
Textiles,,2015,5
Transportation,,2015,13
