Entity,Code,Year,Change in male height (cm) (centimeters)
Afghanistan,AFG,1996,4.0917654
Albania,ALB,1996,10.0637158
Algeria,DZA,1996,9.683722
American Samoa,ASM,1996,6.3294112
Andorra,AND,1996,12.67248
Angola,AGO,1996,5.1395795
Antigua and Barbuda,ATG,1996,10.9950508
Argentina,ARG,1996,12.2784569
Armenia,ARM,1996,10.1444336
Australia,AUS,1996,10.2573538
Austria,AUT,1996,9.3817916
Azerbaijan,AZE,1996,8.0795634
Bahamas,BHS,1996,11.0186311
Bahrain,BHR,1996,11.0318365
Bangladesh,BGD,1996,5.2254168
Barbados,BRB,1996,11.0649159
Belarus,BLR,1996,10.7062416
Belgium,BEL,1996,14.4983012
Belize,BLZ,1996,10.5999947
Benin,BEN,1996,4.5436044
Bermuda,BMU,1996,10.9392431
Bhutan,BTN,1996,4.0395085
Bolivia,BOL,1996,10.5285503
Bosnia and Herzegovina,BIH,1996,12.4454513
Botswana,BWA,1996,5.4413515
Brazil,BRA,1996,10.3376444
Brunei,BRN,1996,9.2203452
Bulgaria,BGR,1996,11.7822558
Burkina Faso,BFA,1996,5.8347812
Burundi,BDI,1996,5.0463075
Cambodia,KHM,1996,8.4527714
Cameroon,CMR,1996,4.3164383
Canada,CAN,1996,7.3665897
Cape Verde,CPV,1996,8.3647782
Central African Republic,CAF,1996,5.3099258
Chad,TCD,1996,5.5439129
Chile,CHL,1996,11.1171855
China,CHN,1996,10.8547559
Colombia,COL,1996,12.1940505
Comoros,COM,1996,6.4718285
Congo,COG,1996,5.563485
Cook Islands,COK,1996,5.3143289
Costa Rica,CRI,1996,11.2483982
Cote d'Ivoire,CIV,1996,3.8958108
Croatia,HRV,1996,12.6538758
Cuba,CUB,1996,12.1179662
Cyprus,CYP,1996,12.2600812
Czech Republic,CZE,1996,12.1038055
Democratic Republic of Congo,COD,1996,4.9595221
Denmark,DNK,1996,11.4194848
Djibouti,DJI,1996,5.0661152
Dominica,DMA,1996,11.8479522
Dominican Republic,DOM,1996,12.4843741
East Asia and Pacific,,1996,7.7994
Ecuador,ECU,1996,11.4479357
Egypt,EGY,1996,8.0483715
El Salvador,SLV,1996,11.2975004
Equatorial Guinea,GNQ,1996,5.2407655
Eritrea,ERI,1996,4.5620792
Estonia,EST,1996,10.7185428
Ethiopia,ETH,1996,4.953314
Europe and Central Asia,,1996,11.4932
Fiji,FJI,1996,5.2993532
Finland,FIN,1996,11.8464644
France,FRA,1996,13.3255902
French Polynesia,PYF,1996,7.37426
Gabon,GAB,1996,5.2516609
Gambia,GMB,1996,4.6892931
Georgia,GEO,1996,9.9327123
Germany,DEU,1996,12.7235495
Ghana,GHA,1996,6.4760533
Greece,GRC,1996,14.7988233
Greenland,GRL,1996,15.4017259
Grenada,GRD,1996,12.444657
Guatemala,GTM,1996,9.52529
Guinea,GIN,1996,4.1890875
Guinea-Bissau,GNB,1996,5.0513733
Guyana,GUY,1996,10.3016976
Haiti,HTI,1996,10.9448807
Honduras,HND,1996,8.0199867
Hong Kong,HKG,1996,13.8994224
Hungary,HUN,1996,10.9537564
Iceland,ISL,1996,9.9517955
India,IND,1996,2.9851723
Indonesia,IDN,1996,8.9059469
Iran,IRN,1996,16.5129475
Iraq,IRQ,1996,11.1731925
Ireland,IRL,1996,12.5605795
Israel,ISR,1996,13.4558239
Italy,ITA,1996,13.0566994
Jamaica,JAM,1996,11.4693101
Japan,JPN,1996,14.6506965
Jordan,JOR,1996,12.1424098
Kazakhstan,KAZ,1996,9.9113315
Kenya,KEN,1996,3.9200198
Kiribati,KIR,1996,2.3617005
Kuwait,KWT,1996,11.5622671
Kyrgyzstan,KGZ,1996,10.989261
Laos,LAO,1996,7.6343693
Latin America and Caribbean,,1996,10.9302
Latvia,LVA,1996,12.0418559
Lebanon,LBN,1996,13.6748312
Lesotho,LSO,1996,4.270037
Liberia,LBR,1996,4.9891749
Libya,LBY,1996,12.2638897
Lithuania,LTU,1996,10.0994542
Luxembourg,LUX,1996,10.5326271
Macedonia,MKD,1996,11.8213435
Madagascar,MDG,1996,2.8652616
Malawi,MWI,1996,3.0213635
Malaysia,MYS,1996,10.3137102
Maldives,MDV,1996,11.850151
Mali,MLI,1996,6.031015
Malta,MLT,1996,11.4309438
Marshall Islands,MHL,1996,0.5152902
Mauritania,MRT,1996,1.7633119
Mauritius,MUS,1996,9.866225
Mexico,MEX,1996,12.2625325
Micronesia (country),FSM,1996,3.8548336
Middle East and North Africa,,1996,10.9653
Moldova,MDA,1996,10.856921
Mongolia,MNG,1996,9.9695674
Montenegro,MNE,1996,11.8195311
Morocco,MAR,1996,11.1925017
Mozambique,MOZ,1996,5.6755522
Myanmar,MMR,1996,7.3603854
Namibia,NAM,1996,2.7681319
Nauru,NRU,1996,3.0244573
Nepal,NPL,1996,4.7664219
Netherlands,NLD,1996,13.1034583
New Zealand,NZL,1996,10.2520135
Nicaragua,NIC,1996,9.5210114
Niger,NER,1996,3.7801337
Nigeria,NGA,1996,4.8601054
Niue,NIU,1996,7.2329028
North America,,1996,8.1189
North Korea,PRK,1996,11.4171475
Norway,NOR,1996,8.5050213
Oman,OMN,1996,13.4031011
Pakistan,PAK,1996,1.2723268
Palau,PLW,1996,3.5491777
Palestine,PSE,1996,11.2292118
Panama,PAN,1996,11.5079001
Papua New Guinea,PNG,1996,4.2793746
Paraguay,PRY,1996,10.7918183
Peru,PER,1996,10.3049242
Philippines,PHL,1996,8.5007523
Poland,POL,1996,13.6628579
Portugal,PRT,1996,13.9741039
Puerto Rico,PRI,1996,11.5878976
Qatar,QAT,1996,11.2558919
Romania,ROU,1996,10.9214984
Russia,RUS,1996,9.4914057
Rwanda,RWA,1996,2.7333397
Saint Kitts and Nevis,KNA,1996,9.3214982
Saint Lucia,LCA,1996,9.9388357
Saint Vincent and the Grenadines,VCT,1996,11.0092698
Samoa,WSM,1996,5.2368058
Sao Tome and Principe,STP,1996,5.1935306
Saudi Arabia,SAU,1996,9.5390693
Senegal,SEN,1996,6.4688973
Serbia,SRB,1996,13.1239413
Seychelles,SYC,1996,8.7396433
Sierra Leone,SLE,1996,3.8478657
Singapore,SGP,1996,9.7075712
Slovakia,SVK,1996,11.1618196
Slovenia,SVN,1996,12.4246259
Solomon Islands,SLB,1996,3.2954262
Somalia,SOM,1996,5.1540265
South Africa,ZAF,1996,1.4179357
South Asia,,1996,5.3745
South Korea,KOR,1996,15.1678303
Spain,ESP,1996,14.3036078
Sri Lanka,LKA,1996,8.7655799
Sub-Saharan Africa,,1996,4.8802
Sudan,SDN,1996,5.1264328
Suriname,SUR,1996,11.0062056
Swaziland,SWZ,1996,4.9113844
Sweden,SWE,1996,7.8406902
Switzerland,CHE,1996,10.8923077
Syria,SYR,1996,11.191338
Taiwan,TWN,1996,13.2073055
Tajikistan,TJK,1996,9.8711251
Tanzania,TZA,1996,4.0137251
Thailand,THA,1996,10.7060255
Timor,TLS,1996,6.7594311
Togo,TGO,1996,5.5437756
Tokelau,TKL,1996,7.1100034
