Entity,Code,Year,CO₂ concentration (parts per million)
World,OWID_WRL,"803,719 BCE",207.29
World,OWID_WRL,"803,182 BCE",202.23
World,OWID_WRL,"802,573 BCE",204.86
World,OWID_WRL,"802,060 BCE",207.5
World,OWID_WRL,"801,975 BCE",202.92
World,OWID_WRL,"801,759 BCE",202.65
World,OWID_WRL,"800,922 BCE",198.66
World,OWID_WRL,"799,286 BCE",198.68
World,OWID_WRL,"796,731 BCE",200.49
World,OWID_WRL,"795,429 BCE",197.91
World,OWID_WRL,"794,903 BCE",198.79
World,OWID_WRL,"793,737 BCE",204.62
World,OWID_WRL,"793,172 BCE",208.79
World,OWID_WRL,"791,903 BCE",218.39
World,OWID_WRL,"791,569 BCE",213.36
World,OWID_WRL,"790,667 BCE",214.45
World,OWID_WRL,"790,081 BCE",224.69
World,OWID_WRL,"789,107 BCE",230.55
World,OWID_WRL,"788,689 BCE",227.38
World,OWID_WRL,"788,003 BCE",235.49
World,OWID_WRL,"787,544 BCE",238.64
World,OWID_WRL,"786,742 BCE",257.02
World,OWID_WRL,"786,529 BCE",257.2
World,OWID_WRL,"785,854 BCE",266
World,OWID_WRL,"785,406 BCE",269.36
World,OWID_WRL,"784,613 BCE",264.35
World,OWID_WRL,"784,240 BCE",262.23
World,OWID_WRL,"783,569 BCE",259.66
World,OWID_WRL,"783,084 BCE",255.85
World,OWID_WRL,"782,312 BCE",260.92
World,OWID_WRL,"781,249 BCE",255.02
World,OWID_WRL,"780,778 BCE",257.44
World,OWID_WRL,"779,937 BCE",251.51
World,OWID_WRL,"779,613 BCE",257.21
World,OWID_WRL,"778,769 BCE",252.52
World,OWID_WRL,"778,239 BCE",254.43
World,OWID_WRL,"777,418 BCE",254.69
World,OWID_WRL,"777,108 BCE",254.93
World,OWID_WRL,"776,283 BCE",252.46
World,OWID_WRL,"775,732 BCE",247.3
World,OWID_WRL,"774,833 BCE",248.92
World,OWID_WRL,"774,382 BCE",245.32
World,OWID_WRL,"773,588 BCE",241.74
World,OWID_WRL,"773,009 BCE",238.39
World,OWID_WRL,"772,094 BCE",239.23
World,OWID_WRL,"771,734 BCE",237.78
World,OWID_WRL,"771,300 BCE",246.03
World,OWID_WRL,"771,046 BCE",243.85
World,OWID_WRL,"770,788 BCE",246.49
World,OWID_WRL,"770,525 BCE",243.89
World,OWID_WRL,"770,225 BCE",239.71
World,OWID_WRL,"769,863 BCE",234.24
World,OWID_WRL,"769,569 BCE",236.32
World,OWID_WRL,"769,071 BCE",229.56
World,OWID_WRL,"768,649 BCE",230.63
World,OWID_WRL,"767,701 BCE",225.87
World,OWID_WRL,"767,111 BCE",221.64
World,OWID_WRL,"766,167 BCE",223.82
World,OWID_WRL,"765,797 BCE",224.86
World,OWID_WRL,"764,859 BCE",230.62
World,OWID_WRL,"764,239 BCE",232.12
World,OWID_WRL,"763,901 BCE",229.41
World,OWID_WRL,"763,637 BCE",233.66
World,OWID_WRL,"763,232 BCE",222.93
World,OWID_WRL,"762,727 BCE",223.89
World,OWID_WRL,"761,821 BCE",219.95
