Entity,Code,Year,Greenhouse gas emissions (reuses)
Biopolymer,,2018,0
Bleached paper,,2018,1
Composite,,2018,23
Conventional cotton,,2018,52
Organic cotton,,2018,149
"Polyester PET, recycled",,2018,2
"Polypropylene, non-woven, recycled",,2018,6
"Polypropylene, woven, recycled",,2018,5
Recycled PET,,2018,8
Unbleached paper,,2018,0
