Entity,Code,Year,Hijacking incidents (incidents),Fatal accidents from commercial airliners (passenger & cargo) (fatal accidents)
World,OWID_WRL,1942,0,
World,OWID_WRL,1943,0,
World,OWID_WRL,1944,0,
World,OWID_WRL,1945,0,
World,OWID_WRL,1946,0,60
World,OWID_WRL,1947,0,72
World,OWID_WRL,1948,7,80
World,OWID_WRL,1949,7,70
World,OWID_WRL,1950,4,55
World,OWID_WRL,1951,1,60
World,OWID_WRL,1952,4,51
World,OWID_WRL,1953,0,61
World,OWID_WRL,1954,2,46
World,OWID_WRL,1955,0,55
World,OWID_WRL,1956,2,44
World,OWID_WRL,1957,0,53
World,OWID_WRL,1958,8,61
World,OWID_WRL,1959,6,60
World,OWID_WRL,1960,8,61
World,OWID_WRL,1961,10,50
World,OWID_WRL,1962,1,57
World,OWID_WRL,1963,1,47
World,OWID_WRL,1964,0,43
World,OWID_WRL,1965,5,48
World,OWID_WRL,1966,4,48
World,OWID_WRL,1967,5,50
World,OWID_WRL,1968,29,53
World,OWID_WRL,1969,86,66
World,OWID_WRL,1970,77,60
World,OWID_WRL,1971,54,46
World,OWID_WRL,1972,59,64
World,OWID_WRL,1973,22,60
World,OWID_WRL,1974,20,58
World,OWID_WRL,1975,19,43
World,OWID_WRL,1976,16,51
World,OWID_WRL,1977,32,51
World,OWID_WRL,1978,26,41
World,OWID_WRL,1979,23,55
World,OWID_WRL,1980,37,33
World,OWID_WRL,1981,31,37
World,OWID_WRL,1982,31,31
World,OWID_WRL,1983,35,32
World,OWID_WRL,1984,27,30
World,OWID_WRL,1985,26,39
World,OWID_WRL,1986,16,37
World,OWID_WRL,1987,12,43
World,OWID_WRL,1988,15,54
World,OWID_WRL,1989,15,54
World,OWID_WRL,1990,38,43
World,OWID_WRL,1991,20,49
World,OWID_WRL,1992,11,48
World,OWID_WRL,1993,36,45
World,OWID_WRL,1994,27,49
World,OWID_WRL,1995,12,48
World,OWID_WRL,1996,17,49
World,OWID_WRL,1997,12,37
World,OWID_WRL,1998,14,47
World,OWID_WRL,1999,13,43
World,OWID_WRL,2000,27,37
World,OWID_WRL,2001,11,36
World,OWID_WRL,2002,10,33
World,OWID_WRL,2003,9,24
World,OWID_WRL,2004,4,32
World,OWID_WRL,2005,1,34
World,OWID_WRL,2006,3,24
World,OWID_WRL,2007,6,29
World,OWID_WRL,2008,3,26
World,OWID_WRL,2009,5,23
World,OWID_WRL,2010,1,27
World,OWID_WRL,2011,1,32
World,OWID_WRL,2012,3,18
World,OWID_WRL,2013,1,23
World,OWID_WRL,2014,3,18
World,OWID_WRL,2015,0,10
World,OWID_WRL,2016,2,16
World,OWID_WRL,2017,0,10
