Entity,Code,Year,Negative reciprocity (Falk et al. (2018) GPS)
Afghanistan,AFG,2012,0.25471246
Algeria,DZA,2012,0.25490081
Argentina,ARG,2012,-0.14045727
Australia,AUS,2012,0.022189751
Austria,AUT,2012,-0.055415452
Bangladesh,BGD,2012,0.11328817
Bolivia,BOL,2012,-0.003735218
Bosnia and Herzegovina,BIH,2012,0.42935491
Botswana,BWA,2012,-0.17272221
Brazil,BRA,2012,-0.20162958
Cambodia,KHM,2012,-0.062051568
Cameroon,CMR,2012,-0.3245351
Canada,CAN,2012,0.022899142
Chile,CHL,2012,-0.12846585
China,CHN,2012,0.025847053
Colombia,COL,2012,-0.30920869
Costa Rica,CRI,2012,-0.43378291
Croatia,HRV,2012,0.73890787
Czech Republic,CZE,2012,0.29033631
Egypt,EGY,2012,0.034835815
Estonia,EST,2012,-0.22173999
Finland,FIN,2012,-0.13623562
France,FRA,2012,0.52805352
Georgia,GEO,2012,-0.25436422
Germany,DEU,2012,-0.29426524
Ghana,GHA,2012,-0.074184068
Greece,GRC,2012,0.42932299
Guatemala,GTM,2012,-0.48931202
Haiti,HTI,2012,0.23038714
Hungary,HUN,2012,-0.16624628
India,IND,2012,0.071198434
Indonesia,IDN,2012,0.15127298
Iran,IRN,2012,0.11850627
Iraq,IRQ,2012,0.094439171
Israel,ISR,2012,0.19927368
Italy,ITA,2012,0.3112793
Japan,JPN,2012,0.22034328
Jordan,JOR,2012,-0.31515983
Kazakhstan,KAZ,2012,-0.20160872
Kenya,KEN,2012,-0.096054181
Lithuania,LTU,2012,0.054207131
Malawi,MWI,2012,-0.4046911
Mexico,MEX,2012,-0.11464946
Moldova,MDA,2012,0.49489963
Morocco,MAR,2012,-0.48759109
Netherlands,NLD,2012,0.41444093
Nicaragua,NIC,2012,-0.3882536
Nigeria,NGA,2012,0.17650473
Pakistan,PAK,2012,0.15996569
Peru,PER,2012,0.029011851
Philippines,PHL,2012,-0.15014693
Poland,POL,2012,0.29652911
Portugal,PRT,2012,-0.37548226
Romania,ROU,2012,-0.38201791
Russia,RUS,2012,-0.15547128
Rwanda,RWA,2012,-0.059325397
Saudi Arabia,SAU,2012,0.59955561
Serbia,SRB,2012,-0.043900661
South Africa,ZAF,2012,0.02678331
South Korea,KOR,2012,0.66479355
Spain,ESP,2012,0.17693989
Sri Lanka,LKA,2012,-0.1172701
Suriname,SUR,2012,0.015116077
Sweden,SWE,2012,-0.094520047
Switzerland,CHE,2012,-0.010735603
Tanzania,TZA,2012,0.04064846
Thailand,THA,2012,0.23695967
Turkey,TUR,2012,0.51675504
Uganda,UGA,2012,-0.17409113
Ukraine,UKR,2012,-0.19130994
United Arab Emirates,ARE,2012,0.2219048
United Kingdom,GBR,2012,0.024550388
United States,USA,2012,0.011553643
Venezuela,VEN,2012,-0.20394811
Vietnam,VNM,2012,-0.14012927
Zimbabwe,ZWE,2012,-0.12766157
