Entity,Code,Year,Travel overseas (%),Fly on aeroplanes (%),Go into skyscrapers (%),Attend events where there are thousands of people (%)
United States,USA,2001,48,43,35,30
United States,USA,2002,45,33,27,32
United States,USA,2006,47,30,22,23
United States,USA,2011,38,24,20,27
United States,USA,2017,46,32,26,38
