Entity,Code,Year,Disaster risk reduction progress score (1-5 scale; 5=best)
Algeria,DZA,2011,3.5
Antigua and Barbuda,ATG,2011,2.75
Argentina,ARG,2011,3.25
Armenia,ARM,2011,3
Australia,AUS,2011,4
Bangladesh,BGD,2011,4
Barbados,BRB,2011,4
Bolivia,BOL,2011,2.25
Botswana,BWA,2011,3
Brazil,BRA,2011,4.5
Brunei,BRN,2011,2.75
Bulgaria,BGR,2011,3.5
Burundi,BDI,2011,3.25
Canada,CAN,2011,4.25
Cape Verde,CPV,2011,3.5
Cayman Islands,CYM,2011,3
Chile,CHL,2011,2.75
Colombia,COL,2011,3.75
Comoros,COM,2011,1.75
Costa Rica,CRI,2011,4.5
Cote d'Ivoire,CIV,2011,2.5
Cuba,CUB,2011,4.5
Czech Republic,CZE,2011,2.75
Dominican Republic,DOM,2011,3
Ecuador,ECU,2011,4.75
El Salvador,SLV,2011,3.25
Fiji,FJI,2011,2.75
Finland,FIN,2011,3.5
Georgia,GEO,2011,2.75
Germany,DEU,2011,4.25
Ghana,GHA,2011,3.25
Guatemala,GTM,2011,3.25
Guinea-Bissau,GNB,2011,1
Honduras,HND,2011,3.75
India,IND,2011,3.25
Indonesia,IDN,2011,3.25
Italy,ITA,2011,3.5
Jamaica,JAM,2011,3.75
Japan,JPN,2011,4.5
Kenya,KEN,2011,4
Laos,LAO,2011,2.25
Lebanon,LBN,2011,3
Lesotho,LSO,2011,2.5
Macedonia,MKD,2011,3.25
Madagascar,MDG,2011,3.75
Malawi,MWI,2011,1.75
Malaysia,MYS,2011,3.75
Maldives,MDV,2011,2.25
Marshall Islands,MHL,2011,1.75
Mauritius,MUS,2011,3.5
Mexico,MEX,2011,4.25
Mongolia,MNG,2011,2.75
Morocco,MAR,2011,3
Mozambique,MOZ,2011,4
Nepal,NPL,2011,2.75
New Zealand,NZL,2011,3.75
Nicaragua,NIC,2011,3.75
Nigeria,NGA,2011,4
Norway,NOR,2011,3.75
Pakistan,PAK,2011,3.5
Panama,PAN,2011,3
Paraguay,PRY,2011,3.75
Peru,PER,2011,3
Poland,POL,2011,3.25
Romania,ROU,2011,3.25
Saint Kitts and Nevis,KNA,2011,3.5
Saint Lucia,LCA,2011,3.25
Samoa,WSM,2011,3.5
Senegal,SEN,2011,2.75
Sierra Leone,SLE,2011,3
Solomon Islands,SLB,2011,2
Sri Lanka,LKA,2011,3.5
Sweden,SWE,2011,3.75
Switzerland,CHE,2011,4.75
Syrian Arab Republic,,2011,3.5
Tanzania,TZA,2011,3.5
Thailand,THA,2011,3.75
Turks and Caicos Islands,TCA,2011,2.25
United States,USA,2011,3.5
Vanuatu,VUT,2011,2
Venezuela,VEN,2011,2.75
Yemen,YEM,2011,2.25
Zambia,ZMB,2011,3.75
