Entity,Code,Year,Food away from home (constant 1988 US$),Food at home (constant 1988 US$)
United States,USA,1953,522,1129
United States,USA,1954,522,996
United States,USA,1955,533,1116
United States,USA,1956,537,1125
United States,USA,1957,541,1136
United States,USA,1958,536,1070
United States,USA,1959,522,1130
United States,USA,1960,522,1137
United States,USA,1961,522,1132
United States,USA,1962,522,1113
United States,USA,1963,530,1105
United States,USA,1964,534,1077
United States,USA,1965,551,1095
United States,USA,1966,580,1108
United States,USA,1967,602,1084
United States,USA,1968,599,1082
United States,USA,1969,621,1090
United States,USA,1970,626,1102
United States,USA,1971,630,1130
United States,USA,1972,631,1143
United States,USA,1973,661,1168
United States,USA,1974,686,1099
United States,USA,1975,665,1074
United States,USA,1976,706,1069
United States,USA,1977,739,1104
United States,USA,1978,751,1108
United States,USA,1979,766,1091
United States,USA,1980,780,1082
United States,USA,1981,773,1092
United States,USA,1982,764,1075
United States,USA,1983,767,1072
United States,USA,1984,786,1105
United States,USA,1985,798,1113
United States,USA,1986,798,1128
United States,USA,1987,819,1126
United States,USA,1988,845,1143
United States,USA,1989,877,1153
United States,USA,1990,885,1140
United States,USA,1991,897,1147
United States,USA,1992,898,1154
United States,USA,1993,894,1145
United States,USA,1994,919,1132
United States,USA,1995,934,1130
United States,USA,1996,956,1104
United States,USA,1997,937,1097
United States,USA,1998,966,1098
United States,USA,1999,979,1092
United States,USA,2000,983,1106
United States,USA,2001,999,1091
United States,USA,2002,991,1096
United States,USA,2003,977,1123
United States,USA,2004,1028,1125
United States,USA,2005,1033,1115
United States,USA,2006,1081,1138
United States,USA,2007,1108,1144
United States,USA,2008,1115,1143
United States,USA,2009,1088,1114
United States,USA,2010,1034,1096
United States,USA,2011,1042,1113
United States,USA,2012,1073,1108
United States,USA,2013,1092,1111
United States,USA,2014,1125,1126
