Entity,Code,Year,Number of people without access to safe drinking water (people)
Albania,ALB,2000,1739237.086
Albania,ALB,2001,1650931.034
Albania,ALB,2002,1584179.616
Albania,ALB,2003,1517833.992
Albania,ALB,2004,1454217.17
Albania,ALB,2005,1392817.119
Albania,ALB,2006,1334227.622
Albania,ALB,2007,1278119.829
Albania,ALB,2008,1225173.21
Albania,ALB,2009,1174079.615
Albania,ALB,2010,1123608.84
Albania,ALB,2011,1073325.768
Albania,ALB,2012,1019982.094
Albania,ALB,2013,961206.4078
Albania,ALB,2014,899287.4331
Albania,ALB,2015,885760.7687
Argentina,ARG,2000,854268.1791
Argentina,ARG,2001,845496.7821
Argentina,ARG,2002,836833.7494
Argentina,ARG,2003,828350.9818
Argentina,ARG,2004,820073.8568
Argentina,ARG,2005,784186.664
Argentina,ARG,2006,747954.6436
Argentina,ARG,2007,711394.8923
Argentina,ARG,2008,699343.0386
Argentina,ARG,2009,691509.7359
Argentina,ARG,2010,684044.9755
Argentina,ARG,2011,676969.5228
Argentina,ARG,2012,670254.3105
Argentina,ARG,2013,678245.8828
Argentina,ARG,2014,632407.7148
Argentina,ARG,2015,640358.7104
Armenia,ARM,2000,2248228.37
Armenia,ARM,2001,2232163.987
Armenia,ARM,2002,2087638.594
Armenia,ARM,2003,1943654.608
Armenia,ARM,2004,1798850.959
Armenia,ARM,2005,1658024.52
Armenia,ARM,2006,1556017.451
Armenia,ARM,2007,1452997.124
Armenia,ARM,2008,1351385.187
Armenia,ARM,2009,1254424.252
Armenia,ARM,2010,1163659.061
Armenia,ARM,2011,1079952.166
Armenia,ARM,2012,1082276.044
Armenia,ARM,2013,1087552.5
Armenia,ARM,2014,1083962.456
Armenia,ARM,2015,1088776.428
Austria,AUT,2000,135373.8415
Austria,AUT,2001,134084.6442
Austria,AUT,2002,134033.2392
Austria,AUT,2003,128894.6066
Austria,AUT,2004,134403.808
Austria,AUT,2005,148054.7615
Austria,AUT,2006,150262.9605
Austria,AUT,2007,141015.6809
Austria,AUT,2008,132607.9841
Austria,AUT,2009,120257.0981
Austria,AUT,2010,105410.5476
Austria,AUT,2011,97752.49981
Austria,AUT,2012,99827.37139
Austria,AUT,2013,113776.4848
Austria,AUT,2014,145900.5705
Austria,AUT,2015,210054.3961
Azerbaijan,AZE,2000,3874278.909
Azerbaijan,AZE,2001,3866021.564
Azerbaijan,AZE,2002,3851853.101
Azerbaijan,AZE,2003,3835478.639
Azerbaijan,AZE,2004,3678435.868
Azerbaijan,AZE,2005,3527125.596
Azerbaijan,AZE,2006,3376141.28
Azerbaijan,AZE,2007,3221504.442
Azerbaijan,AZE,2008,3143289.012
Azerbaijan,AZE,2009,3056051.135
Azerbaijan,AZE,2010,2879841.542
Azerbaijan,AZE,2011,2733597.491
Azerbaijan,AZE,2012,2722653.774
Azerbaijan,AZE,2013,2707160.845
Azerbaijan,AZE,2014,2690157.347
Azerbaijan,AZE,2015,2673579.708
Bahrain,BHR,2000,6833.361305
Bahrain,BHR,2001,12042.63922
Bahrain,BHR,2002,19508.96444
Bahrain,BHR,2003,27251.84739
Bahrain,BHR,2004,32531.76557
Bahrain,BHR,2005,33520.02093
Bahrain,BHR,2006,29845.65173
Bahrain,BHR,2007,22576.05535
Bahrain,BHR,2008,13106.54794
Bahrain,BHR,2009,3466.87839
Bahrain,BHR,2015,11971.1862
Bangladesh,BGD,2000,58257918.58
Bangladesh,BGD,2001,59346964.55
Bangladesh,BGD,2002,60459471.49
Bangladesh,BGD,2003,61546715.64
Bangladesh,BGD,2004,62580670.31
Bangladesh,BGD,2005,63542562.45
Bangladesh,BGD,2006,64422399.2
Bangladesh,BGD,2007,65229402.06
Bangladesh,BGD,2008,65989991.95
Bangladesh,BGD,2009,66742254.93
Bangladesh,BGD,2010,67514417.15
Bangladesh,BGD,2011,68317876.81
Bangladesh,BGD,2012,69143155.1
Bangladesh,BGD,2013,69974385.71
Bangladesh,BGD,2014,70788538.29
Bangladesh,BGD,2015,71569385.04
Belarus,BLR,2000,2102880.151
Belarus,BLR,2001,2099471.266
Belarus,BLR,2002,2088253.619
Belarus,BLR,2003,2072234.763
Belarus,BLR,2004,1916379.923
Belarus,BLR,2005,1756210.034
Belarus,BLR,2006,1597470.228
Belarus,BLR,2007,1448055.448
Belarus,BLR,2008,1303289.77
Belarus,BLR,2009,1163629.96
Belarus,BLR,2010,1022477.147
Belarus,BLR,2011,872491.6634
Belarus,BLR,2012,724190.6179
Belarus,BLR,2013,599207.9208
Belarus,BLR,2014,505032.7564
Belarus,BLR,2015,522833.9112
Belgium,BEL,2000,31831.10808
Belgium,BEL,2001,24404.9046
Belgium,BEL,2002,17591.96082
Belgium,BEL,2007,8292.778333
Belgium,BEL,2008,31423.44667
Belgium,BEL,2009,56076.074
Belgium,BEL,2010,93124.41
Belgium,BEL,2011,183802.0792
Belgium,BEL,2012,203838.294
Belgium,BEL,2013,198850.6837
Belgium,BEL,2014,166098.2593
Belgium,BEL,2015,159557.4693
Bhutan,BTN,2000,420020.1987
Bhutan,BTN,2001,428294.284
Bhutan,BTN,2002,436714.3288
Bhutan,BTN,2003,445067.8422
Bhutan,BTN,2004,453136.5956
Bhutan,BTN,2005,460851.5274
Bhutan,BTN,2006,468557.428
Bhutan,BTN,2007,475661.9883
Bhutan,BTN,2008,482251.3555
Bhutan,BTN,2009,488488.1251
Bhutan,BTN,2010,494458.187
Bhutan,BTN,2011,500178.5215
Bhutan,BTN,2012,505622.8642
Bhutan,BTN,2013,510754.5743
Bhutan,BTN,2014,516151.1204
