Entity,Code,Year,"Gross enrolment ratio, tertiary, gender parity index (GPI) (GPI)"
Afghanistan,AFG,1970,0.165649995207787
Afghanistan,AFG,1972,0.153699994087219
Afghanistan,AFG,1973,0.185780003666878
Afghanistan,AFG,1974,0.162740007042885
Afghanistan,AFG,1975,0.165329992771149
Afghanistan,AFG,1976,0.165380001068115
Afghanistan,AFG,1977,0.265439987182617
Afghanistan,AFG,1978,0.236949995160103
Afghanistan,AFG,1979,0.18656000494957
Afghanistan,AFG,1986,0.173759996891022
Afghanistan,AFG,1990,0.477519989013672
Afghanistan,AFG,2003,0.281780004501343
Afghanistan,AFG,2004,0.280339986085892
Afghanistan,AFG,2009,0.235640004277229
Afghanistan,AFG,2011,0.344819992780685
Afghanistan,AFG,2014,0.276470005512238
Albania,ALB,1971,0.511089980602264
Albania,ALB,1972,0.504710018634796
Albania,ALB,1978,0.831830024719238
Albania,ALB,1981,1.02816998958588
Albania,ALB,1983,0.955129981040955
Albania,ALB,1984,0.906840026378632
Albania,ALB,1985,0.857500016689301
Albania,ALB,1986,0.873920023441315
Albania,ALB,1987,0.95253998041153
Albania,ALB,1988,1.03068995475769
Albania,ALB,1989,1.07041001319885
Albania,ALB,1990,1.11318004131317
Albania,ALB,1991,1.11046004295349
Albania,ALB,1992,1.10959005355835
Albania,ALB,1993,1.02790999412537
Albania,ALB,1994,1.1144700050354
Albania,ALB,1995,1.07603001594543
Albania,ALB,1996,1.1292599439621
Albania,ALB,1997,1.2635999917984
Albania,ALB,1998,1.27095997333527
Albania,ALB,1999,1.43777000904083
Albania,ALB,2000,1.42604005336761
Albania,ALB,2001,1.49347996711731
Albania,ALB,2002,1.54033005237579
Albania,ALB,2003,1.56445002555847
Albania,ALB,2004,1.53630995750427
Albania,ALB,2005,1.4334499835968
Albania,ALB,2006,1.32507002353668
Albania,ALB,2007,1.37293004989624
Albania,ALB,2008,1.33262002468109
Albania,ALB,2009,1.39928996562958
Albania,ALB,2010,1.39706003665924
Albania,ALB,2011,1.40907001495361
Albania,ALB,2012,1.39500999450684
Albania,ALB,2013,1.39188003540039
Albania,ALB,2014,1.40812003612518
Algeria,DZA,2004,1.07806003093719
Algeria,DZA,2005,1.27842998504639
Algeria,DZA,2006,1.25690996646881
Algeria,DZA,2007,1.39309000968933
Algeria,DZA,2009,1.43093001842499
Algeria,DZA,2010,1.44225001335144
Algeria,DZA,2011,1.44957995414734
Algeria,DZA,2012,1.4782600402832
Algeria,DZA,2013,1.50365996360779
Algeria,DZA,2014,1.52661001682281
Angola,AGO,1990,0.194309994578362
Angola,AGO,1998,0.689130008220673
Angola,AGO,1999,0.632300019264221
Angola,AGO,2002,0.65447998046875
Angola,AGO,2011,0.370319992303848
Angola,AGO,2013,0.801249980926514
Antigua and Barbuda,ATG,2009,2.15415000915527
Antigua and Barbuda,ATG,2010,2.50313997268677
Antigua and Barbuda,ATG,2011,1.91682994365692
Antigua and Barbuda,ATG,2012,2.06660008430481
Arab World,,1970,0.563950002193451
Arab World,,1971,0.558709979057312
Arab World,,1972,0.554660022258759
Arab World,,1973,0.553610026836395
Arab World,,1974,0.555899977684021
Arab World,,1975,0.557770013809204
Arab World,,1976,0.565900027751923
Arab World,,1977,0.542400002479553
Arab World,,1978,0.539120018482208
Arab World,,1979,0.557969987392426
Arab World,,1980,0.565460026264191
