Entity,Code,Year,Male-Male married couples,Female-Female married couples
United States,USA,2005,214477,177837
United States,USA,2006,217617,168135
United States,USA,2007,190004,150844
United States,USA,2008,62185,80301
United States,USA,2009,66274,85847
United States,USA,2010,68513,83822
United States,USA,2011,69522,98570
United States,USA,2012,80727,101195
United States,USA,2013,117535,134160
United States,USA,2014,163239,171590
United States,USA,2015,201779,223578
United States,USA,2016,235167,251827
United States,USA,2017,262323,293169
United States,USA,2018,284982,307579
