Entity,Code,Year,"Out-of-school children of primary school age, female (number) ( )"
Afghanistan,AFG,1974,878047
Afghanistan,AFG,1993,1034842
Albania,ALB,1999,5480
Albania,ALB,2000,6330
Albania,ALB,2001,7518
Albania,ALB,2003,10409
Albania,ALB,2004,10108
Albania,ALB,2008,9747
Albania,ALB,2009,13205
Albania,ALB,2010,10487
Albania,ALB,2011,7775
Albania,ALB,2012,4395
Albania,ALB,2013,4196
Algeria,DZA,1973,589807
Algeria,DZA,1974,559643
Algeria,DZA,1975,538301
Algeria,DZA,1976,517774
Algeria,DZA,1977,498428
Algeria,DZA,1978,487011
Algeria,DZA,1979,490898
Algeria,DZA,1980,485119
Algeria,DZA,1981,491048
Algeria,DZA,1982,507138
Algeria,DZA,1983,526871
Algeria,DZA,1984,522045
Algeria,DZA,1985,523184
Algeria,DZA,1986,506303
Algeria,DZA,1987,487538
Algeria,DZA,1988,472496
Algeria,DZA,1989,455074
Algeria,DZA,1990,448068
Algeria,DZA,1991,411661
Algeria,DZA,1992,384899
Algeria,DZA,1993,388898
Algeria,DZA,1994,381226
Algeria,DZA,1995,370065
Algeria,DZA,1996,369571
Algeria,DZA,1997,372087
Algeria,DZA,1999,278997
Algeria,DZA,2000,250964
Algeria,DZA,2001,198374
Algeria,DZA,2002,161366
Algeria,DZA,2003,142680
Algeria,DZA,2004,121260
Algeria,DZA,2005,110495
Algeria,DZA,2006,102663
Algeria,DZA,2007,92175
Algeria,DZA,2008,63036
Angola,AGO,1982,281842
Angola,AGO,1983,315254
Angola,AGO,1998,467049
Angola,AGO,2008,431230
Angola,AGO,2009,463178
Angola,AGO,2010,483922
Angola,AGO,2011,525174
Antigua and Barbuda,ATG,2007,472
Antigua and Barbuda,ATG,2008,392
Antigua and Barbuda,ATG,2009,494
Antigua and Barbuda,ATG,2010,754
Antigua and Barbuda,ATG,2011,773
Antigua and Barbuda,ATG,2012,786
Antigua and Barbuda,ATG,2014,800
Arab World,,1970,6099133
Arab World,,1971,6258468
Arab World,,1972,6260728
Arab World,,1973,6275221
Arab World,,1974,6355266
Arab World,,1975,6268758
Arab World,,1976,6192059
Arab World,,1977,6192170
Arab World,,1978,6218396
Arab World,,1979,6037277
Arab World,,1980,5934692
Arab World,,1981,5950425
Arab World,,1982,5953351
Arab World,,1983,5943431
Arab World,,1984,5879204
Arab World,,1985,5917946
Arab World,,1986,5882752
Arab World,,1987,5820334
Arab World,,1988,5818244
Arab World,,1989,5973560
Arab World,,1990,5794467
Arab World,,1991,5867619
Arab World,,1992,6643716
Arab World,,1993,6657386
Arab World,,1994,6210699
Arab World,,1995,6555482
Arab World,,1996,6050840
Arab World,,1997,6012905
Arab World,,1998,5829307
