Entity,Code,Year,Approach (fatalities),Landing (fatalities),Initial climb (fatalities),Take off (fatalities),En route (fatalities)
World,OWID_WRL,1942,24,3,51,46,196
World,OWID_WRL,1943,73,5,34,1,189
World,OWID_WRL,1944,46,10,27,23,194
World,OWID_WRL,1945,66,7,2,32,184
World,OWID_WRL,1946,351,10,143,1,280
World,OWID_WRL,1947,183,39,20,84,706
World,OWID_WRL,1948,191,73,89,28,877
World,OWID_WRL,1949,389,14,98,70,420
World,OWID_WRL,1950,272,31,98,5,685
World,OWID_WRL,1951,243,27,84,14,528
World,OWID_WRL,1952,162,9,159,21,409
World,OWID_WRL,1953,180,10,76,30,648
World,OWID_WRL,1954,199,64,46,53,324
World,OWID_WRL,1955,157,13,37,21,388
World,OWID_WRL,1956,103,19,99,2,613
World,OWID_WRL,1957,309,19,80,6,491
World,OWID_WRL,1958,304,2,35,33,832
World,OWID_WRL,1959,404,2,94,3,522
World,OWID_WRL,1960,604,38,166,33,606
World,OWID_WRL,1961,416,20,246,6,642
World,OWID_WRL,1962,502,15,262,185,758
World,OWID_WRL,1963,318,0,12,14,864
World,OWID_WRL,1964,306,23,70,57,552
World,OWID_WRL,1965,532,17,70,10,512
World,OWID_WRL,1966,561,1,102,33,737
World,OWID_WRL,1967,486,9,234,18,538
World,OWID_WRL,1968,498,26,181,4,639
World,OWID_WRL,1969,640,132,104,10,778
World,OWID_WRL,1970,311,135,289,73,649
World,OWID_WRL,1971,637,78,80,17,621
World,OWID_WRL,1972,1065,0,508,57,738
World,OWID_WRL,1973,889,183,126,55,741
World,OWID_WRL,1974,896,0,44,136,889
World,OWID_WRL,1975,658,29,75,16,403
World,OWID_WRL,1976,628,47,134,37,753
World,OWID_WRL,1977,439,199,170,291,203
World,OWID_WRL,1978,543,43,181,15,474
World,OWID_WRL,1979,311,97,70,309,963
World,OWID_WRL,1980,601,17,16,8,613
World,OWID_WRL,1981,189,32,39,3,622
World,OWID_WRL,1982,412,80,313,67,284
World,OWID_WRL,1983,538,30,65,63,91
World,OWID_WRL,1984,153,180,25,4,293
World,OWID_WRL,1985,359,0,498,55,1090
World,OWID_WRL,1986,453,75,4,9,264
World,OWID_WRL,1987,402,21,5,203,470
World,OWID_WRL,1988,726,19,100,58,233
World,OWID_WRL,1989,787,132,193,71,336
World,OWID_WRL,1990,418,2,72,10,130
World,OWID_WRL,1991,552,97,17,37,441
World,OWID_WRL,1992,863,58,77,176,358
World,OWID_WRL,1993,337,65,114,196,408
World,OWID_WRL,1994,682,102,15,32,599
World,OWID_WRL,1995,578,62,58,58,303
World,OWID_WRL,1996,554,92,123,8,1060
World,OWID_WRL,1997,756,39,45,5,308
World,OWID_WRL,1998,533,4,20,88,541
World,OWID_WRL,1999,127,41,6,77,227
World,OWID_WRL,2000,434,10,26,89,585
World,OWID_WRL,2001,234,1,31,131,480
World,OWID_WRL,2002,483,6,0,17,489
World,OWID_WRL,2003,367,0,106,169,45
World,OWID_WRL,2004,109,65,56,13,215
World,OWID_WRL,2005,115,114,143,8,687
World,OWID_WRL,2006,136,160,152,49,407
World,OWID_WRL,2007,107,318,45,2,302
World,OWID_WRL,2008,208,64,4,162,153
World,OWID_WRL,2009,231,20,37,10,464
World,OWID_WRL,2010,423,212,132,0,176
World,OWID_WRL,2011,205,115,68,1,133
World,OWID_WRL,2012,357,6,57,4,51
World,OWID_WRL,2013,155,18,1,33,25
World,OWID_WRL,2014,75,3,46,0,568
World,OWID_WRL,2015,4,0,91,0,91
World,OWID_WRL,2016,65,0,5,17,171
World,OWID_WRL,2017,16,3,13,0,25
World,OWID_WRL,2018,2,52,112,112,373
