Entity,Code,Year,Marine,Freshwater,Terrestrial,Global (total)
World,OWID_WRL,1970,100,100,100,100
World,OWID_WRL,1971,97.7997165,96.5710195,100.2410653,98.1921332
World,OWID_WRL,1972,94.1936094,95.3383333,98.7170264,96.0639307
World,OWID_WRL,1973,95.3761898,95.7582477,96.7588221,95.9626526
World,OWID_WRL,1974,96.8222516,92.4067673,96.4406575,95.2020659
World,OWID_WRL,1975,96.9801284,89.6408903,95.7534975,94.06928740000001
World,OWID_WRL,1976,95.9910821,85.98671610000001,93.9632812,91.8770005
World,OWID_WRL,1977,95.0706559,83.5906533,90.03357360000001,89.4409148
World,OWID_WRL,1978,92.76564929999999,82.3021741,86.4208686,87.057403
World,OWID_WRL,1979,92.18488099999999,80.8697296,86.00876819999999,86.2308776
World,OWID_WRL,1980,90.08516370000001,78.61172140000001,87.7046288,85.3206911
World,OWID_WRL,1981,87.0619777,76.4067074,87.4596084,83.48129560000001
World,OWID_WRL,1982,84.1884959,73.0369284,86.2824858,80.9541841
World,OWID_WRL,1983,83.5256512,70.4757965,84.54742859999999,79.24771630000001
World,OWID_WRL,1984,79.2942684,64.4131834,82.8498403,75.07628
World,OWID_WRL,1985,74.205644,63.041229,83.5555737,73.11598670000001
World,OWID_WRL,1986,72.2081968,60.0931746,83.41358629999999,71.26607059999999
World,OWID_WRL,1987,68.9803897,54.5182603,83.6929456,68.022433
World,OWID_WRL,1988,64.2539756,46.3994959,83.53967730000001,62.9170985
World,OWID_WRL,1989,65.6555865,45.4507632,82.3660183,62.64027359999999
World,OWID_WRL,1990,66.1841991,43.9364235,81.5638942,61.9002388
World,OWID_WRL,1991,66.3293731,40.9587526,80.2931174,60.1972952
World,OWID_WRL,1992,65.4975295,40.288409800000004,78.77942230000001,59.2387582
World,OWID_WRL,1993,64.6921405,38.5606153,78.1355037,57.980412
World,OWID_WRL,1994,62.7514502,36.0038348,77.00500609999999,55.825226699999995
World,OWID_WRL,1995,61.8920667,36.011527799999996,75.6470254,55.2445528
World,OWID_WRL,1996,62.6290106,33.8986881,74.2990601,54.0315286
World,OWID_WRL,1997,62.7495655,31.8026669,75.7340696,53.2666256
World,OWID_WRL,1998,62.951390100000005,29.6377721,75.6177792,52.0584939
World,OWID_WRL,1999,63.0540922,27.767881300000003,71.3939494,50.0002846
World,OWID_WRL,2000,62.779486299999995,25.964066400000004,69.158719,48.3072672
World,OWID_WRL,2001,62.769038099999996,24.124852,70.4754712,47.4332308
World,OWID_WRL,2002,62.3086729,22.2301815,68.28173579999999,45.5615707
World,OWID_WRL,2003,62.3365807,21.7843048,68.1685911,45.2366394
World,OWID_WRL,2004,63.260858799999994,21.794534600000002,68.43086980000001,45.5244717
World,OWID_WRL,2005,63.4819014,19.9444443,69.44423549999999,44.4668149
World,OWID_WRL,2006,63.97838219999999,19.8924875,71.2824029,44.933290799999995
World,OWID_WRL,2007,65.33578949999999,18.1735777,69.7431581,43.5877443
World,OWID_WRL,2008,63.8637684,19.9714712,65.5554374,43.727814599999995
World,OWID_WRL,2009,62.6543787,25.598859,66.3291849,47.3833286
World,OWID_WRL,2010,64.19474389999999,22.980030300000003,64.69228,45.6983839
World,OWID_WRL,2011,64.0107014,20.2533256,63.5634096,43.5163077
World,OWID_WRL,2012,64.433459,18.5490449,62.1173717,42.0289645
