Entity,Code,Year,Coal (terawatt-hours)
Africa,,1966,-4.2193883067000115
Africa,,1967,9.639457929700086
Africa,,1968,14.39338604089994
Africa,,1969,2.1003541585000107
Africa,,1970,10.463811170300005
Africa,,1971,20.759285998999985
Africa,,1972,3.714254492000009
Africa,,1973,22.469520181099995
Africa,,1974,17.230766096000025
Africa,,1975,26.935460766200038
Africa,,1976,22.86959578639994
Africa,,1977,10.974952345199995
Africa,,1978,-14.987645546499948
Africa,,1979,26.62334680509997
Africa,,1980,39.332403093299945
Africa,,1981,92.31001060230005
Africa,,1982,66.37092577940007
Africa,,1983,7.473881451899956
Africa,,1984,52.57110784060001
Africa,,1985,24.560000934799973
Africa,,1986,18.190207020099933
Africa,,1987,22.963635850100104
Africa,,1988,61.84107252930005
Africa,,1989,-54.53994286480008
Africa,,1990,42.18899963000001
Africa,,1991,-24.615292978599882
Africa,,1992,5.1061796445999335
Africa,,1993,13.31445814790004
Africa,,1994,22.553524368899843
Africa,,1995,27.634109407300002
Africa,,1996,12.748998360199948
Africa,,1997,23.769560657900115
Africa,,1998,-22.014120433200105
Africa,,1999,29.1733413029001
Africa,,2000,-2.20670492609986
Africa,,2001,12.313747005799769
Africa,,2002,-41.486734640399845
Africa,,2003,82.61171464179984
Africa,,2004,101.57735702909997
Africa,,2005,-80.25875141719985
Africa,,2006,14.73476119830002
Africa,,2007,17.41770357589985
Africa,,2008,109.30019712269996
Africa,,2009,-5.056365795999682
Africa,,2010,-10.284462498000266
Africa,,2011,-19.50968273879994
Africa,,2012,-28.54745296559986
Africa,,2013,14.551990282199768
Africa,,2014,53.8851189712002
Africa,,2015,-48.4977619796
Africa,,2016,16.590288388899808
Africa,,2017,-17.22425469159998
Africa,,2018,44.30708558430024
Algeria,DZA,1966,-0.02326000000000006
Algeria,DZA,1967,-0.18608000000000002
Algeria,DZA,1968,0.03488999999999998
Algeria,DZA,1969,0.1744500000000001
Algeria,DZA,1970,0.15118999999999994
Algeria,DZA,1971,-0.6978000000000001
Algeria,DZA,1972,-0.03488999999999998
Algeria,DZA,1973,0.03488999999999998
Algeria,DZA,1974,-0.046520000000000006
Algeria,DZA,1975,0.058150000000000035
Algeria,DZA,1976,0.26749
