Entity,Code,Year,Labour productivity per hour (2013=100)
United Kingdom,GBR,1760,3.876608992
United Kingdom,GBR,1761,3.955296872
United Kingdom,GBR,1762,3.846188926
United Kingdom,GBR,1763,3.834283904
United Kingdom,GBR,1764,3.801639474
United Kingdom,GBR,1765,3.726853298
United Kingdom,GBR,1766,3.71185805
United Kingdom,GBR,1767,3.692087275
United Kingdom,GBR,1768,3.681439107
United Kingdom,GBR,1769,3.792823272
United Kingdom,GBR,1770,3.659810318
United Kingdom,GBR,1771,3.674117186
United Kingdom,GBR,1772,3.566062982
United Kingdom,GBR,1773,3.586348513
United Kingdom,GBR,1774,3.48265799
United Kingdom,GBR,1775,3.530397292
United Kingdom,GBR,1776,3.581436043
United Kingdom,GBR,1777,3.62903412
United Kingdom,GBR,1778,3.59081265
United Kingdom,GBR,1779,3.562399665
United Kingdom,GBR,1780,3.666953138
United Kingdom,GBR,1781,3.712153706
United Kingdom,GBR,1782,3.656436876
United Kingdom,GBR,1783,3.581783309
United Kingdom,GBR,1784,3.573058442
United Kingdom,GBR,1785,3.507053867
United Kingdom,GBR,1786,3.504261622
United Kingdom,GBR,1787,3.409558752
United Kingdom,GBR,1788,3.370709243
United Kingdom,GBR,1789,3.387077345
United Kingdom,GBR,1790,3.533401682
United Kingdom,GBR,1791,3.500407155
United Kingdom,GBR,1792,3.566657489
United Kingdom,GBR,1793,3.513889343
United Kingdom,GBR,1794,3.431552101
United Kingdom,GBR,1795,3.64181185
United Kingdom,GBR,1796,3.645577653
United Kingdom,GBR,1797,3.592797497
United Kingdom,GBR,1798,3.556501745
United Kingdom,GBR,1799,3.599701574
United Kingdom,GBR,1800,3.672418417
United Kingdom,GBR,1801,3.689201843
United Kingdom,GBR,1802,3.719961175
United Kingdom,GBR,1803,3.682865923
United Kingdom,GBR,1804,3.668788866
United Kingdom,GBR,1805,3.768216897
United Kingdom,GBR,1806,3.715820582
United Kingdom,GBR,1807,3.835825423
United Kingdom,GBR,1808,3.671246145
United Kingdom,GBR,1809,3.741869216
United Kingdom,GBR,1810,3.879780926
United Kingdom,GBR,1811,3.839507155
United Kingdom,GBR,1812,3.723871441
United Kingdom,GBR,1813,3.872697008
United Kingdom,GBR,1814,3.818492371
United Kingdom,GBR,1815,3.983791551
United Kingdom,GBR,1816,3.831753124
United Kingdom,GBR,1817,3.867131138
United Kingdom,GBR,1818,3.83943638
United Kingdom,GBR,1819,3.792757574
United Kingdom,GBR,1820,3.91488901
United Kingdom,GBR,1821,3.914450196
United Kingdom,GBR,1822,3.916845396
United Kingdom,GBR,1823,3.94197651
United Kingdom,GBR,1824,4.056885915
United Kingdom,GBR,1825,4.084742432
United Kingdom,GBR,1826,3.967948179
United Kingdom,GBR,1827,4.139965798
