Entity,Code,Year,Indicator:Alcohol-related crimes (% of all crimes) (%)
Azerbaijan,AZE,1995,7.2
Azerbaijan,AZE,2000,4.9
Azerbaijan,AZE,2005,3.3
Azerbaijan,AZE,2008,2.9
Azerbaijan,AZE,2009,3.1
Azerbaijan,AZE,2010,3.5
Azerbaijan,AZE,2011,3.8
Azerbaijan,AZE,2012,3.5
Azerbaijan,AZE,2013,4.1
Azerbaijan,AZE,2014,3.8
Azerbaijan,AZE,2015,2.3
Belarus,BLR,2005,16.7
Belarus,BLR,2006,17.1
Belarus,BLR,2007,17.9
Belarus,BLR,2008,20.4
Belarus,BLR,2009,20.2
Belarus,BLR,2010,20.7
Belarus,BLR,2011,20.4
Belarus,BLR,2012,21.2
Belarus,BLR,2013,20.6
Belarus,BLR,2014,19.5
Belarus,BLR,2015,18.2
Canada,CAN,2002,35.8
Chile,CHL,2005,8.4
Chile,CHL,2006,7.1
Chile,CHL,2007,6.2
Chile,CHL,2008,6.6
Chile,CHL,2009,6.8
Chile,CHL,2010,7.9
Chile,CHL,2011,7.2
Chile,CHL,2012,7.8
Chile,CHL,2013,6.1
Chile,CHL,2014,4.6
Croatia,HRV,2009,3.4
Croatia,HRV,2010,4.1
Croatia,HRV,2011,4.8
Croatia,HRV,2012,5.6
Croatia,HRV,2013,6.4
Croatia,HRV,2014,9.2
Czech Republic,CZE,2005,4.1
Czech Republic,CZE,2006,5.5
Czech Republic,CZE,2007,14.2
Czech Republic,CZE,2008,17.4
Czech Republic,CZE,2009,16.2
Czech Republic,CZE,2010,15.4
Czech Republic,CZE,2011,18.9
Czech Republic,CZE,2012,20.6
Czech Republic,CZE,2013,21.2
Czech Republic,CZE,2014,21.4
Estonia,EST,2005,71.5
Estonia,EST,2006,69.8
Estonia,EST,2007,75.7
Estonia,EST,2008,67.1
Estonia,EST,2009,53
Estonia,EST,2010,35.5
Estonia,EST,2011,45.3
Estonia,EST,2012,38.8
Estonia,EST,2013,27.6
Estonia,EST,2014,15.8
Finland,FIN,2001,1
Finland,FIN,2002,0.8
Finland,FIN,2003,0.7
Finland,FIN,2004,0.9
Finland,FIN,2005,0.9
Finland,FIN,2006,0.7
Finland,FIN,2007,0.7
Finland,FIN,2008,0.7
Finland,FIN,2009,0.7
Finland,FIN,2010,0.9
Finland,FIN,2011,1.1
Finland,FIN,2012,1.1
Finland,FIN,2013,1.1
Finland,FIN,2014,0.9
Finland,FIN,2015,0.8
Georgia,GEO,2012,1.8
Georgia,GEO,2013,1.2
Georgia,GEO,2014,0.8
Georgia,GEO,2015,0.7
Grenada,GRD,2010,40
Hungary,HUN,1990,5.5
Hungary,HUN,1991,5.8
Hungary,HUN,1992,6.7
Hungary,HUN,1993,7.2
Hungary,HUN,1994,7.1
Hungary,HUN,2000,5
Hungary,HUN,2008,5.4
Hungary,HUN,2009,5.7
Hungary,HUN,2010,4.6
Hungary,HUN,2011,4
Hungary,HUN,2012,3.5
Iran,IRN,1996,0.6
Iran,IRN,2001,0.9
Iran,IRN,2005,1.3
Iran,IRN,2006,0.5
Iran,IRN,2007,0.5
Iran,IRN,2008,0.8
Iran,IRN,2009,0.8
Iran,IRN,2011,2.2
Iran,IRN,2012,2.3
Ireland,IRL,2004,23.7
Ireland,IRL,2005,25
Ireland,IRL,2006,26
Ireland,IRL,2007,26.3
Ireland,IRL,2008,25
Ireland,IRL,2009,23.1
Ireland,IRL,2010,22.1
Ireland,IRL,2011,20.5
Ireland,IRL,2012,19.2
Ireland,IRL,2013,16.9
Ireland,IRL,2014,15.2
Ireland,IRL,2015,14.6
Latvia,LVA,1990,39.2
Latvia,LVA,1991,41.9
Latvia,LVA,1992,45.4
Latvia,LVA,1993,50.3
Latvia,LVA,1994,52.8
Latvia,LVA,1995,47.6
Latvia,LVA,1996,47.2
Latvia,LVA,1997,46.4
Latvia,LVA,1998,46.3
Latvia,LVA,1999,44.6
Latvia,LVA,2000,39.7
Latvia,LVA,2001,37.6
Latvia,LVA,2002,39
Latvia,LVA,2003,38.4
Latvia,LVA,2004,34.8
Latvia,LVA,2005,32.3
Latvia,LVA,2006,32
Latvia,LVA,2007,33.3
Latvia,LVA,2008,31.7
Latvia,LVA,2009,26.9
Latvia,LVA,2010,22.1
Latvia,LVA,2012,22.1
Latvia,LVA,2013,11.6
Latvia,LVA,2014,11.2
Latvia,LVA,2015,10.1
Lithuania,LTU,2008,7.7
Lithuania,LTU,2009,7.3
Lithuania,LTU,2010,15
Lithuania,LTU,2011,15
Lithuania,LTU,2012,24
Lithuania,LTU,2013,26
Lithuania,LTU,2014,26
Lithuania,LTU,2015,26
Marshall Islands,MHL,2004,70
Micronesia (country),FSM,2002,52.7
Micronesia (country),FSM,2003,55.1
Micronesia (country),FSM,2004,71.6
Micronesia (country),FSM,2005,42.7
Micronesia (country),FSM,2006,39.7
Micronesia (country),FSM,2007,42.7
Mongolia,MNG,1999,18.8
Mongolia,MNG,2000,18.3
Mongolia,MNG,2001,18.2
Mongolia,MNG,2002,21.8
Mongolia,MNG,2003,24.7
Mongolia,MNG,2006,19
Mongolia,MNG,2007,22.6
New Zealand,NZL,2013,41
New Zealand,NZL,2014,30
Norway,NOR,2000,0.8
Norway,NOR,2001,0.8
Norway,NOR,2002,0.7
Norway,NOR,2003,0.7
Norway,NOR,2004,0.8
Norway,NOR,2005,0.8
Norway,NOR,2006,0.9
Norway,NOR,2007,0.9
Norway,NOR,2008,0.6
Norway,NOR,2009,0.5
Norway,NOR,2010,0.5
Norway,NOR,2011,0.4
Norway,NOR,2012,0.4
Norway,NOR,2013,0.4
Norway,NOR,2014,0.4
Russia,RUS,1990,18.2
Russia,RUS,1991,34.9
Russia,RUS,1992,35.7
Russia,RUS,1994,34.9
Slovakia,SVK,2008,6.2
Slovakia,SVK,2009,6.2
Slovakia,SVK,2010,5.7
Slovakia,SVK,2011,6.1
Slovakia,SVK,2012,11.2
Slovakia,SVK,2013,10.6
Slovakia,SVK,2014,10.9
Solomon Islands,SLB,1992,54
Ukraine,UKR,1990,54.4
Ukraine,UKR,1991,52.5
Ukraine,UKR,1992,55.5
Ukraine,UKR,1993,65.5
Ukraine,UKR,1994,66.8
Ukraine,UKR,1995,28.4
Ukraine,UKR,2000,23.9
Ukraine,UKR,2001,23
Ukraine,UKR,2002,23.8
Ukraine,UKR,2003,24.4
Ukraine,UKR,2004,26
Ukraine,UKR,2005,25.6
Ukraine,UKR,2006,26
Ukraine,UKR,2007,26.7
Ukraine,UKR,2008,26.1
Ukraine,UKR,2009,26.3
Ukraine,UKR,2010,26.9
Ukraine,UKR,2011,25.1
Ukraine,UKR,2012,25.1
Ukraine,UKR,2013,24
Ukraine,UKR,2014,20.3
Ukraine,UKR,2015,15.7
United Kingdom,GBR,2011,55.7
United States,USA,2005,17.9
United States,USA,2006,18.5
United States,USA,2007,18.7
United States,USA,2008,19.4
United States,USA,2009,19
United States,USA,2010,18.9
United States,USA,2011,18.1
United States,USA,2012,18.3
