Entity,Code,Year,Female share in agriculture (%),Female share in industry (%),Female share in services (%)
Albania,ALB,2009,55.31,22.22,39.02
Albania,ALB,2011,52.62,26.82,42.37
Albania,ALB,2012,54.15,23.32,39.89
Albania,ALB,2013,53.9,26.73,42.65
Albania,ALB,2014,51.17,29,41.76
Albania,ALB,2015,49.54,31.97,41.13
Algeria,DZA,2001,8.41,16.57,16.24
Algeria,DZA,2003,7.29,14.66,17.08
Algeria,DZA,2004,18.74,18.85,17.08
Algeria,DZA,2011,4.45,12.56,20.38
Algeria,DZA,2013,7.36,12.66,27.38
Algeria,DZA,2014,5.9,11.81,7.7
Algeria,DZA,2016,5.95,30.77,22.63
American Samoa,ASM,1990,5.49,42.31,26.21
Angola,AGO,2004,57.75,8.92,45.91
Angola,AGO,2011,57.12,7.18,50.59
Anguilla,AIA,1999,21.43,15.42,58.03
Antigua and Barbuda,ATG,2001,21.1,16.06,57.23
Antigua and Barbuda,ATG,2002,21.12,16.04,57.23
Antigua and Barbuda,ATG,2003,21.04,16.08,57.23
Antigua and Barbuda,ATG,2004,21.04,16.06,57.23
Antigua and Barbuda,ATG,2005,21.06,16.04,57.23
Antigua and Barbuda,ATG,2006,21.06,16.07,57.23
Antigua and Barbuda,ATG,2007,21.06,16.05,57.23
Antigua and Barbuda,ATG,2008,21.04,16.07,57.23
Argentina,ARG,1990,16.72,20.42,43.64
Argentina,ARG,1991,14.03,21.22,43.61
Argentina,ARG,1992,28.67,20.78,44.31
Argentina,ARG,1993,24.41,20.02,44.99
Argentina,ARG,1994,19.09,18.19,44.76
Argentina,ARG,1995,21.81,20.86,44.62
Argentina,ARG,1996,10.39,18.25,44.32
Argentina,ARG,1997,11.63,16.63,45.31
Argentina,ARG,1998,11.07,16.32,46.79
Argentina,ARG,1999,12.12,18.02,47.17
Argentina,ARG,2000,13.93,17.98,47.04
Argentina,ARG,2001,14.01,18.97,47.04
Argentina,ARG,2002,20.38,19.57,47.92
Argentina,ARG,2003,30.39,22.33,48.5
Argentina,ARG,2004,27.68,20.35,48.86
Argentina,ARG,2005,24.01,19.41,49.03
Argentina,ARG,2006,19.98,19.2,49.53
Argentina,ARG,2007,17.67,18.09,49.37
Argentina,ARG,2008,12.49,18,49.76
Argentina,ARG,2009,13.91,17.91,50.26
Armenia,ARM,2002,44.63,31.52,57.83
Armenia,ARM,2003,44.79,30.51,58.96
Armenia,ARM,2004,43.8,29.9,55.69
Armenia,ARM,2005,45.78,28.03,52.79
Armenia,ARM,2006,45.61,27.67,53.23
Armenia,ARM,2008,54.43,22.98,54.05
