Entity,Code,Year,Female share in agriculture (%),Female share in industry (%),Female share in services (%)
Aruba,ABW,1994,25,10.64,48.66
Aruba,ABW,1997,25,11.14,49.81
Aruba,ABW,2007,27.27,14.4,55.94
Aruba,ABW,2011,31.47,11.55,55.44
Australia,AUS,1970,17.68,19.19,43.03
Australia,AUS,1971,17.16,20.09,43.01
Australia,AUS,1972,16.96,19,43.89
Australia,AUS,1973,18.93,19.5,44.23
Australia,AUS,1974,17.51,19.87,45.03
Australia,AUS,1975,19.24,19.16,45.01
Australia,AUS,1976,21.55,19.32,45
Australia,AUS,1977,22.26,19.18,45.62
Australia,AUS,1978,21.82,19.85,45.28
Australia,AUS,1979,21,19.4,45.09
Australia,AUS,1980,23.15,19.19,46.3
Australia,AUS,1981,25.27,19.78,45.77
Australia,AUS,1982,24.54,19.42,46.13
Australia,AUS,1983,24.5,19.94,46.36
Australia,AUS,1984,24.52,19.86,46.6
Australia,AUS,1985,27.06,20.33,46.75
Australia,AUS,1986,28.41,20.57,47.58
Australia,AUS,1987,27.99,20.69,48.07
Australia,AUS,1988,29.2,20.77,48.47
Australia,AUS,1989,28.79,20.97,49.36
Australia,AUS,1990,29.51,21.41,49.74
Australia,AUS,1991,30.15,22.09,49.66
Australia,AUS,1992,30.14,21.73,50.09
Australia,AUS,1993,30.02,22.09,50.2
Australia,AUS,1994,30.41,21.9,50.31
Australia,AUS,1995,31.43,21.93,50.59
Australia,AUS,1996,30.25,21.94,50.59
Australia,AUS,1997,30.51,21.92,50.71
Australia,AUS,1998,30.95,21.35,50.87
Australia,AUS,1999,30.96,21.27,50.93
Australia,AUS,2000,31.23,20.94,51.72
Australia,AUS,2001,32.33,20.48,51.92
Australia,AUS,2002,30.9,20.37,52.06
Australia,AUS,2003,30.12,20.54,52.29
Australia,AUS,2004,32.09,19.74,52.27
Australia,AUS,2005,30.9,19.89,52.64
Australia,AUS,2006,31.21,20.08,52.92
Australia,AUS,2007,30.91,19.76,52.9
Australia,AUS,2008,30.47,19.57,53.29
Australia,AUS,2009,31.38,19.29,53.6
Australia,AUS,2010,32.16,18.72,53.31
Australia,AUS,2011,30.6,18.73,53.38
Australia,AUS,2012,31.35,18.54,53.58
Australia,AUS,2013,29.26,18.66,53.63
Australia,AUS,2014,30.07,18.23,54.16
Australia,AUS,2015,32.5,18.03,54.01
Australia,AUS,2016,29.88,18.77,54.14
Austria,AUT,1995,48.3,23.64,53.02
Austria,AUT,1996,50.21,22.4,52.89
Austria,AUT,1997,48.89,21.53,53.29
Austria,AUT,1998,48.91,21.18,53.8
Austria,AUT,1999,49.04,20.77,54.18
Austria,AUT,2000,46.47,20.89,54.68
Austria,AUT,2001,47.86,20.9,54.43
Austria,AUT,2002,47.8,20.5,55.87
Austria,AUT,2003,47.25,20.42,55.6
Austria,AUT,2004,45.19,22.73,54.42
Austria,AUT,2005,45.53,21.3,55.29
Austria,AUT,2006,45.88,21.74,55.53
Austria,AUT,2007,46.27,21.67,55.14
Austria,AUT,2008,45.69,21.48,55.17
Austria,AUT,2009,45.41,21.3,55.5
Austria,AUT,2010,44.6,21.5,55.58
Austria,AUT,2011,44.02,22.4,55.97
Austria,AUT,2012,42.54,22.82,56.18
Austria,AUT,2013,42.92,23.62,55.82
Austria,AUT,2014,44.53,23.31,56.12
Austria,AUT,2015,43.8,22.26,56.51
Austria,AUT,2016,42.53,22.09,56.44
Azerbaijan,AZE,2003,45.37,18,44.7
Azerbaijan,AZE,2006,51.67,15.27,51.66
Azerbaijan,AZE,2007,54.09,14.9,55.17
Azerbaijan,AZE,2008,50.89,24.86,54.55
Azerbaijan,AZE,2009,56.14,21.34,49.58
Azerbaijan,AZE,2010,56.48,21.69,49.9
Azerbaijan,AZE,2011,56.33,21.32,50.44
Azerbaijan,AZE,2012,56.52,20.97,50.28
Azerbaijan,AZE,2013,56.69,20.17,50.21
Azerbaijan,AZE,2014,56.16,20.81,50.59
Azerbaijan,AZE,2015,56.06,20.2,50.88
Azerbaijan,AZE,2016,55.86,20.22,50.68
Bahamas,BHS,1975,13.54,13.17,45.82
Bahamas,BHS,1986,15.49,24.87,52.19
Bahamas,BHS,1989,22.94,17.48,53.18
Bahamas,BHS,1991,13.23,16.04,56.08
Bahamas,BHS,1992,12.98,15.75,54.97
Bahamas,BHS,1993,12.34,18.78,54.14
Bahamas,BHS,1994,14.3,19.3,53.52
Bahamas,BHS,1995,11.97,18.03,54.91
Bahamas,BHS,1996,11.33,17.77,53.17
Bahamas,BHS,1997,26.86,19.27,53.74
Bahamas,BHS,1998,18.52,17.24,55.76
Bahamas,BHS,1999,10.88,15.29,55.42
Bahamas,BHS,2001,16.21,17.49,56.91
Bahamas,BHS,2002,21.9,12.57,57.36
Bahamas,BHS,2003,9.82,17.25,56.65
Bahamas,BHS,2004,4.85,15.52,57.45
Bahamas,BHS,2005,4.83,13.96,58.24
Bahamas,BHS,2006,9.38,13.49,57.66
Bahamas,BHS,2007,5.08,14.39,56.53
Bahamas,BHS,2008,12.22,12.51,56.61
Bahamas,BHS,2009,9.16,11.38,58.04
Bahamas,BHS,2011,24.17,15.86,56.33
Bahrain,BHR,1979,,2.93,14.81
Bahrain,BHR,1981,,1.66,16.25
Bahrain,BHR,1982,,1.66,16.36
Bahrain,BHR,1991,1.41,,
Bahrain,BHR,2001,2.54,,
Bahrain,BHR,2010,0.95,,
Bahrain,BHR,2015,,5.48,29.9
Bangladesh,BGD,1984,1.31,22.92,5.43
Bangladesh,BGD,1985,1.42,20.37,6.85
Bangladesh,BGD,1986,2.03,29.26,6.12
Bangladesh,BGD,1989,45.55,58.69,5.71
Bangladesh,BGD,1991,50.27,26.55,5.04
Bangladesh,BGD,1996,46.77,30.48,16.8
Bangladesh,BGD,2000,46.36,32.8,19.37
Bangladesh,BGD,2003,25.17,29.9,14.74
Bangladesh,BGD,2005,33.75,20.54,12.32
Bangladesh,BGD,2006,33.75,20.53,12.32
Bangladesh,BGD,2010,41.06,22.64,18.67
Bangladesh,BGD,2013,34.39,33.07,19.41
Bangladesh,BGD,2016,44.14,23.49,16.85
Barbados,BRB,1976,39.33,33.48,44.56
Barbados,BRB,1977,44.83,33.33,41.57
Barbados,BRB,1978,49.43,35.05,45.04
Barbados,BRB,1981,40.43,37.04,44.8
Barbados,BRB,1982,42.86,34.35,46.59
Barbados,BRB,1983,41.56,34.82,46.34
Barbados,BRB,1984,36.47,35.85,46.06
Barbados,BRB,1985,37.18,32.24,48.17
Barbados,BRB,1986,40.51,32.71,48.43
Barbados,BRB,1987,37.18,31.96,48.97
Barbados,BRB,1988,38.46,30.26,50.79
Barbados,BRB,1989,45.07,28.51,50.31
Barbados,BRB,1990,39.39,27.83,50.61
Barbados,BRB,1991,35.71,28.43,49.32
Barbados,BRB,1992,31.67,29.63,52.76
Barbados,BRB,1993,37.74,30.77,50.64
Barbados,BRB,1994,37.5,28.64,51.31
Barbados,BRB,1995,37.25,31.16,51.61
Barbados,BRB,1996,37.7,28.37,50.96
Barbados,BRB,1997,37.1,26.11,52.97
Barbados,BRB,1998,37.04,25.98,51.83
Barbados,BRB,1999,35.19,23.88,52.93
Barbados,BRB,2000,41.67,24.71,53.31
Barbados,BRB,2001,40,23.74,52.98
Barbados,BRB,2002,36.54,25.31,53.01
Barbados,BRB,2003,37.29,24.56,53.53
Barbados,BRB,2004,36.36,21.93,54.24
Barbados,BRB,2005,6.3,,
Barbados,BRB,2006,35.98,,
Barbados,BRB,2007,40,,
Barbados,BRB,2008,42.86,,
Barbados,BRB,2009,33.77,,
Barbados,BRB,2010,32.64,22.36,56.53
Barbados,BRB,2011,33.33,22.9,54.99
Barbados,BRB,2012,37.14,24.69,54.55
Barbados,BRB,2013,29.41,26.36,55.15
Barbados,BRB,2014,23.53,25.52,57.19
Barbados,BRB,2015,27.03,25,56.93
Barbados,BRB,2016,31.58,23.74,56.14
Belarus,BLR,2016,34.7,31.94,63.34
Belgium,BEL,1983,29.16,18.71,42.83
Belgium,BEL,1984,30.5,18.64,43.38
Belgium,BEL,1985,30,18.34,43.61
Belgium,BEL,1986,29.54,19.03,43.89
Belgium,BEL,1987,27.97,19.55,43.98
Belgium,BEL,1988,26,19.51,45.16
Belgium,BEL,1989,26.53,18.94,45.93
Belgium,BEL,1990,25.82,19.4,46.43
Belgium,BEL,1991,31.44,18.68,47.7
Belgium,BEL,1992,33.83,19.9,48.57
Belgium,BEL,1993,28.19,18.32,50.81
Belgium,BEL,1994,26.16,18.38,50.73
Belgium,BEL,1995,26.74,18.27,50.93
Belgium,BEL,1996,26.99,18.17,51.1
Belgium,BEL,1997,27.71,18.03,51.21
Belgium,BEL,1998,27.22,17.96,51.49
Belgium,BEL,1999,31.15,18.67,51.14
Belgium,BEL,2000,26.25,19.2,50.91
Belgium,BEL,2001,28.91,19.52,50.23
Belgium,BEL,2002,25.94,20.56,50.68
Belgium,BEL,2003,26.44,20.01,51.14
Belgium,BEL,2004,30.77,18.91,52.14
Belgium,BEL,2005,31.74,20.07,51.92
Belgium,BEL,2006,28.76,19.15,52.65
Belgium,BEL,2007,31.14,19.98,52.57
Belgium,BEL,2008,29.72,18.66,53.66
Belgium,BEL,2009,29.96,18.7,53.59
Belgium,BEL,2010,29.87,19.56,53.5
Belgium,BEL,2011,31,18.95,53.8
Belgium,BEL,2012,26.98,18.09,53.5
Belgium,BEL,2013,28.43,18.16,54.04
Belgium,BEL,2014,31.97,18.07,54.46
Belgium,BEL,2015,28.87,18.19,54.66
Belgium,BEL,2016,27.94,17.82,54.34
Belize,BLZ,1993,6.1,20.54,45.26
Belize,BLZ,1994,5.88,18.63,45
Belize,BLZ,1995,6.77,15.75,46.25
Belize,BLZ,1996,5.07,17.63,45.32
Belize,BLZ,1997,6.17,25.16,46.02
Belize,BLZ,1998,6.79,19.15,46.63
Belize,BLZ,1999,7.21,21.69,46.17
Belize,BLZ,2005,5.76,19.77,47.19
Belize,BLZ,2012,10.23,17.94,48.45
Belize,BLZ,2013,9.61,17.48,46.16
Belize,BLZ,2014,9.53,17.87,46.43
Belize,BLZ,2015,11.24,19.02,48.28
Belize,BLZ,2016,7.64,20.84,47.44
Benin,BEN,2010,44.22,36.55,65.55
Benin,BEN,2011,43.37,48.08,62.93
Bermuda,BMU,2001,8.48,13.76,54.12
Bermuda,BMU,2002,8.49,13.93,54.17
Bermuda,BMU,2003,7.84,13.15,53.75
Bermuda,BMU,2004,8.29,12.24,53.84
Bermuda,BMU,2009,12.28,12.29,56.99
Bermuda,BMU,2010,12.4,12.39,56.03
Bhutan,BTN,2006,49.5,32.14,32.58
Bhutan,BTN,2009,53.03,67.66,32.09
Bhutan,BTN,2010,53.1,49.06,40.37
Bhutan,BTN,2011,53.36,43.96,36.59
Bhutan,BTN,2012,61.64,42.29,30.97
Bhutan,BTN,2013,53.28,42.34,33.76
Bhutan,BTN,2014,52.72,35.47,35.24
Bhutan,BTN,2015,52.57,43.99,36.03
Bolivia,BOL,1991,23.05,21.29,50.84
Bolivia,BOL,1992,24.74,21.7,51.39
Bolivia,BOL,1993,16.59,23.36,52.2
Bolivia,BOL,1994,17.86,22.96,52.78
Bolivia,BOL,1995,22.52,24.49,52.35
Bolivia,BOL,1996,34.68,25.35,54.98
Bolivia,BOL,1997,30.7,24.24,53
Bolivia,BOL,1999,45.24,26.99,53.07
Bolivia,BOL,2000,42.42,23.25,54.84
Bolivia,BOL,2001,43.5,26.22,54.49
Bolivia,BOL,2002,40.3,26.42,54.57
Bolivia,BOL,2004,45.04,24.6,55.69
Bolivia,BOL,2005,45.26,24.93,53.22
Bolivia,BOL,2006,44.89,25.94,52.69
Bolivia,BOL,2007,47.53,21.04,53.24
Bosnia and Herzegovina,BIH,2014,38.03,19.83,46.54
Bosnia and Herzegovina,BIH,2015,35.07,70.53,38.7
Botswana,BWA,1985,51.52,17.87,55.77
Botswana,BWA,1996,31.1,34.86,53.49
Botswana,BWA,1998,27.61,31.18,54.08
Botswana,BWA,2000,38.2,29.81,51.3
Botswana,BWA,2003,28.57,34.25,58.98
Botswana,BWA,2006,38.77,33.81,56.49
Brazil,BRA,1981,21.09,16.41,45.62
Brazil,BRA,1982,21.05,17.72,46.4
Brazil,BRA,1983,23.54,17.73,46.57
Brazil,BRA,1984,21.12,17.85,47.1
Brazil,BRA,1985,21.57,18.74,46.79
Brazil,BRA,1986,19.28,19.99,47.83
Brazil,BRA,1987,21.64,19.07,47.9
Brazil,BRA,1988,21.15,19.03,48.36
Brazil,BRA,1989,21.29,20.24,47.93
Brazil,BRA,1990,20.77,20.08,48.21
Brazil,BRA,1992,33.86,19.25,49.25
Brazil,BRA,1993,34.24,19.84,49.22
Brazil,BRA,1995,34.41,18.95,50.04
Brazil,BRA,1996,31.78,18.93,49.82
Brazil,BRA,1997,32.89,18.9,49.67
Brazil,BRA,1998,32.7,18.92,49.67
Brazil,BRA,1999,33.97,19.86,49.93
Brazil,BRA,2001,31.91,20.22,50.62
Brazil,BRA,2002,33.08,24.52,50.6
Brazil,BRA,2003,32.23,25.37,50.62
Brazil,BRA,2004,31.98,25.7,51.35
Brazil,BRA,2005,32.95,26.17,51.33
Brazil,BRA,2006,32.97,25.88,51.68
Brazil,BRA,2007,32.14,25.42,51.78
Brazil,BRA,2008,31.98,25.36,52.05
Brazil,BRA,2009,30.69,25.35,52.35
Brazil,BRA,2011,30.05,22.84,51.97
Brunei,BRN,1991,25.99,11.84,39.1
Brunei,BRN,2001,10.48,21.67,47.32
Bulgaria,BGR,2000,37.63,38.84,53.71
Bulgaria,BGR,2001,35.11,42.03,53.1
Bulgaria,BGR,2002,36.17,41.94,52.92
Bulgaria,BGR,2003,35.21,40.9,52.67
Bulgaria,BGR,2004,36.27,40.7,52.63
Bulgaria,BGR,2005,35.74,39.29,52.74
Bulgaria,BGR,2006,35.46,38.14,53.7
Bulgaria,BGR,2007,35.17,37.58,54.03
Bulgaria,BGR,2008,36.3,36.75,54.46
Bulgaria,BGR,2009,35.43,35.68,54.92
Bulgaria,BGR,2010,35.66,34.08,54.82
Bulgaria,BGR,2011,33.46,35.84,54.41
Bulgaria,BGR,2012,31.59,38.01,53.85
Bulgaria,BGR,2013,31.54,37.35,53.71
Bulgaria,BGR,2014,30.66,36.31,54.1
Bulgaria,BGR,2015,29.69,35.75,54.16
Bulgaria,BGR,2016,29.4,35.08,54.01
Burkina Faso,BFA,2014,34.55,47.88,55.72
Burundi,BDI,1998,58.29,17.99,26.38
Cambodia,KHM,2000,52.73,59.16,44.96
Cambodia,KHM,2001,51.28,59.87,48.66
Cambodia,KHM,2012,46.44,48.53,47.08
Cameroon,CMR,2001,54.5,42.19,49.84
Canada,CAN,1970,11.68,17.69,43.07
Canada,CAN,1971,12.16,18.39,43.5
Canada,CAN,1972,13.38,18.76,43.27
Canada,CAN,1973,12.73,18.88,44.28
Canada,CAN,1974,13.67,19.32,44.59
Canada,CAN,1975,19.86,19.26,45.75
Canada,CAN,1987,28.14,21.7,51.61
Canada,CAN,1988,29.21,22.15,52.1
Canada,CAN,1989,30.07,21.98,52.62
Canada,CAN,1990,26.67,22.42,52.94
Canada,CAN,1991,27.06,22.73,53.15
Canada,CAN,1992,26.81,23.14,53.14
Canada,CAN,1993,27.01,22.42,53.09
Canada,CAN,1994,27.14,22.21,53.13
Canada,CAN,1995,26.38,22.75,53.16
Canada,CAN,1996,26.8,22.61,53.19
Canada,CAN,1997,26.99,22.91,53.2
Canada,CAN,1998,27.81,23.02,53.54
Canada,CAN,1999,27.62,23.21,53.61
Canada,CAN,2000,26.33,22.92,53.85
Canada,CAN,2001,25.51,22.96,54.01
Canada,CAN,2002,26.2,23.33,54.29
Canada,CAN,2003,25.6,23.37,54.46
Canada,CAN,2004,26.25,23.25,54.58
Canada,CAN,2005,26.82,22.49,54.64
Canada,CAN,2006,27.51,22.51,54.64
Canada,CAN,2007,27.81,22.48,54.77
Canada,CAN,2008,26.61,21.61,54.94
Canada,CAN,2009,29.37,21.21,55.42
Canada,CAN,2010,29.48,20.35,55.34
Canada,CAN,2011,29.26,21.14,54.92
Canada,CAN,2012,30.32,21.03,55.09
Canada,CAN,2013,29.24,20.55,55.25
Canada,CAN,2014,29.37,20.35,55.04
Canada,CAN,2015,29.37,20.42,54.75
Canada,CAN,2016,27.83,21.28,54.76
Cayman Islands,CYM,1991,,5.9,58.55
Cayman Islands,CYM,2005,17.92,7.09,60.13
Cayman Islands,CYM,2006,19.88,7.96,59.25
Cayman Islands,CYM,2007,7.36,10.36,58.25
Cayman Islands,CYM,2008,15.35,11.15,58.31
Cayman Islands,CYM,2009,21.14,11.93,58.92
Cayman Islands,CYM,2011,,14.3,57.4
Cayman Islands,CYM,2012,14.57,14.76,57.22
Cayman Islands,CYM,2013,12.37,6.44,58.4
Cayman Islands,CYM,2014,14.77,12.68,57.17
Cayman Islands,CYM,2015,10.33,9.36,54.99
Chile,CHL,1980,5.08,20.21,39.78
Chile,CHL,1981,4.21,18.3,39.89
Chile,CHL,1982,4.73,19.88,39.77
Chile,CHL,1983,4.77,19.84,39.99
Chile,CHL,1984,5.71,19.53,39.47
Chile,CHL,1985,5.8,17.11,41.83
Chile,CHL,1986,6.5,17.72,42.24
Chile,CHL,1987,7.87,17.73,42.44
Chile,CHL,1988,9.56,17.11,43.65
Chile,CHL,1989,9.27,18.1,44.22
Chile,CHL,1990,9.46,17.12,44.84
Chile,CHL,1991,9.62,17.14,44.28
Chile,CHL,1992,10.61,18.07,45
Chile,CHL,1993,11.86,19.16,44.69
Chile,CHL,1994,10.98,18.51,44.65
Chile,CHL,1995,10.95,17.95,44.36
Chile,CHL,1996,10.91,17.86,43.9
Chile,CHL,1997,10.06,17.06,45.28
Chile,CHL,1998,10.49,18.03,45.23
Chile,CHL,1999,10.68,17.91,44.39
Chile,CHL,2000,10.51,17.3,44.28
Chile,CHL,2001,11.3,17.87,43.74
Chile,CHL,2002,11.59,16.69,44.08
Chile,CHL,2003,12.21,17.05,44.88
Chile,CHL,2004,14.29,18.12,45.57
Chile,CHL,2005,15.35,17.53,45.27
Chile,CHL,2006,16.08,17.29,46.16
Chile,CHL,2007,16.52,16.9,47
Chile,CHL,2008,17.3,17.95,47.65
Chile,CHL,2010,18.74,17.32,49.48
Chile,CHL,2011,19.63,17.73,50.44
Chile,CHL,2012,19.94,18.09,50.97
Chile,CHL,2013,19.94,17.94,51.28
Chile,CHL,2014,19.63,18.7,51.72
Chile,CHL,2015,19.67,19.64,51.09
Chile,CHL,2016,21.02,19.64,50.8
Colombia,COL,1975,3.91,24.83,43.02
Colombia,COL,1976,12.16,27.14,43.26
Colombia,COL,1977,11.25,27.19,43.52
Colombia,COL,1978,9.27,28.11,43.15
Colombia,COL,1979,14.28,28.95,43.22
Colombia,COL,1980,14.37,29.17,43.53
Colombia,COL,1985,20.4,28.9,42.45
Colombia,COL,1986,23.28,30.94,42.58
Colombia,COL,1987,17.58,30.82,44.17
Colombia,COL,1988,19.27,31.46,44.18
Colombia,COL,1989,18.79,31.69,44.04
Colombia,COL,1990,17.66,31.83,43.14
Colombia,COL,1991,18.82,34.55,44.33
Colombia,COL,1992,22.35,33.83,45.87
Colombia,COL,1994,25.49,32.18,45.32
Colombia,COL,1995,22.74,32.19,46.58
Colombia,COL,1996,26.44,33.51,45.22
Colombia,COL,1997,19.62,32.91,46.68
Colombia,COL,1998,25.46,34.26,47.15
Colombia,COL,1999,20.67,36.93,47.56
Colombia,COL,2000,20.67,35.16,49.07
Colombia,COL,2001,11.74,37.15,50.92
Colombia,COL,2002,12.67,33.77,49.67
Colombia,COL,2003,14.58,34.31,49.78
Colombia,COL,2004,14.18,33.21,49.33
Colombia,COL,2005,13.54,32.66,49.79
Colombia,COL,2006,12.31,31.27,49.66
Colombia,COL,2007,12.83,30.39,49.32
Colombia,COL,2008,12.94,30.3,49.57
Colombia,COL,2009,13.23,31.87,50.4
Colombia,COL,2010,14.36,32.24,50.96
Colombia,COL,2011,15.91,31.62,51.53
Colombia,COL,2012,16.77,32.13,51.26
Colombia,COL,2013,16.21,31.66,51.36
Colombia,COL,2014,16.45,30.27,51.57
Colombia,COL,2015,17.14,29.36,51.85
Colombia,COL,2016,17.69,28.79,52.02
Comoros,COM,2004,44.36,33.58,32.09
Congo,COG,2005,56.87,52.71,52.85
Cook Islands,COK,2011,19.53,19.63,51.7
Costa Rica,CRI,1980,5.21,20.33,37.24
Costa Rica,CRI,1981,5.6,22.85,38.87
Costa Rica,CRI,1982,5.17,24.8,38.81
Costa Rica,CRI,1983,4.54,25.15,37.16
Costa Rica,CRI,1984,11.56,23.65,39.63
Costa Rica,CRI,1985,4.2,24.18,38.16
Costa Rica,CRI,1986,5.25,23.84,38.43
Costa Rica,CRI,1987,6.05,25.08,40.57
Costa Rica,CRI,1988,7.05,27.83,40.21
Costa Rica,CRI,1989,6.35,28.42,40.18
Costa Rica,CRI,1990,6.93,26.48,40.68
Costa Rica,CRI,1991,7.72,29.29,41.26
Costa Rica,CRI,1992,6.61,27.82,41.59
Costa Rica,CRI,1993,7.95,25.86,41.03
Costa Rica,CRI,1994,7.05,25.41,41.03
Costa Rica,CRI,1995,8.69,26.13,40.57
Costa Rica,CRI,1996,7.75,23.62,40.79
Costa Rica,CRI,1997,8.86,22.63,42.53
Costa Rica,CRI,1998,8.73,24.75,42.92
Costa Rica,CRI,1999,7.73,24.27,44.28
Costa Rica,CRI,2000,8.36,23.43,43.12
Costa Rica,CRI,2001,8.4,25.56,45.03
Costa Rica,CRI,2002,9.01,23.07,45.52
Costa Rica,CRI,2003,9.42,22.67,45.37
Costa Rica,CRI,2004,9.19,20.21,44.57
Costa Rica,CRI,2005,11.03,20.5,45.97
Costa Rica,CRI,2006,11.29,21.2,46.28
Costa Rica,CRI,2007,14.06,21.31,46.38
Costa Rica,CRI,2008,12.57,22.48,46.72
Costa Rica,CRI,2010,11.99,22.21,47.84
Cote d'Ivoire,CIV,2012,39.15,20,50.3
Cote d'Ivoire,CIV,2016,33.52,23.38,49.41
Croatia,HRV,2002,43.41,30.52,52.21
Croatia,HRV,2003,46.2,29.03,52.3
Croatia,HRV,2004,47.62,27.39,52.98
Croatia,HRV,2005,49.05,28.39,52.3
Croatia,HRV,2006,47.53,27.53,53.96
Croatia,HRV,2007,48.38,26.04,52.81
Croatia,HRV,2008,48.27,25.82,53.36
Croatia,HRV,2009,48.15,25.56,54.52
Croatia,HRV,2010,49.53,24.68,54.44
Croatia,HRV,2011,47.46,26.28,53.5
Croatia,HRV,2012,45,27.23,53.81
Croatia,HRV,2013,42.3,25.75,55.98
Croatia,HRV,2014,38.41,26.07,55.33
Croatia,HRV,2015,37.14,25.96,55.84
Croatia,HRV,2016,33.49,24.75,56.08
Cuba,CUB,1995,18.66,25.1,48.17
Cuba,CUB,1996,18.48,24.86,47.71
Cuba,CUB,1997,18.5,24.89,47.77
Cuba,CUB,1998,18.97,27.59,44.41
Cuba,CUB,1999,18.54,25.85,47.36
Cuba,CUB,2000,18.63,25.98,47.59
Cuba,CUB,2001,15.09,27.56,45.84
Cuba,CUB,2002,15.22,27.79,46.23
Cuba,CUB,2003,15.34,27.99,46.58
Cuba,CUB,2004,17.38,26.04,46.42
Cuba,CUB,2005,16.95,25.15,46.62
Cuba,CUB,2006,17.4,26.29,46.81
Cuba,CUB,2007,17.41,26.06,47.58
Cuba,CUB,2008,17.42,24.83,47.63
Cuba,CUB,2009,16.96,25.38,47.97
Cuba,CUB,2010,17.38,25.74,47.48
Cuba,CUB,2011,16.68,26.15,46.99
Cuba,CUB,2012,15.34,25.58,46.97
Cuba,CUB,2013,15.54,24.47,47.17
Cuba,CUB,2014,15.8,23.7,47.05
Cyprus,CYP,1976,48.78,31.15,29.13
Cyprus,CYP,1977,48.42,29.71,32.14
Cyprus,CYP,1978,50,30.5,33.9
Cyprus,CYP,1979,50.67,30.79,34.24
Cyprus,CYP,1980,50.41,31.18,34.88
Cyprus,CYP,1981,50.67,32.32,35.56
Cyprus,CYP,1982,49.86,32.16,35.92
Cyprus,CYP,1983,48.34,32.32,36.38
Cyprus,CYP,1984,47.27,32.84,37.24
Cyprus,CYP,1985,46.56,32.31,37.68
Cyprus,CYP,1986,46.61,31.91,38.08
Cyprus,CYP,1987,46.78,32.56,38.45
Cyprus,CYP,1988,46.93,33.66,39.94
Cyprus,CYP,1989,46.8,33.7,40.1
Cyprus,CYP,1990,45.4,33.11,40.37
Cyprus,CYP,1991,42.99,32.31,40.41
Cyprus,CYP,1992,42.72,32.23,42.26
Cyprus,CYP,1993,40.63,29.03,42.4
Cyprus,CYP,1994,38.54,28.07,44.21
Cyprus,CYP,1995,38.36,27.64,44.46
Czech Republic,CZE,1993,35.78,33.33,55.88
Czech Republic,CZE,1994,36.63,32.87,55.57
Czech Republic,CZE,1995,36.51,32.34,55.33
Czech Republic,CZE,1996,34.46,31.89,55.2
Czech Republic,CZE,1997,32.77,31.01,55.37
Czech Republic,CZE,1998,32.74,30.59,55.17
Czech Republic,CZE,1999,32.29,30.39,55.21
Czech Republic,CZE,2000,32.02,29.95,55.19
Czech Republic,CZE,2001,30.5,30.76,54.84
Czech Republic,CZE,2002,30.9,30.37,54.61
