Entity,Code,Year,Coal production (tonnes),Coal imports (tonnes)
United Kingdom,GBR,1700,2000000,
United Kingdom,GBR,1750,5000000,
United Kingdom,GBR,1800,10000000,
United Kingdom,GBR,1825,24000000,
United Kingdom,GBR,1853,71511160,
United Kingdom,GBR,1863,106193336,
United Kingdom,GBR,1873,140296392,
United Kingdom,GBR,1883,172640752,
United Kingdom,GBR,1893,206576168,
United Kingdom,GBR,1903,258046727.99999997,
United Kingdom,GBR,1913,292028880,
United Kingdom,GBR,1914,269914624,
United Kingdom,GBR,1915,257257296,
United Kingdom,GBR,1916,260476999.99999997,
United Kingdom,GBR,1917,252474984,
United Kingdom,GBR,1918,231392984,
United Kingdom,GBR,1919,233456480,
United Kingdom,GBR,1920,233204512,
United Kingdom,GBR,1921,165863016,
United Kingdom,GBR,1922,253600712,
United Kingdom,GBR,1923,280417016,
United Kingdom,GBR,1924,271391888,
United Kingdom,GBR,1925,247066816,
United Kingdom,GBR,1926,128299464,
United Kingdom,GBR,1927,255251712,
United Kingdom,GBR,1928,241271552,
United Kingdom,GBR,1929,262033511.99999997,
United Kingdom,GBR,1930,247784112,
United Kingdom,GBR,1931,222970344,
United Kingdom,GBR,1932,212072728,
United Kingdom,GBR,1933,210425792,
United Kingdom,GBR,1934,224257616,
United Kingdom,GBR,1935,225804984,
United Kingdom,GBR,1936,232103168,
United Kingdom,GBR,1937,244255544,
United Kingdom,GBR,1938,230624888,
United Kingdom,GBR,1939,235039408,
United Kingdom,GBR,1940,227887784,
United Kingdom,GBR,1941,209645504,
United Kingdom,GBR,1942,208223104,
United Kingdom,GBR,1943,202102720,
United Kingdom,GBR,1944,195831968,
United Kingdom,GBR,1945,185699400,
United Kingdom,GBR,1946,193109900.79999998,
United Kingdom,GBR,1947,200050400,
United Kingdom,GBR,1948,210312000,
United Kingdom,GBR,1949,218338400,
United Kingdom,GBR,1950,219456000,
United Kingdom,GBR,1951,226161600,
United Kingdom,GBR,1952,228498400,
United Kingdom,GBR,1953,227076000,
United Kingdom,GBR,1954,227380800,
United Kingdom,GBR,1955,225653600,
United Kingdom,GBR,1956,226060000,
United Kingdom,GBR,1957,227787200,
United Kingdom,GBR,1958,219760800,
United Kingdom,GBR,1959,210108800,
United Kingdom,GBR,1960,197831000,
United Kingdom,GBR,1961,195047000,
United Kingdom,GBR,1962,202639000,
United Kingdom,GBR,1963,200462000,
United Kingdom,GBR,1964,198056000,
United Kingdom,GBR,1965,191627000,
United Kingdom,GBR,1966,179909000,
United Kingdom,GBR,1967,177651000,
United Kingdom,GBR,1968,169920000,
United Kingdom,GBR,1969,155694000,
United Kingdom,GBR,1970,147195000,100000
United Kingdom,GBR,1971,153683000,4200000
United Kingdom,GBR,1972,126834000,5000000
United Kingdom,GBR,1973,131984000.00000001,1700000
United Kingdom,GBR,1974,110452000,3500000
United Kingdom,GBR,1975,128683000,5100000
United Kingdom,GBR,1976,123801000,2800000
United Kingdom,GBR,1977,122150000,2400000
United Kingdom,GBR,1978,123577000,2400000
United Kingdom,GBR,1979,122369000,4400000
United Kingdom,GBR,1980,130097000.00000001,7300000
United Kingdom,GBR,1981,127469000,4300000
United Kingdom,GBR,1982,124711000,4099999.9999999995
United Kingdom,GBR,1983,119254000,4500000
United Kingdom,GBR,1984,51182000,8900000
United Kingdom,GBR,1985,94111000,12700000
United Kingdom,GBR,1986,108099000,10600000
United Kingdom,GBR,1987,104533000,9800000
United Kingdom,GBR,1988,104066000,11700000
United Kingdom,GBR,1989,99820000,12100000
United Kingdom,GBR,1990,92762000,14800000
United Kingdom,GBR,1991,94202000,19600000
United Kingdom,GBR,1992,84493000,20300000
United Kingdom,GBR,1993,68199000,18400000
United Kingdom,GBR,1994,49785000,15100000
United Kingdom,GBR,1995,53037000,15900000
United Kingdom,GBR,1996,50197000,17800000
United Kingdom,GBR,1997,48495000,19800000
United Kingdom,GBR,1998,41177000,21200000
United Kingdom,GBR,1999,37077000,20300000
United Kingdom,GBR,2000,31197582.669999998,23400000
United Kingdom,GBR,2001,31929856,35500000
United Kingdom,GBR,2002,29989155,28700000
United Kingdom,GBR,2003,28279000,31900000
United Kingdom,GBR,2004,25096057,36200000
United Kingdom,GBR,2005,20498293,44000000
United Kingdom,GBR,2006,18517162,50500000
United Kingdom,GBR,2007,17007227,43400000
United Kingdom,GBR,2008,18053242.569999997,43900000
United Kingdom,GBR,2009,17873633.82,38200000
United Kingdom,GBR,2010,18346630.37,26500000
United Kingdom,GBR,2011,18551978.21,32500000
United Kingdom,GBR,2012,16966667.06,44800000
United Kingdom,GBR,2013,12767445.61,50600000
United Kingdom,GBR,2014,11647611.79,42200000
United Kingdom,GBR,2015,8598187.563,22500000
United Kingdom,GBR,2016,4177796.4299999997,8500000
United Kingdom,GBR,2017,3041064.4859999996,8500000
