Entity,Code,Year,"Child Labor (Girls, World, 2000-2012) (ILO) (% girls ages 5-17)","Child Labor (Boys, World, 2000-2012) (ILO) (% boys ages 5-17)","Child Labor (All, World, ILO-IPEC) (% children ages 5-17)"
World,OWID_WRL,2000,22.5,23.4,23
World,OWID_WRL,2004,19.9,21.3,20.6
World,OWID_WRL,2008,16.9,21.4,19.3
World,OWID_WRL,2012,15.2,18.1,16.7
