Entity,Code,Year,Percentage of teachers absent from class (% teachers)
Kenya,KEN,2017,48
Mozambique,MOZ,2017,56
Nigeria,NGA,2017,23
Senegal,SEN,2017,31
Tanzania,TZA,2017,53
Togo,TGO,2017,40
Uganda,UGA,2017,57
