Entity,Code,Year,Crops - Oil palm fruit - 254 - Yield - 5419 - hg/ha (tonnes per hectare)
Africa,,1961,3.3432
Africa,,1962,3.4050000000000002
Africa,,1963,3.3974
Africa,,1964,3.3669000000000002
Africa,,1965,3.3127
Africa,,1966,3.3003
Africa,,1967,3.5563000000000002
Africa,,1968,3.6081000000000003
Africa,,1969,3.571
Africa,,1970,3.6044
Africa,,1971,3.6149
Africa,,1972,3.7114000000000003
Africa,,1973,3.6963000000000004
Africa,,1974,3.7368
Africa,,1975,3.7814
Africa,,1976,3.7375000000000003
Africa,,1977,3.6169000000000002
Africa,,1978,3.7754000000000003
Africa,,1979,3.5969
Africa,,1980,3.6644
Africa,,1981,3.6893000000000002
Africa,,1982,3.7106000000000003
Africa,,1983,3.6980000000000004
Africa,,1984,3.6127000000000002
Africa,,1985,3.6477000000000004
Africa,,1986,3.7477
Africa,,1987,3.7046
Africa,,1988,3.696
Africa,,1989,3.8112000000000004
Africa,,1990,3.8488
Africa,,1991,3.7363000000000004
Africa,,1992,3.7023
Africa,,1993,3.7056
Africa,,1994,3.6817
Africa,,1995,3.6573
Africa,,1996,3.6986000000000003
Africa,,1997,3.5762
Africa,,1998,3.6574
Africa,,1999,3.6817
Africa,,2000,3.6298000000000004
Africa,,2001,3.5916
Africa,,2002,3.6226000000000003
Africa,,2003,3.6218000000000004
Africa,,2004,3.6812
Africa,,2005,3.6605000000000003
Africa,,2006,3.8758000000000004
Africa,,2007,3.8320000000000003
Africa,,2008,3.8058
Africa,,2009,3.9046000000000003
Africa,,2010,3.8481
Africa,,2011,3.9247
Africa,,2012,3.9608000000000003
Africa,,2013,4.216600000000001
Africa,,2014,4.1825
Africa,,2015,4.2078
Africa,,2016,4.1736
Africa,,2017,4.1997
Africa,,2018,4.2717
Americas,,1961,9.034600000000001
Americas,,1962,9.3107
Americas,,1963,8.9398
Americas,,1964,9.0131
Americas,,1965,8.8581
Americas,,1966,9.0187
Americas,,1967,8.939
Americas,,1968,8.9586
Americas,,1969,9.2367
Americas,,1970,9.5374
Americas,,1971,9.3408
Americas,,1972,9.058300000000001
Americas,,1973,9.575700000000001
Americas,,1974,10.326600000000001
Americas,,1975,10.4588
Americas,,1976,9.9963
Americas,,1977,10.6815
Americas,,1978,9.9025
Americas,,1979,10.4915
Americas,,1980,10.65
Americas,,1981,11.3338
Americas,,1982,11.6524
Americas,,1983,12.5153
Americas,,1984,13.0335
Americas,,1985,13.0813
Americas,,1986,13.0973
Americas,,1987,13.7187
Americas,,1988,14.4786
Americas,,1989,14.3261
Americas,,1990,13.6815
Americas,,1991,12.129800000000001
Americas,,1992,12.5982
Americas,,1993,13.4295
Americas,,1994,13.2771
Americas,,1995,13.3139
Americas,,1996,13.565000000000001
Americas,,1997,13.9114
Americas,,1998,14.866700000000002
Americas,,1999,14.126000000000001
Americas,,2000,14.141100000000002
Americas,,2001,14.0782
Americas,,2002,13.641300000000001
Americas,,2003,13.508600000000001
Americas,,2004,15.2725
Americas,,2005,14.327300000000001
Americas,,2006,15.554200000000002
Americas,,2007,15.113900000000001
Americas,,2008,15.276100000000001
Americas,,2009,14.4292
Americas,,2010,15.8016
Americas,,2011,15.089300000000001
Americas,,2012,15.4916
Americas,,2013,14.558800000000002
Americas,,2014,14.3946
Americas,,2015,14.9045
Americas,,2016,14.3849
Americas,,2017,15.037700000000001
Americas,,2018,14.8635
Angola,AGO,1961,9.5455
Angola,AGO,1962,9.5455
Angola,AGO,1963,9.5238
Angola,AGO,1964,9.5455
Angola,AGO,1965,9.4444
Angola,AGO,1966,9.473700000000001
Angola,AGO,1967,9.5
Angola,AGO,1968,9.5
Angola,AGO,1969,9.5652
Angola,AGO,1970,9.5238
Angola,AGO,1971,9.5238
Angola,AGO,1972,9.5238
Angola,AGO,1973,9.5238
Angola,AGO,1974,9.5238
Angola,AGO,1975,9.5238
Angola,AGO,1976,10
Angola,AGO,1977,9.4444
Angola,AGO,1978,9.5
Angola,AGO,1979,10
Angola,AGO,1980,10
Angola,AGO,1981,10
Angola,AGO,1982,10
Angola,AGO,1983,10
Angola,AGO,1984,10
Angola,AGO,1985,10
Angola,AGO,1986,10
Angola,AGO,1987,10
Angola,AGO,1988,10.5
Angola,AGO,1989,10
Angola,AGO,1990,10.4762
Angola,AGO,1991,10.697700000000001
Angola,AGO,1992,11.1628
Angola,AGO,1993,11.6279
Angola,AGO,1994,12.093
Angola,AGO,1995,12.0455
Angola,AGO,1996,12.053600000000001
Angola,AGO,1997,12.0455
Angola,AGO,1998,12.053600000000001
Angola,AGO,1999,12
Angola,AGO,2000,12.1739
Angola,AGO,2001,12.1739
Angola,AGO,2002,12.1739
Angola,AGO,2003,12.1739
Angola,AGO,2004,12.1739
Angola,AGO,2005,12.1739
Angola,AGO,2006,12.1739
Angola,AGO,2007,12.1739
Angola,AGO,2008,10.8696
Angola,AGO,2009,12.1739
Angola,AGO,2010,12.1739
Angola,AGO,2011,12.1739
Angola,AGO,2012,12.1739
Angola,AGO,2013,12.1739
Angola,AGO,2014,12.143
Angola,AGO,2015,12.114
Angola,AGO,2016,12.0671
Angola,AGO,2017,12.062000000000001
Angola,AGO,2018,12.0435
Asia,,1961,13.6492
Asia,,1962,13.5707
Asia,,1963,13.4494
Asia,,1964,12.7276
Asia,,1965,12.9443
Asia,,1966,13.6056
Asia,,1967,13.8725
Asia,,1968,14.1135
Asia,,1969,15.074900000000001
Asia,,1970,15.099
Asia,,1971,17.064500000000002
Asia,,1972,16.2081
Asia,,1973,15.9206
Asia,,1974,16.8047
Asia,,1975,16.7898
Asia,,1976,15.7912
Asia,,1977,15.594700000000001
Asia,,1978,16.369
Asia,,1979,16.558500000000002
Asia,,1980,16.852700000000002
Asia,,1981,17.1761
Asia,,1982,19.7753
Asia,,1983,15.9481
Asia,,1984,18.759700000000002
Asia,,1985,17.547800000000002
Asia,,1986,17.3628
Asia,,1987,17.2055
Asia,,1988,17.0709
Asia,,1989,17.6996
Asia,,1990,17.1268
Asia,,1991,15.1022
Asia,,1992,14.996400000000001
Asia,,1993,17.3768
Asia,,1994,16.8425
Asia,,1995,17.158
Asia,,1996,16.5456
Asia,,1997,16.407600000000002
Asia,,1998,14.9236
Asia,,1999,16.922800000000002
Asia,,2000,17.097
Asia,,2001,17.4627
Asia,,2002,16.3891
Asia,,2003,17.398400000000002
Asia,,2004,18.0145
Asia,,2005,19.0138
Asia,,2006,19.159000000000002
Asia,,2007,17.5347
Asia,,2008,18.2767
Asia,,2009,17.3478
Asia,,2010,16.8866
Asia,,2011,17.7209
Asia,,2012,17.738500000000002
Asia,,2013,17.546400000000002
Asia,,2014,18.218400000000003
Asia,,2015,18.1862
Asia,,2016,17.1725
Asia,,2017,18.3173
Asia,,2018,17.9279
Benin,BEN,1961,10
Benin,BEN,1962,10
Benin,BEN,1963,10
Benin,BEN,1964,10
Benin,BEN,1965,10
Benin,BEN,1966,10
Benin,BEN,1967,10
Benin,BEN,1968,10
Benin,BEN,1969,10
Benin,BEN,1970,10
Benin,BEN,1971,10
Benin,BEN,1972,10
Benin,BEN,1973,10
Benin,BEN,1974,10
Benin,BEN,1975,10
Benin,BEN,1976,10
Benin,BEN,1977,10
Benin,BEN,1978,10
Benin,BEN,1979,10
Benin,BEN,1980,10
Benin,BEN,1981,10
Benin,BEN,1982,10
Benin,BEN,1983,10
Benin,BEN,1984,10
Benin,BEN,1985,11.0417
Benin,BEN,1986,8.333300000000001
Benin,BEN,1987,8.333300000000001
Benin,BEN,1988,8.333300000000001
Benin,BEN,1989,9.4444
Benin,BEN,1990,9.4444
Benin,BEN,1991,8.6667
Benin,BEN,1992,8.6667
Benin,BEN,1993,8.6667
Benin,BEN,1994,8.6667
Benin,BEN,1995,10
Benin,BEN,1996,10.5556
Benin,BEN,1997,10.5263
Benin,BEN,1998,11
Benin,BEN,1999,11
Benin,BEN,2000,10.4762
Benin,BEN,2001,12.777800000000001
Benin,BEN,2002,13.333300000000001
Benin,BEN,2003,13.5
Benin,BEN,2004,12.8571
Benin,BEN,2005,13.1818
Benin,BEN,2006,13.6364
Benin,BEN,2007,13.913
Benin,BEN,2008,13.75
Benin,BEN,2009,17.6
Benin,BEN,2010,17.6923
Benin,BEN,2011,15.862100000000002
Benin,BEN,2012,16.5625
Benin,BEN,2013,15.5556
Benin,BEN,2014,16.1094
Benin,BEN,2015,17.2896
Benin,BEN,2016,17.2943
Benin,BEN,2017,17.5744
Benin,BEN,2018,17.8546
Brazil,BRA,1961,10
Brazil,BRA,1962,10.8696
Brazil,BRA,1963,11.25
Brazil,BRA,1964,11.034500000000001
Brazil,BRA,1965,10.5
Brazil,BRA,1966,10.5769
Brazil,BRA,1967,10.6522
Brazil,BRA,1968,10.4082
Brazil,BRA,1969,10.5455
Brazil,BRA,1970,10.454500000000001
Brazil,BRA,1971,10.4
Brazil,BRA,1972,10
Brazil,BRA,1973,10.344800000000001
Brazil,BRA,1974,10.322600000000001
Brazil,BRA,1975,10.6061
Brazil,BRA,1976,10.4651
Brazil,BRA,1977,10.5263
Brazil,BRA,1978,10.5634
Brazil,BRA,1979,10.5263
Brazil,BRA,1980,10.5263
Brazil,BRA,1981,10.6061
Brazil,BRA,1982,10.5263
Brazil,BRA,1983,10.4651
Brazil,BRA,1984,10.454500000000001
Brazil,BRA,1985,10.7407
Brazil,BRA,1986,10.6897
Brazil,BRA,1987,10.833300000000001
Brazil,BRA,1988,10.9524
Brazil,BRA,1989,10.72
Brazil,BRA,1990,9.939400000000001
Brazil,BRA,1991,7.588
Brazil,BRA,1992,8.062800000000001
Brazil,BRA,1993,9.421800000000001
Brazil,BRA,1994,9.8179
Brazil,BRA,1995,10.0075
Brazil,BRA,1996,10.150400000000001
Brazil,BRA,1997,9.8331
Brazil,BRA,1998,9.523100000000001
Brazil,BRA,1999,8.5327
Brazil,BRA,2000,8.289200000000001
Brazil,BRA,2001,9.1226
Brazil,BRA,2002,9.161100000000001
Brazil,BRA,2003,10.435500000000001
Brazil,BRA,2004,10.386800000000001
Brazil,BRA,2005,10.2758
Brazil,BRA,2006,12.509500000000001
Brazil,BRA,2007,10.522400000000001
Brazil,BRA,2008,10.577
Brazil,BRA,2009,10.8023
Brazil,BRA,2010,12.147300000000001
Brazil,BRA,2011,11.9288
Brazil,BRA,2012,10.969100000000001
Brazil,BRA,2013,11.477300000000001
Brazil,BRA,2014,11.0136
Brazil,BRA,2015,11.3154
Brazil,BRA,2016,11.959200000000001
Brazil,BRA,2017,15.0713
Brazil,BRA,2018,14.353800000000001
Burundi,BDI,1961,7.5
Burundi,BDI,1962,7.5
Burundi,BDI,1963,7.5
Burundi,BDI,1964,7.5
Burundi,BDI,1965,7.5
Burundi,BDI,1966,7.5
Burundi,BDI,1967,7.5
Burundi,BDI,1968,8.8889
Burundi,BDI,1969,9.090900000000001
Burundi,BDI,1970,9.6667
Burundi,BDI,1971,9.9167
Burundi,BDI,1972,9.7273
Burundi,BDI,1973,9.3077
Burundi,BDI,1974,9.700000000000001
Burundi,BDI,1975,9.6667
Burundi,BDI,1976,9.6667
Burundi,BDI,1977,9.583300000000001
Burundi,BDI,1978,10
Burundi,BDI,1979,9.9167
Burundi,BDI,1980,10
Burundi,BDI,1981,10
Burundi,BDI,1982,10
Burundi,BDI,1983,10
Burundi,BDI,1984,10
Burundi,BDI,1985,10.4
Burundi,BDI,1986,10.4
Burundi,BDI,1987,10.64
Burundi,BDI,1988,10.88
Burundi,BDI,1989,8.24
Burundi,BDI,1990,11.360000000000001
Burundi,BDI,1991,11.600000000000001
Burundi,BDI,1992,11.92
Burundi,BDI,1993,11.600000000000001
Burundi,BDI,1994,10.4
Burundi,BDI,1995,11.200000000000001
Burundi,BDI,1996,11.600000000000001
Burundi,BDI,1997,12
Burundi,BDI,1998,11.600000000000001
Burundi,BDI,1999,11.200000000000001
Burundi,BDI,2000,10.833300000000001
Burundi,BDI,2001,10
Burundi,BDI,2002,10
Burundi,BDI,2003,10
Burundi,BDI,2004,10
Burundi,BDI,2005,10
Burundi,BDI,2006,10
Burundi,BDI,2007,10
Burundi,BDI,2008,10
Burundi,BDI,2009,10
Burundi,BDI,2010,10
Burundi,BDI,2011,10
Burundi,BDI,2012,10
