Entity,Code,Year,Coal (kilowatt-hours),Oil (kilowatt-hours),Gas (kilowatt-hours)
Africa,,1965,1048.207209048788,1025.3091659304216,29.8105372241055
Africa,,1966,1009.4560710356476,1094.0914003141781,32.50476445111031
Africa,,1967,1012.9799788497205,1058.6264372163841,31.327089154662783
Africa,,1968,1029.291755690744,1088.9979374681418,30.95739630505677
Africa,,1969,1009.2576641004439,1076.1232255988996,35.26671516648442
Africa,,1970,1012.4089903746891,1158.6963326563912,42.70301392378002
Africa,,1971,1042.1822617932673,1275.681043050372,49.34598722754863
Africa,,1972,1025.059024505811,1346.5344711354371,64.44150240996443
Africa,,1973,1055.6097622805592,1410.2250519646655,100.62942427962264
Africa,,1974,1070.571323319589,1419.5514009745607,110.29091238594067
Africa,,1975,1107.0532378647715,1444.873075478906,129.3503983550897
Africa,,1976,1130.9250066982054,1560.852188866909,143.1004307319122
Africa,,1977,1125.2282233915246,1606.8503735453241,155.76626145794455
Africa,,1978,1061.1011732868715,1644.3170103942239,216.18346597967604
Africa,,1979,1089.3026522034443,1704.453934823094,321.3470585231787
Africa,,1980,1141.6791866645262,1754.8587639538953,392.3582629624553
Africa,,1981,1298.3362857319532,1815.946064834777,466.3046750767341
Africa,,1982,1393.8760508918385,1850.120197938876,489.517684381377
Africa,,1983,1369.4545220357586,1859.6644545880265,523.2127506123669
Africa,,1984,1429.8547841726056,1846.3383173655077,487.3070608610871
Africa,,1985,1434.7951287711887,1835.4493402153555,508.25654491822246
Africa,,1986,1427.1089822588951,1756.4451295766164,555.123564785604
Africa,,1987,1427.0942142824902,1794.203160278176,557.1519392666396
Africa,,1988,1491.4337947547688,1826.3383617864476,600.5614924405071
Africa,,1989,1362.0285534679028,1842.3240291014683,605.4829263747083
Africa,,1990,1392.5752982374797,1818.3018085832812,632.4190914563252
Africa,,1991,1317.9925488559409,1783.1128430480549,620.4361097407252
Africa,,1992,1291.6256564083117,1776.3092100037322,633.9543265456456
Africa,,1993,1278.2737102952176,1751.6492173631505,605.1660689571289
Africa,,1994,1278.3975022127258,1747.3411689020998,617.3865812285351
Africa,,1995,1285.1545715739219,1763.9794785775628,643.0542019550976
Africa,,1996,1270.8748600680528,1764.3278761372046,658.4408641870037
Africa,,1997,1271.4251098872576,1767.4613249887645,629.4966503326706
Africa,,1998,1212.1471244870156,1766.0270822387022,646.443657591039
Africa,,1999,1219.8051052213257,1785.2143377481357,636.7871892430107
Africa,,2000,1187.7841179073819,1752.2824662693715,686.6009147719313
Africa,,2001,1174.1294594698863,1733.1960933944229,773.4551113901655
Africa,,2002,1097.2666974416331,1721.8142466880315,800.2651703347627
Africa,,2003,1165.6233572151498,1725.1777543622916,829.7232696895838
Africa,,2004,1251.1033695005422,1763.642905950885,881.4682344200875
Africa,,2005,1133.0314181072208,1808.1624713690053,892.1618007402565
Africa,,2006,1120.9058962627043,1775.8542271831304,908.2215937084843
Africa,,2007,1111.276476227829,1790.3039445413888,942.9290304251986
Africa,,2008,1194.2641223714693,1843.3609102421572,959.6624560654664
Africa,,2009,1159.3032549836316,1861.6403072829419,943.4552849105721
Africa,,2010,1120.1179648101036,1901.140893886678,951.7596879180684
Africa,,2011,1073.3521026001572,1802.2212184343168,1005.3199423375804
Africa,,2012,1019.8684551368831,1854.9514028114986,1051.8403863131439
Africa,,2013,1006.7610326664454,1868.6726827850903,1038.2129143281913
Africa,,2014,1027.8445494591983,1854.1609226283463,1040.0032593526778
