Entity,Code,Year,Coal production per capita
Afghanistan,AFG,1950,0.014702304710000001
Afghanistan,AFG,1951,0.01557686654
Afghanistan,AFG,1952,0.01744137994
Afghanistan,AFG,1953,0.01620382477
Afghanistan,AFG,1954,0.01498261396
Afghanistan,AFG,1955,0.02263964309
Afghanistan,AFG,1956,0.022293407930000002
Afghanistan,AFG,1957,0.027658662150000003
Afghanistan,AFG,1958,0.03188523497
Afghanistan,AFG,1959,0.03778177384
Afghanistan,AFG,1960,0.043436278110000004
Afghanistan,AFG,1961,0.05861457817
Afghanistan,AFG,1962,0.09756097657
Afghanistan,AFG,1963,0.084535651
Afghanistan,AFG,1964,0.09453282115
Afghanistan,AFG,1965,0.1179568503
Afghanistan,AFG,1966,0.1299053403
Afghanistan,AFG,1967,0.118512953
Afghanistan,AFG,1968,0.0959630146
Afghanistan,AFG,1969,0.1020022438
Afghanistan,AFG,1970,0.1199990341
Afghanistan,AFG,1971,0.09625607425
Afghanistan,AFG,1972,0.04931018296
Afghanistan,AFG,1973,0.07919114608
Afghanistan,AFG,1974,0.07598197409
Afghanistan,AFG,1975,0.0969914434
Afghanistan,AFG,1976,0.1014431216
Afghanistan,AFG,1977,0.1059090101
Afghanistan,AFG,1978,0.13406660210000002
Afghanistan,AFG,1979,0.08075724370000001
Afghanistan,AFG,1980,0.057914518160000004
Afghanistan,AFG,1981,0.06174060426
Afghanistan,AFG,1982,0.07332850962000001
Afghanistan,AFG,1983,0.07546147121
Afghanistan,AFG,1984,0.07921028877000001
Afghanistan,AFG,1985,0.08262703706
Afghanistan,AFG,1986,0.08892542876000001
Afghanistan,AFG,1987,0.09360893893
Afghanistan,AFG,1988,0.07709794593
Afghanistan,AFG,1989,0.06952636448
Afghanistan,AFG,1990,0.05526975674
Afghanistan,AFG,1991,0.046644388640000006
Afghanistan,AFG,1992,0.020111461429999998
Afghanistan,AFG,1993,0.02032744058
Afghanistan,AFG,1994,0.02075904924
Afghanistan,AFG,1995,0.0214362568
Afghanistan,AFG,1996,0.02240040714
Afghanistan,AFG,1997,0.0235786004
Afghanistan,AFG,1998,0.02426764002
Afghanistan,AFG,1999,0.02659214249
Afghanistan,AFG,2000,0.02739782154
Afghanistan,AFG,2001,0.008448124417
Afghanistan,AFG,2002,0.006508864203
Afghanistan,AFG,2003,0.010337832049999999
Afghanistan,AFG,2004,0.009603556519
Afghanistan,AFG,2005,0.008967219073
Afghanistan,AFG,2006,0.009208527870999999
Afghanistan,AFG,2007,0.06219602325
Afghanistan,AFG,2008,0.08661115843
Afghanistan,AFG,2009,0.1216345233
Afghanistan,AFG,2010,0.1714785575
Afghanistan,AFG,2011,0.166252388
Afghanistan,AFG,2012,0.1664469087
Afghanistan,AFG,2013,0.1620696415
Afghanistan,AFG,2014,0.15801596799999998
Africa,,1981,1.8428508030000001
Africa,,1982,1.9663154500000002
Africa,,1983,1.9366522130000001
Africa,,1984,2.0996280040000004
Africa,,1985,2.168811221
Africa,,1986,2.162672048
Africa,,1987,2.105439293
Africa,,1988,2.104862882
Africa,,1989,1.98896815
Africa,,1990,1.924502746
Africa,,1991,1.9099191080000002
Africa,,1992,1.9024189980000001
Africa,,1993,1.8881425280000002
Africa,,1994,1.912587937
Africa,,1995,1.958777692
Africa,,1996,1.904541421
Africa,,1997,1.9764423420000001
Africa,,1998,1.954484567
Africa,,1999,1.904322601
Africa,,2000,1.856973313
Africa,,2001,1.808131952
Africa,,2002,1.735130434
