Entity,Code,Year,Rivers (%),Groundwater (%),Open water bodies (%)
Andorra,AND,2017,100,75,
Austria,AUT,2017,80.12,94.57,91.94
Botswana,BWA,2017,94.74,7.69,94.44
Estonia,EST,2017,100,,100
Fiji,FJI,2017,100,100,100
Finland,FIN,2017,64.09,76.35,80.82
Jamaica,JAM,2017,92.08,,
Japan,JPN,2017,30,0,75
Kenya,KEN,2017,30.52,42.18,
Latvia,LVA,2017,72.44,100,52.9
Lebanon,LBN,2017,50,100,
Macedonia,MKD,2017,12.5,,
Malaysia,MYS,2017,40.74,99.49,3.36
Marshall Islands,MHL,2017,,100,100
Morocco,MAR,2017,71.28,76.27,85.94
Netherlands,NLD,2017,47.15,86.96,53.22
Peru,PER,2017,36.84,,
Poland,POL,2017,30.64,85.71,38.51
Romania,ROU,2017,57.37,83.69,62.61
Slovenia,SVN,2017,80.43,90.48,9.09
South Africa,ZAF,2017,37.05,,62.5
Sudan,SDN,2017,100,97.25,0.00002
Sweden,SWE,2017,31.77,97.7,48.85
Switzerland,CHE,2017,100,,
Zambia,ZMB,2017,75,66.67,100
