Entity,Code,Year,Adequacy of social insurance programs (% of total welfare of beneficiary households) (% of total welfare of beneficiary households)
Afghanistan,AFG,2007,15.6950310602447
Albania,ALB,2008,29.1863451394832
Albania,ALB,2012,33.2320544648102
Argentina,ARG,2006,42.1950496263914
Argentina,ARG,2010,39.6634007635173
Argentina,ARG,2011,32.5162579141245
Argentina,ARG,2012,35.7393513105137
Argentina,ARG,2013,42.8277408552611
Armenia,ARM,2008,26.9486979153926
Armenia,ARM,2009,33.2893894279333
Armenia,ARM,2010,33.5687147909922
Armenia,ARM,2011,33.2501273606068
Armenia,ARM,2012,34.1925692621892
Armenia,ARM,2013,31.6651616146034
Armenia,ARM,2014,32.6427771964125
Azerbaijan,AZE,2008,17.8995886677309
Bangladesh,BGD,2005,49.4523263033646
Bangladesh,BGD,2010,34.3587204978525
Belarus,BLR,2008,52.5794279068632
Belarus,BLR,2009,53.5966606796431
Belarus,BLR,2010,53.9338188218607
Belarus,BLR,2012,54.7000561456661
Belarus,BLR,2013,61.0894211322126
Belize,BLZ,2009,25.1162343192481
Benin,BEN,2003,39.4935883219468
Bhutan,BTN,2012,27.636493382853
Bolivia,BOL,2006,33.8678691141926
Bolivia,BOL,2007,35.1491140728542
Bolivia,BOL,2008,33.8001091963088
Bolivia,BOL,2009,36.4931580900981
Bolivia,BOL,2011,36.7060602439513
Bolivia,BOL,2012,36.1332972395469
Bosnia and Herzegovina,BIH,2007,16.0065210069756
Brazil,BRA,2006,46.6679006183766
Brazil,BRA,2009,47.5382875354624
Brazil,BRA,2011,48.0808206957004
Brazil,BRA,2012,46.5212209339476
Brazil,BRA,2015,48.3650297879814
Bulgaria,BGR,2007,36.3815610201856
Burkina Faso,BFA,2014,22.5450868133696
Cambodia,KHM,2008,6.39454966812317
Cambodia,KHM,2013,12.5388144998592
Cameroon,CMR,2007,29.8812248254647
Cameroon,CMR,2014,3.28607951220252
Cape Verde,CPV,2007,40.620727841776
Chad,TCD,2011,26.8862252706063
Chile,CHL,2006,27.6334370094749
Chile,CHL,2009,25.1530818855531
Chile,CHL,2011,26.5564826507388
Chile,CHL,2013,30.0233585918961
China,CHN,2013,55.3453449884928
Colombia,COL,2010,27.991361941994
Colombia,COL,2011,26.1962287934826
