Entity,Code,Year,Adequacy of social insurance programs (% of total welfare of beneficiary households) (% of total welfare of beneficiary households)
Colombia,COL,2012,29.5588328056793
Colombia,COL,2014,38.2107684886195
Comoros,COM,2004,13.2289699429942
Congo,COG,2005,62.8912874737369
Costa Rica,CRI,2008,40.134898548382
Costa Rica,CRI,2010,34.0539387737561
Costa Rica,CRI,2011,32.0382017535509
Costa Rica,CRI,2012,28.6357670909077
Costa Rica,CRI,2014,32.6504565245994
Cote d'Ivoire,CIV,2002,14.4262606044102
Cote d'Ivoire,CIV,2008,32.2946207101154
Cote d'Ivoire,CIV,2015,49.5547206764018
Croatia,HRV,2008,36.4472748953228
Croatia,HRV,2010,42.7761035299966
Democratic Republic of Congo,COD,2004,16.9666030462289
Democratic Republic of Congo,COD,2012,27.2868312017438
Djibouti,DJI,2012,34.8538524109419
Dominica,DMA,2002,28.9592619896761
Dominican Republic,DOM,2007,23.2130876235276
Dominican Republic,DOM,2008,27.7584788546702
Dominican Republic,DOM,2009,26.3618374256494
Dominican Republic,DOM,2010,24.6206621773079
Dominican Republic,DOM,2011,24.9723459646275
Dominican Republic,DOM,2012,27.4516512704249
Dominican Republic,DOM,2013,24.7436222144474
Dominican Republic,DOM,2014,26.9777687237357
Ecuador,ECU,2008,34.1981859120328
Ecuador,ECU,2010,36.9128469814419
Ecuador,ECU,2011,40.4515626616834
Ecuador,ECU,2012,39.9591477167721
Ecuador,ECU,2016,41.7684475148401
Egypt,EGY,2008,39.2493626934226
El Salvador,SLV,2007,28.6764806199146
El Salvador,SLV,2008,30.6129432760087
El Salvador,SLV,2009,31.7318985474843
El Salvador,SLV,2010,32.2859984661785
El Salvador,SLV,2011,30.248152115333
El Salvador,SLV,2012,33.6597686993756
El Salvador,SLV,2014,30.5211897676384
Fiji,FJI,2008,42.8013567559738
Gabon,GAB,2005,20.1447566459533
Gambia,GMB,1998,10.9522132489159
Gambia,GMB,2010,5.21697311007633
Ghana,GHA,2005,4.33530604233772
Ghana,GHA,2012,96.4050198568497
Guatemala,GTM,2006,15.4731521452456
Guatemala,GTM,2011,6.242679176313
Guatemala,GTM,2014,22.320297116559
Guinea,GIN,2012,10.2685133970593
Haiti,HTI,2012,34.5982204163246
Honduras,HND,2008,22.3879085163746
Honduras,HND,2009,26.2841224146252
Honduras,HND,2010,24.637070917046
Honduras,HND,2011,26.5987151203453
Honduras,HND,2013,27.8583846774004
Hungary,HUN,2007,61.2359004767355
Iraq,IRQ,2006,15.3110696232449
Iraq,IRQ,2012,19.6354617377167
Jamaica,JAM,2002,1.89125148539826
Jamaica,JAM,2010,31.3084307505371
Jordan,JOR,2006,36.4880988461504
Jordan,JOR,2010,33.1061257046912
Kazakhstan,KAZ,2007,10.5247576073802
Kazakhstan,KAZ,2010,11.4107310995428
Kenya,KEN,2005,45.4540571160345
Kosovo,OWID_KOS,2006,17.4437374985211
Kosovo,OWID_KOS,2011,15.982660162101
Kosovo,OWID_KOS,2012,13.9956674754215
Kosovo,OWID_KOS,2013,17.3837687388193
Kyrgyzstan,KGZ,2006,29.9559776868336
Kyrgyzstan,KGZ,2011,34.6793534032251
Kyrgyzstan,KGZ,2012,43.9801234719693
Kyrgyzstan,KGZ,2013,44.3694882460155
Laos,LAO,2007,29.8406096322887
Latvia,LVA,2008,34.2968966758091
Latvia,LVA,2009,47.8228152401178
Liberia,LBR,2007,39.7070934699089
Lithuania,LTU,2008,51.4314918892752
Malawi,MWI,2004,14.0150197430405
Malawi,MWI,2010,14.0171723586352
Malawi,MWI,2013,8.96042732906852
Malaysia,MYS,2008,30.2761226782811
Maldives,MDV,2004,3.91312108808707
Maldives,MDV,2009,11.0312975767867
Mali,MLI,2009,15.5139252572474
Marshall Islands,MHL,1999,8.33333330324424
Mauritania,MRT,2008,34.8043802252709
Mauritius,MUS,2006,12.4943431451672
Mauritius,MUS,2012,36.4364576888653
Mexico,MEX,2008,31.506591339998
Mexico,MEX,2010,35.5891790157082
Mexico,MEX,2012,43.4559849307634
Micronesia (country),FSM,2000,28.3755250070069
Moldova,MDA,2010,37.2488789113053
Moldova,MDA,2012,38.6980762107821
Moldova,MDA,2013,38.8517423201029
Mongolia,MNG,2007,26.8072182174581
Mongolia,MNG,2009,29.1910814163485
Mongolia,MNG,2010,22.9692015290874
Mongolia,MNG,2011,24.940875056237
Mongolia,MNG,2012,23.3995374004644
Montenegro,MNE,2011,55.1191028972422
Montenegro,MNE,2012,54.016522487706
Montenegro,MNE,2013,59.01051775649
Montenegro,MNE,2014,53.6643358215946
Mozambique,MOZ,2008,43.097776514365
Nepal,NPL,2010,18.245541267045
Nicaragua,NIC,2005,10.7169519381357
Nicaragua,NIC,2009,24.7189530037932
Nicaragua,NIC,2014,17.1421358123498
Niger,NER,2011,16.743985303856
Niger,NER,2014,13.1001806001213
Nigeria,NGA,2012,9.79453743012424
Nigeria,NGA,2015,29.287548415774
Pakistan,PAK,2007,25.830046822476
Pakistan,PAK,2009,19.4445842199913
Pakistan,PAK,2013,30.4288461826069
Palau,PLW,2006,27.9797045688035
Panama,PAN,2008,36.1167048202467
Panama,PAN,2009,35.8038426441475
Panama,PAN,2010,36.1218046806086
Panama,PAN,2011,35.3437047667258
Panama,PAN,2012,34.0627305436969
Panama,PAN,2013,34.0150249849642
Panama,PAN,2014,31.4723837057466
Papua New Guinea,PNG,2009,1.42659904143646
Paraguay,PRY,2007,35.7189584276459
Paraguay,PRY,2008,36.8209419380885
Paraguay,PRY,2009,34.1181481872785
Paraguay,PRY,2010,35.4017406537963
Paraguay,PRY,2011,30.7380081252552
Peru,PER,2008,23.5199644485333
Peru,PER,2009,24.4496971222228
Peru,PER,2010,23.8576332821036
Peru,PER,2011,22.0144294737547
Peru,PER,2012,20.8061020763828
Peru,PER,2013,20.0429226654385
Peru,PER,2014,19.9083919161499
Philippines,PHL,2006,18.9723572291252
Philippines,PHL,2013,29.59892429831
Philippines,PHL,2015,9.7505570637554
Poland,POL,2005,71.7539457864871
Poland,POL,2006,71.4577221239985
Poland,POL,2007,69.7426082256129
Poland,POL,2008,68.4116098346293
Poland,POL,2009,70.6264886772834
Poland,POL,2010,71.5557136621033
Poland,POL,2011,72.795927058172
Poland,POL,2012,74.2756142133285
Romania,ROU,2008,61.6618520841932
Romania,ROU,2011,69.637024938465
Romania,ROU,2012,67.6972717429355
Russia,RUS,2014,25.7551259119929
Russia,RUS,2015,26.7983744158153
Russia,RUS,2016,26.2609718166948
Rwanda,RWA,2005,8.3274440070224
Rwanda,RWA,2010,9.18504429024971
Rwanda,RWA,2013,4.24063883140624
Samoa,WSM,2008,18.6510401573755
Senegal,SEN,2011,13.3043151544242
Serbia,SRB,2007,48.4763804479056
Serbia,SRB,2010,58.0709835606231
Serbia,SRB,2013,56.4795568244316
Slovakia,SVK,2009,46.410024750562
Solomon Islands,SLB,2005,14.5700667032812
South Africa,ZAF,2005,38.8995404011662
Sri Lanka,LKA,2006,36.5501075027216
Sri Lanka,LKA,2009,34.936695322016
Sri Lanka,LKA,2012,32.0982111072626
Syrian Arab Republic,,2003,67.6289916667829
Tajikistan,TJK,2011,7.99857259469504
Tanzania,TZA,2010,13.3322611634871
Tanzania,TZA,2012,19.5597290724557
Tanzania,TZA,2014,17.1529966863488
Thailand,THA,2006,69.0983333064228
Thailand,THA,2009,65.691837487773
Thailand,THA,2011,80.0821294256197
Thailand,THA,2013,75.2691332424743
Timor,TLS,2011,32.7817505703899
Togo,TGO,2011,28.5044892231124
Tonga,TON,2009,29.122125509291
Turkey,TUR,2004,41.8753432122687
Turkey,TUR,2005,43.806236312013
Turkey,TUR,2006,42.4587506504484
Turkey,TUR,2007,43.4113975448352
Turkey,TUR,2008,41.788723478094
Turkey,TUR,2009,40.4061217820646
Turkey,TUR,2010,42.5772347475593
Turkey,TUR,2011,41.5481112026095
Turkey,TUR,2012,42.4713476356131
Turkey,TUR,2013,42.197833368584
Turkey,TUR,2014,42.840608292539
Uganda,UGA,2005,23.1558368042772
Uganda,UGA,2009,15.3913032749909
Uganda,UGA,2012,19.0510001789636
Ukraine,UKR,2006,46.2263969725624
Ukraine,UKR,2011,52.7500360153041
Ukraine,UKR,2012,58.0928568014118
Ukraine,UKR,2013,58.9941921450266
Uruguay,URY,2008,44.1818673666686
Uruguay,URY,2009,44.6773603503044
Uruguay,URY,2010,45.8001557449205
Uruguay,URY,2011,44.58374658482
Uruguay,URY,2012,45.659469166201
Vietnam,VNM,2006,31.0870757136176
Vietnam,VNM,2010,24.9349130815092
Vietnam,VNM,2012,28.2748119411195
Vietnam,VNM,2014,28.9393345877702
Yemen,YEM,2005,13.7422002137837
Zambia,ZMB,2010,34.0218307903608
