Entity,Code,Year,Coverage of social insurance programs (% of population) (% of population)
Afghanistan,AFG,2007,0.539036879650045
Albania,ALB,2008,45.9388082961143
Albania,ALB,2012,36.2550631549433
Argentina,ARG,2006,22.338095336173
Argentina,ARG,2010,29.5752810172894
Argentina,ARG,2011,29.3321188100386
Argentina,ARG,2012,28.9695600571713
Argentina,ARG,2013,30.5905578010903
Armenia,ARM,2008,49.9908614973932
Armenia,ARM,2009,51.2840018602521
Armenia,ARM,2010,52.106110189312
Armenia,ARM,2011,52.8797109236421
Armenia,ARM,2012,53.3627593750861
Armenia,ARM,2013,53.0315119460687
Armenia,ARM,2014,54.7513338154784
Azerbaijan,AZE,2008,55.1025235641921
Bangladesh,BGD,2005,1.64764635332953
Bangladesh,BGD,2010,1.49869191216075
Belarus,BLR,2008,43.085328577589
Belarus,BLR,2009,40.8850369141459
Belarus,BLR,2010,42.3895135052547
Belarus,BLR,2012,47.9254706372092
Belarus,BLR,2013,48.687496151917
Belize,BLZ,2009,28.1895386619671
Benin,BEN,2003,6.62698090721438
Bhutan,BTN,2007,1.43014904016577
Bhutan,BTN,2012,0.712240916240276
Bolivia,BOL,2006,8.09237474415615
Bolivia,BOL,2007,8.08623571169757
Bolivia,BOL,2008,8.21736132785646
Bolivia,BOL,2009,8.39291048227242
Bolivia,BOL,2011,8.36406027895824
Bolivia,BOL,2012,8.54984296223906
Bosnia and Herzegovina,BIH,2007,41.5237912263429
Brazil,BRA,2006,30.1009390021581
Brazil,BRA,2009,27.9467696414169
Brazil,BRA,2011,28.3104496205996
Brazil,BRA,2012,28.3446475182455
Brazil,BRA,2015,30.5353119182891
Bulgaria,BGR,2007,47.7153619117239
Burkina Faso,BFA,2014,2.18617357095934
Cambodia,KHM,2008,2.6456237369239
Cambodia,KHM,2013,1.86913898965382
Cameroon,CMR,2007,2.80466786947192
Cameroon,CMR,2014,3.40811025210118
Cape Verde,CPV,2007,6.00064551806937
Chad,TCD,2011,2.47797179203433
Chile,CHL,2006,31.8797553893109
Chile,CHL,2009,41.2561616145696
Chile,CHL,2011,23.6404420351347
Chile,CHL,2013,44.394747665859
China,CHN,2013,35.5795806625965
Colombia,COL,2010,9.9349438896222
Colombia,COL,2011,9.61440839914004
Colombia,COL,2012,8.89796493036404
Colombia,COL,2014,9.2703176583432
Comoros,COM,2004,1.8803121284515
Congo,COG,2005,8.91479680965519
Costa Rica,CRI,2008,12.9445352546415
Costa Rica,CRI,2009,18.8360198836761
Costa Rica,CRI,2010,14.0517015872946
Costa Rica,CRI,2011,14.4033982302739
Costa Rica,CRI,2012,15.0284445170667
Costa Rica,CRI,2014,15.5820489138808
Cote d'Ivoire,CIV,2002,20.6152424724155
Cote d'Ivoire,CIV,2008,8.07079382477935
Cote d'Ivoire,CIV,2015,7.92254850633665
Croatia,HRV,2008,54.7431290026623
Croatia,HRV,2010,57.5129301257952
Democratic Republic of Congo,COD,2004,1.51235605503343
Democratic Republic of Congo,COD,2012,1.59962111690192
Djibouti,DJI,2012,8.50192378981733
Dominica,DMA,2002,13.3701014548432
Dominican Republic,DOM,2007,5.42858963791878
Dominican Republic,DOM,2008,4.79105307762038
Dominican Republic,DOM,2009,5.11579130515018
Dominican Republic,DOM,2010,5.78478638711005
Dominican Republic,DOM,2011,6.13029930216611
Dominican Republic,DOM,2012,5.68254966986786
Dominican Republic,DOM,2013,6.21010493046677
Dominican Republic,DOM,2014,6.48566022251038
Ecuador,ECU,2008,7.25530477723842
Ecuador,ECU,2010,9.35492559045986
Ecuador,ECU,2011,9.57265931490613
Ecuador,ECU,2012,10.6749404526827
Ecuador,ECU,2016,10.930421439919
Egypt,EGY,2008,21.3040866064956
El Salvador,SLV,2007,5.4084113060992
El Salvador,SLV,2008,8.6347675463757
El Salvador,SLV,2009,6.34694678010082
El Salvador,SLV,2010,5.65257258933091
El Salvador,SLV,2011,5.57171846257545
El Salvador,SLV,2012,5.47715150305986
El Salvador,SLV,2014,6.15611135696081
Fiji,FJI,2008,5.32568979469768
Gabon,GAB,2005,13.4239635987688
Gambia,GMB,1998,2.72573725747135
Gambia,GMB,2010,1.75799959015575
Ghana,GHA,2005,3.9566885312764
Ghana,GHA,2012,59.520413782887
Guatemala,GTM,2006,4.6984108331119
Guatemala,GTM,2011,3.8776273365087
Guatemala,GTM,2014,3.99579588458159
Guinea,GIN,2012,2.28431612742755
Haiti,HTI,2012,0.37097142559664
Honduras,HND,2008,2.12483114164245
Honduras,HND,2009,2.34833118595078
Honduras,HND,2010,2.7388723491386
Honduras,HND,2011,2.49409345817405
Honduras,HND,2013,2.71743333819519
Hungary,HUN,2007,57.1208107066803
Indonesia,IDN,2014,9.3006857639065
Indonesia,IDN,2015,8.17875443870597
Iraq,IRQ,2006,28.185387961635
Iraq,IRQ,2012,26.3644655457086
Jamaica,JAM,2002,5.67806130637137
Jamaica,JAM,2010,4.3422880963409
Jordan,JOR,2006,24.8957385234326
Jordan,JOR,2010,28.234611765928
Kazakhstan,KAZ,2007,29.1565413319401
Kazakhstan,KAZ,2010,28.3925194937548
Kenya,KEN,2005,1.90716709007408
Kosovo,OWID_KOS,2006,20.581597359955
Kosovo,OWID_KOS,2011,35.5674750206322
Kosovo,OWID_KOS,2012,36.1149789323611
Kosovo,OWID_KOS,2013,35.0002633807955
Kyrgyzstan,KGZ,2006,30.4660007967866
Kyrgyzstan,KGZ,2011,40.2230542780595
Kyrgyzstan,KGZ,2012,41.6405620169134
Kyrgyzstan,KGZ,2013,39.3497475478638
Laos,LAO,2007,1.65252629846249
Latvia,LVA,2008,52.4433570024829
Latvia,LVA,2009,45.7237457396669
Lebanon,LBN,2004,53.6608828693245
Liberia,LBR,2007,0.749383993079125
Lithuania,LTU,2008,45.0350758345412
Malawi,MWI,2004,0.973979589523272
Malawi,MWI,2010,0.661991820088254
Malawi,MWI,2013,1.01943040106067
Malaysia,MYS,2008,6.76903359444432
Maldives,MDV,2004,4.6549296659041
Maldives,MDV,2009,2.27975439547065
Mali,MLI,2009,1.30579913373027
Marshall Islands,MHL,1999,22.9505243775518
Mauritania,MRT,2008,9.22704354988754
Mauritius,MUS,2006,3.28674625651007
Mauritius,MUS,2012,18.7915116621894
Mexico,MEX,2008,50.4691966625646
Mexico,MEX,2010,50.5116870359452
Mexico,MEX,2012,46.9576339223196
Micronesia (country),FSM,2000,17.3611900799107
Moldova,MDA,2010,40.9016765855198
Moldova,MDA,2012,43.2122586327721
Moldova,MDA,2013,43.89807654684
Mongolia,MNG,2007,40.5357673523697
Mongolia,MNG,2009,41.8668656490382
Mongolia,MNG,2010,42.9285109437941
Mongolia,MNG,2011,38.4476575925429
Mongolia,MNG,2012,43.2792788602746
Montenegro,MNE,2011,52.9448937159637
Montenegro,MNE,2012,46.6004740727219
Montenegro,MNE,2013,45.5304163665584
Montenegro,MNE,2014,47.9325447974338
Mozambique,MOZ,2008,1.69778393837435
Namibia,NAM,2009,0.968663599554186
Nepal,NPL,2010,5.25896121599293
Nicaragua,NIC,2005,25.4297142950629
Nicaragua,NIC,2009,5.61419945266473
Nicaragua,NIC,2014,13.7080391702969
Niger,NER,2011,1.41793184706884
Niger,NER,2014,1.3730994574391
Nigeria,NGA,2012,1.2460628835272
Nigeria,NGA,2015,2.70706889939629
Pakistan,PAK,2007,6.81569268330496
Pakistan,PAK,2009,7.72206340727278
Pakistan,PAK,2013,6.00800770169284
Palau,PLW,2006,36.4229229809136
Panama,PAN,2008,16.2588914085251
Panama,PAN,2009,18.7120423882349
Panama,PAN,2010,18.3792890430729
Panama,PAN,2011,17.462461690869
Panama,PAN,2012,17.2491202625581
Panama,PAN,2013,17.1851470704261
Panama,PAN,2014,17.8827769650935
Papua New Guinea,PNG,2009,1.00516847867008
Paraguay,PRY,2007,5.07952653091334
Paraguay,PRY,2008,5.69773760002233
Paraguay,PRY,2009,6.68247924080475
Paraguay,PRY,2010,5.90483386670757
Paraguay,PRY,2011,6.31101299786414
Peru,PER,2008,10.4753659446057
Peru,PER,2009,9.72019398640074
Peru,PER,2010,11.3199603632253
Peru,PER,2011,11.0895252453809
Peru,PER,2012,12.2250648715629
Peru,PER,2013,11.4930831914378
Peru,PER,2014,11.5158648509964
Philippines,PHL,2006,7.47253402913531
Philippines,PHL,2013,11.1473792716423
Philippines,PHL,2015,8.92214945787277
Poland,POL,2005,48.398353589879
Poland,POL,2006,47.927951306373
Poland,POL,2007,46.9713315373708
Poland,POL,2008,46.4393517232493
Poland,POL,2009,45.7922500143518
