Entity,Code,Year,24 hours (knots),48 hours (knots ),72 hours (knots),96 hours (knots),120 hours (knots)
Atlantic Basin Tropical Cyclones,,1990,8.9,13.6,15,,
Atlantic Basin Tropical Cyclones,,1991,11.3,20.4,22.6,,
Atlantic Basin Tropical Cyclones,,1992,11.2,19.4,25.9,,
Atlantic Basin Tropical Cyclones,,1993,8.2,14.8,19.3,,
Atlantic Basin Tropical Cyclones,,1994,9.1,14.6,18.3,,
Atlantic Basin Tropical Cyclones,,1995,9.1,14.2,17.7,,
Atlantic Basin Tropical Cyclones,,1996,9.9,14.4,17.3,,
Atlantic Basin Tropical Cyclones,,1997,9.3,14.2,15.9,,
Atlantic Basin Tropical Cyclones,,1998,10.8,16.4,21.2,,
Atlantic Basin Tropical Cyclones,,1999,10.7,15.7,19.1,,
Atlantic Basin Tropical Cyclones,,2000,11.1,16.9,20.1,,
Atlantic Basin Tropical Cyclones,,2001,9.9,15.7,18.8,20.1,19
Atlantic Basin Tropical Cyclones,,2002,9,14.5,20.8,22.4,23.8
Atlantic Basin Tropical Cyclones,,2003,7.9,11.6,14.8,17,20.6
Atlantic Basin Tropical Cyclones,,2004,10.2,13.9,17,19.8,22.6
Atlantic Basin Tropical Cyclones,,2005,10.9,15.6,20.1,20.1,21.8
Atlantic Basin Tropical Cyclones,,2006,10,14.3,18.1,19.6,19
Atlantic Basin Tropical Cyclones,,2007,11,17.9,23.5,28.6,30
Atlantic Basin Tropical Cyclones,,2008,10.4,13.6,14.6,13.8,17.2
Atlantic Basin Tropical Cyclones,,2009,11.4,17.5,20.6,19.5,16.6
Atlantic Basin Tropical Cyclones,,2010,12,15.5,16.7,18.4,18.6
Atlantic Basin Tropical Cyclones,,2011,9.7,14.4,16.6,16.2,16.5
Atlantic Basin Tropical Cyclones,,2012,8,12.3,13.1,11.8,12.7
Atlantic Basin Tropical Cyclones,,2013,7.5,10.4,8,9.1,12.6
Atlantic Basin Tropical Cyclones,,2014,8.2,10.4,12.5,11.3,6.6
Atlantic Basin Tropical Cyclones,,2015,7.4,11.4,15.6,19.6,20.4
Atlantic Basin Tropical Cyclones,,2016,7.6,10.5,11.7,14.7,16.1
Atlantic Basin Tropical Cyclones,,2017,8.7,12.6,13.3,14,14.4
East Northern Pacific Basin Tropical Cyclones,,1990,10.3,16.5,19.5,,
East Northern Pacific Basin Tropical Cyclones,,1991,10.1,17.6,21.1,,
East Northern Pacific Basin Tropical Cyclones,,1992,10.6,15.5,18.9,,
East Northern Pacific Basin Tropical Cyclones,,1993,12,17.4,21.1,,
East Northern Pacific Basin Tropical Cyclones,,1994,10.7,21.2,28.5,,
East Northern Pacific Basin Tropical Cyclones,,1995,10.9,17.3,19.8,,
East Northern Pacific Basin Tropical Cyclones,,1996,9.9,15.6,18.1,,
East Northern Pacific Basin Tropical Cyclones,,1997,12.8,18.1,19.4,,
East Northern Pacific Basin Tropical Cyclones,,1998,9.8,16,17.8,,
East Northern Pacific Basin Tropical Cyclones,,1999,9,14.6,20.5,,
East Northern Pacific Basin Tropical Cyclones,,2000,10.2,15.6,16.4,,
East Northern Pacific Basin Tropical Cyclones,,2001,10.3,14.4,17,18.4,18.6
East Northern Pacific Basin Tropical Cyclones,,2002,11.7,17.8,19.4,17.6,18.4
East Northern Pacific Basin Tropical Cyclones,,2003,10.7,18.5,20.7,18.6,20.1
East Northern Pacific Basin Tropical Cyclones,,2004,11.4,15.6,18.8,17.8,18.8
East Northern Pacific Basin Tropical Cyclones,,2005,10.1,16.2,18.2,19.1,20.6
East Northern Pacific Basin Tropical Cyclones,,2006,11.2,16.1,17.8,19.3,18.3
East Northern Pacific Basin Tropical Cyclones,,2007,8.2,14.4,18.1,20.8,17
East Northern Pacific Basin Tropical Cyclones,,2008,9.8,12.9,15.7,17.6,18
East Northern Pacific Basin Tropical Cyclones,,2009,12.8,18,17.3,18.1,18.8
East Northern Pacific Basin Tropical Cyclones,,2010,9.3,13.5,15.6,15.9,17.8
East Northern Pacific Basin Tropical Cyclones,,2011,12.2,16.4,17.9,18.8,17.5
East Northern Pacific Basin Tropical Cyclones,,2012,8.1,11.8,10.6,13.8,13.8
East Northern Pacific Basin Tropical Cyclones,,2013,9.5,13,14.3,14.9,13.1
East Northern Pacific Basin Tropical Cyclones,,2014,9.7,14.3,16.8,16.3,13.8
East Northern Pacific Basin Tropical Cyclones,,2015,12.1,16.3,16.8,15.8,16.3
East Northern Pacific Basin Tropical Cyclones,,2016,8.7,11.8,15.6,16.8,16.5
East Northern Pacific Basin Tropical Cyclones,,2017,8.9,11.8,12.3,11.1,12.2
